step,metric,group,mean,sem,n
1,每百回合/偿债能力/消费企业,TD3,62.69941475356807,1.264378223838871,8
2,每百回合/偿债能力/消费企业,TD3,60.969555102882396,0.9783600719584187,8
3,每百回合/偿债能力/消费企业,TD3,61.32483996458697,0.7431291063240529,8
4,每百回合/偿债能力/消费企业,TD3,62.4273235002837,0.9538611472501243,8
5,每百回合/偿债能力/消费企业,TD3,61.76672900166943,1.0832552019221133,8
6,每百回合/偿债能力/消费企业,TD3,62.92044949891222,1.1819219909907772,8
7,每百回合/偿债能力/消费企业,TD3,62.677682693027,1.0728016941105651,8
8,每百回合/偿债能力/消费企业,TD3,56.38547515241385,0.9039605263628586,8
9,每百回合/偿债能力/消费企业,TD3,56.51316626994585,3.104221027090231,8
10,每百回合/偿债能力/消费企业,TD3,53.595560868902616,2.096742688973721,8
11,每百回合/偿债能力/消费企业,TD3,52.40452138002426,1.8248897192762636,8
12,每百回合/偿债能力/消费企业,TD3,52.517128961242584,1.5475272589134959,8
13,每百回合/偿债能力/消费企业,TD3,51.71565837981237,1.017427067991867,8
14,每百回合/偿债能力/消费企业,TD3,51.053739222461395,1.204201725421304,8
15,每百回合/偿债能力/消费企业,TD3,51.75462120442098,1.6222761323597361,8
16,每百回合/偿债能力/消费企业,TD3,51.392066259268105,1.6921562257374592,8
17,每百回合/偿债能力/消费企业,TD3,49.124652812325806,1.398101725375689,8
18,每百回合/偿债能力/消费企业,TD3,48.89438621683398,1.109199804007103,8
19,每百回合/偿债能力/消费企业,TD3,48.86969537424253,1.085982262329618,8
20,每百回合/偿债能力/消费企业,TD3,46.83221085106276,1.2064785601741816,8
21,每百回合/偿债能力/消费企业,TD3,46.015885724911165,0.9868450319000368,8
22,每百回合/偿债能力/消费企业,TD3,44.6343327968685,1.6207616376489713,8
23,每百回合/偿债能力/消费企业,TD3,43.99408843187347,1.6992984354379885,8
24,每百回合/偿债能力/消费企业,TD3,40.114261626108814,1.6538197001403505,8
25,每百回合/偿债能力/消费企业,TD3,39.99037518243392,1.973979886189671,8
26,每百回合/偿债能力/消费企业,TD3,37.01836150965271,1.708970488017069,8
27,每百回合/偿债能力/消费企业,TD3,35.16327802109074,2.0245213257032577,8
28,每百回合/偿债能力/消费企业,TD3,33.09593616349394,2.512274967414997,8
29,每百回合/偿债能力/消费企业,TD3,32.23355987234694,2.337336490220458,8
30,每百回合/偿债能力/消费企业,TD3,32.87996175879394,3.34883778892322,8
31,每百回合/偿债能力/消费企业,TD3,30.881853111610344,3.030341848611248,8
32,每百回合/偿债能力/消费企业,TD3,29.20566154270749,3.1144917745751037,8
33,每百回合/偿债能力/消费企业,TD3,27.57409575163414,1.9938633879588292,8
34,每百回合/偿债能力/消费企业,TD3,25.523042431129387,1.8743133349292214,8
35,每百回合/偿债能力/消费企业,TD3,25.01164972997678,1.8879868153536497,8
36,每百回合/偿债能力/消费企业,TD3,28.557322685271302,3.300827674049004,8
37,每百回合/偿债能力/消费企业,TD3,32.36719618571717,5.349846954882982,8
38,每百回合/偿债能力/消费企业,TD3,33.32707853701665,7.430294375348441,8
39,每百回合/偿债能力/消费企业,TD3,38.69558466742254,9.787127404080035,8
40,每百回合/偿债能力/消费企业,TD3,34.617125941421484,8.481554220215715,8
41,每百回合/偿债能力/消费企业,TD3,30.971048511048636,8.035814147333696,8
42,每百回合/偿债能力/消费企业,TD3,29.84118836322299,9.159882580682956,8
43,每百回合/偿债能力/消费企业,TD3,31.738180590713046,8.415240125492264,8
44,每百回合/偿债能力/消费企业,TD3,34.328438592566286,8.986913135731356,8
45,每百回合/偿债能力/消费企业,TD3,34.843569190205834,9.47326867111884,8
46,每百回合/偿债能力/消费企业,TD3,34.87636451615448,8.985056436608579,8
47,每百回合/偿债能力/消费企业,TD3,35.860427551472036,9.345114251221213,8
48,每百回合/偿债能力/消费企业,TD3,35.809088837036015,9.590818508353241,8
49,每百回合/偿债能力/消费企业,TD3,36.17796103070075,9.500218571265206,8
50,每百回合/偿债能力/消费企业,TD3,35.85705688803454,9.530000098930513,8
51,每百回合/偿债能力/消费企业,TD3,33.74172658664748,8.821570929577305,8
52,每百回合/偿债能力/消费企业,TD3,37.62337904070957,10.275362320930771,8
53,每百回合/偿债能力/消费企业,TD3,40.93594628409107,12.578948606676924,8
54,每百回合/偿债能力/消费企业,TD3,35.82411515583155,9.8399474550192,8
55,每百回合/偿债能力/消费企业,TD3,30.92439273985794,8.625584285813247,8
56,每百回合/偿债能力/消费企业,TD3,31.314538000718862,9.227050220525596,8
57,每百回合/偿债能力/消费企业,TD3,31.380281041490452,9.65951426379754,8
58,每百回合/偿债能力/消费企业,TD3,30.80604272801763,9.129646389958456,8
59,每百回合/偿债能力/消费企业,TD3,30.353512431078805,9.12413131422936,8
60,每百回合/偿债能力/消费企业,TD3,29.743143465697727,8.270870495549165,8
1,每百回合/偿债能力/消费企业,GAIL+TD3,61.706963946611026,1.017171714071276,8
2,每百回合/偿债能力/消费企业,GAIL+TD3,61.50454435258561,0.8628322762120179,8
3,每百回合/偿债能力/消费企业,GAIL+TD3,62.26081156475768,1.9744349929900418,8
4,每百回合/偿债能力/消费企业,GAIL+TD3,61.49967458727883,3.7124706060485004,8
5,每百回合/偿债能力/消费企业,GAIL+TD3,57.69852490440622,4.567102683985429,8
6,每百回合/偿债能力/消费企业,GAIL+TD3,49.4868809867792,2.7309197141793384,8
7,每百回合/偿债能力/消费企业,GAIL+TD3,46.27694830425301,2.25168704164897,8
8,每百回合/偿债能力/消费企业,GAIL+TD3,46.93233142169797,2.3578938219772634,8
9,每百回合/偿债能力/消费企业,GAIL+TD3,69.49027864135086,11.591654216955629,8
10,每百回合/偿债能力/消费企业,GAIL+TD3,117.94143048361964,35.79618885495267,8
11,每百回合/偿债能力/消费企业,GAIL+TD3,140.1573162896259,44.0543141883384,8
12,每百回合/偿债能力/消费企业,GAIL+TD3,143.23271539582345,45.44333517448889,8
13,每百回合/偿债能力/消费企业,GAIL+TD3,144.72945979983456,46.97888280032433,8
14,每百回合/偿债能力/消费企业,GAIL+TD3,141.56630594368534,48.23032836396505,8
15,每百回合/偿债能力/消费企业,GAIL+TD3,141.50675835855833,48.310358588019085,8
16,每百回合/偿债能力/消费企业,GAIL+TD3,159.86651947794118,51.47174119414412,8
17,每百回合/偿债能力/消费企业,GAIL+TD3,174.76788302831434,64.8235029166391,8
18,每百回合/偿债能力/消费企业,GAIL+TD3,203.6742237020634,80.31569169583959,8
19,每百回合/偿债能力/消费企业,GAIL+TD3,224.3930888788492,77.48281202051317,8
20,每百回合/偿债能力/消费企业,GAIL+TD3,238.15567359749522,84.03898869215497,8
21,每百回合/偿债能力/消费企业,GAIL+TD3,257.0114315368546,102.40883415872553,8
22,每百回合/偿债能力/消费企业,GAIL+TD3,247.43775663776285,101.23853585931298,8
23,每百回合/偿债能力/消费企业,GAIL+TD3,263.79383124069375,104.4041463963384,8
24,每百回合/偿债能力/消费企业,GAIL+TD3,267.8631850337565,103.27152689078544,8
25,每百回合/偿债能力/消费企业,GAIL+TD3,264.3393862868403,99.9417840626921,8
26,每百回合/偿债能力/消费企业,GAIL+TD3,265.80332013059194,102.09685368218692,8
27,每百回合/偿债能力/消费企业,GAIL+TD3,268.73877604480776,103.57778648496634,8
28,每百回合/偿债能力/消费企业,GAIL+TD3,271.9753994377735,103.39777118424715,8
29,每百回合/偿债能力/消费企业,GAIL+TD3,267.14400993427415,100.03768595975971,8
30,每百回合/偿债能力/消费企业,GAIL+TD3,267.3753249981643,101.12417065119624,8
31,每百回合/偿债能力/消费企业,GAIL+TD3,262.8613336151324,99.41688143104821,8
32,每百回合/偿债能力/消费企业,GAIL+TD3,264.06057895640265,100.06067929457319,8
33,每百回合/偿债能力/消费企业,GAIL+TD3,269.44595061826453,101.10746090455078,8
34,每百回合/偿债能力/消费企业,GAIL+TD3,268.1073965818837,101.41677213055571,8
35,每百回合/偿债能力/消费企业,GAIL+TD3,263.22823848704405,99.4183851473156,8
36,每百回合/偿债能力/消费企业,GAIL+TD3,264.71098766891413,102.16338738071404,8
37,每百回合/偿债能力/消费企业,GAIL+TD3,265.7778260856709,100.78712415221646,8
38,每百回合/偿债能力/消费企业,GAIL+TD3,265.8459835151989,97.08314282515508,8
39,每百回合/偿债能力/消费企业,GAIL+TD3,262.13389626098797,99.3588904409635,8
40,每百回合/偿债能力/消费企业,GAIL+TD3,273.056207313609,101.51839780967791,8
41,每百回合/偿债能力/消费企业,GAIL+TD3,271.1043670736381,102.08041661696123,8
42,每百回合/偿债能力/消费企业,GAIL+TD3,266.4612813740512,101.14026627800814,8
43,每百回合/偿债能力/消费企业,GAIL+TD3,269.48501533496534,101.28219393068419,8
44,每百回合/偿债能力/消费企业,GAIL+TD3,260.59228422094935,97.72084628316047,8
45,每百回合/偿债能力/消费企业,GAIL+TD3,258.7326650595452,97.36257201692752,8
46,每百回合/偿债能力/消费企业,GAIL+TD3,262.427930697584,98.88598341603124,8
47,每百回合/偿债能力/消费企业,GAIL+TD3,266.56416276663276,98.50951282259481,8
48,每百回合/偿债能力/消费企业,GAIL+TD3,264.13578706815207,100.52486110785615,8
49,每百回合/偿债能力/消费企业,GAIL+TD3,266.4145964282827,100.09446865165042,8
50,每百回合/偿债能力/消费企业,GAIL+TD3,270.32901759479944,103.91573730819253,8
51,每百回合/偿债能力/消费企业,GAIL+TD3,264.4337270001963,100.09638868887771,8
52,每百回合/偿债能力/消费企业,GAIL+TD3,254.93481882900124,94.71857121543812,8
