step,metric,group,mean,sem,n
1,每百回合/偿债能力中位数/生产企业,TD3,57.68600486620498,0.7074756673855777,8
2,每百回合/偿债能力中位数/生产企业,TD3,56.607525471888174,0.8412541539699729,8
3,每百回合/偿债能力中位数/生产企业,TD3,57.59812918947286,0.6277883183284926,8
4,每百回合/偿债能力中位数/生产企业,TD3,56.528623988177934,0.8911975499092263,8
5,每百回合/偿债能力中位数/生产企业,TD3,57.651225007678555,1.0283864034471377,8
6,每百回合/偿债能力中位数/生产企业,TD3,55.34419626636141,0.9045940720483105,8
7,每百回合/偿债能力中位数/生产企业,TD3,56.13229202860133,1.4602104173115085,8
8,每百回合/偿债能力中位数/生产企业,TD3,55.97377584824301,1.862065725386765,8
9,每百回合/偿债能力中位数/生产企业,TD3,58.21088641400661,3.41137049064989,8
10,每百回合/偿债能力中位数/生产企业,TD3,55.70049713511945,2.706720956223298,8
11,每百回合/偿债能力中位数/生产企业,TD3,51.94762602802697,2.0988092636061007,8
12,每百回合/偿债能力中位数/生产企业,TD3,51.02125493852979,1.62392560108003,8
13,每百回合/偿债能力中位数/生产企业,TD3,48.57960336554326,0.8397043919050912,8
14,每百回合/偿债能力中位数/生产企业,TD3,49.18353485159162,1.5508502706427443,8
15,每百回合/偿债能力中位数/生产企业,TD3,47.26774373524146,0.635644638945341,7
16,每百回合/偿债能力中位数/生产企业,TD3,48.77527105270459,0.8113933807116863,8
17,每百回合/偿债能力中位数/生产企业,TD3,46.499109121153985,1.7721081447164917,8
18,每百回合/偿债能力中位数/生产企业,TD3,45.32294733559105,1.5579137028227779,8
19,每百回合/偿债能力中位数/生产企业,TD3,42.983691898493554,1.5723427010034257,8
20,每百回合/偿债能力中位数/生产企业,TD3,41.90982486505352,1.363972184448452,8
21,每百回合/偿债能力中位数/生产企业,TD3,41.1631271215857,2.1458227090093387,8
22,每百回合/偿债能力中位数/生产企业,TD3,39.92740820003145,3.694717742753481,8
