step,metric,group,mean,sem,n
1,每百回合/累计收益/生产企业,TD3,319.56833750000004,19.112936534769336,8
2,每百回合/累计收益/生产企业,TD3,328.52335,24.82064113110873,8
3,每百回合/累计收益/生产企业,TD3,336.0143750000001,27.841586462653517,8
4,每百回合/累计收益/生产企业,TD3,326.40458749999993,24.947481500232463,8
5,每百回合/累计收益/生产企业,TD3,329.17083749999995,25.59042766826342,8
6,每百回合/累计收益/生产企业,TD3,342.65813750000007,21.716700361784913,8
7,每百回合/累计收益/生产企业,TD3,396.8180125,28.54105260388371,8
8,每百回合/累计收益/生产企业,TD3,639.6868750000001,66.24015509135177,8
9,每百回合/累计收益/生产企业,TD3,889.5094125,78.64150287349284,8
10,每百回合/累计收益/生产企业,TD3,986.7762874999999,121.8486692714916,8
11,每百回合/累计收益/生产企业,TD3,1269.7220375000002,150.0113942777216,8
12,每百回合/累计收益/生产企业,TD3,1332.2773499999998,145.24501723772283,8
13,每百回合/累计收益/生产企业,TD3,1558.621075,159.09735488641144,8
14,每百回合/累计收益/生产企业,TD3,1581.020475,165.54748415453372,8
15,每百回合/累计收益/生产企业,TD3,1602.3231500000002,122.09476912861008,8
16,每百回合/累计收益/生产企业,TD3,1784.840525,134.81533248197567,8
17,每百回合/累计收益/生产企业,TD3,2173.6718374999996,184.32943981448463,8
18,每百回合/累计收益/生产企业,TD3,2185.2736375000004,244.60250992200073,8
19,每百回合/累计收益/生产企业,TD3,2468.0743625,256.27057912713224,8
20,每百回合/累计收益/生产企业,TD3,2955.828125,327.5133477999415,8
21,每百回合/累计收益/生产企业,TD3,3463.3016375,415.7047154142341,8
22,每百回合/累计收益/生产企业,TD3,4227.3212625,740.8485416703766,8
23,每百回合/累计收益/生产企业,TD3,5311.3540625000005,1118.8136977615072,8
24,每百回合/累计收益/生产企业,TD3,7051.6195875,1564.0099634969358,8
25,每百回合/累计收益/生产企业,TD3,8753.580825,1994.835741267001,8
26,每百回合/累计收益/生产企业,TD3,11426.2597375,2661.0607544041395,8
27,每百回合/累计收益/生产企业,TD3,14763.2976875,3378.714917878785,8
28,每百回合/累计收益/生产企业,TD3,18908.6176625,4317.040055702665,8
29,每百回合/累计收益/生产企业,TD3,22065.7639875,4290.506961880768,8
30,每百回合/累计收益/生产企业,TD3,24227.880275000007,5225.431967950008,8
31,每百回合/累计收益/生产企业,TD3,31366.7235625,6791.015327134036,8
32,每百回合/累计收益/生产企业,TD3,40749.38481250001,8984.890721632013,8
33,每百回合/累计收益/生产企业,TD3,51991.732537499985,12938.987861642896,8
34,每百回合/累计收益/生产企业,TD3,70158.6290625,17388.769166690035,8
35,每百回合/累计收益/生产企业,TD3,98560.97467499999,25653.653974238376,8
36,每百回合/累计收益/生产企业,TD3,109895.56296250001,31467.00864175218,8
37,每百回合/累计收益/生产企业,TD3,138811.6047875,43040.577442540074,8
38,每百回合/累计收益/生产企业,TD3,145710.05267499998,44552.45029816206,8
39,每百回合/累计收益/生产企业,TD3,144833.03105,46992.30943457708,8
40,每百回合/累计收益/生产企业,TD3,153933.826225,51551.92751146501,8
41,每百回合/累计收益/生产企业,TD3,168971.27354999998,46014.73309679319,8
42,每百回合/累计收益/生产企业,TD3,180219.595475,42279.729670493674,8
43,每百回合/累计收益/生产企业,TD3,187832.86847499997,41873.630041480275,8
44,每百回合/累计收益/生产企业,TD3,184730.7246875,43514.8061566475,8
45,每百回合/累计收益/生产企业,TD3,188055.29585,43802.265463757656,8
46,每百回合/累计收益/生产企业,TD3,189610.8526000001,42527.62472711921,8
47,每百回合/累计收益/生产企业,TD3,189469.6562625,43341.19776080207,8
48,每百回合/累计收益/生产企业,TD3,191025.4723,42146.8972207986,8
49,每百回合/累计收益/生产企业,TD3,188704.1008125,42853.533131723045,8
50,每百回合/累计收益/生产企业,TD3,187237.02186250003,43354.82374139675,8
51,每百回合/累计收益/生产企业,TD3,187052.32569999996,44029.54494354452,8
52,每百回合/累计收益/生产企业,TD3,187496.9196125,42360.80491875169,8
53,每百回合/累计收益/生产企业,TD3,188893.1846,41940.32229658805,8
54,每百回合/累计收益/生产企业,TD3,190384.00125,40330.373713441135,8
55,每百回合/累计收益/生产企业,TD3,196902.04422500005,38183.07976535792,8
56,每百回合/累计收益/生产企业,TD3,197386.55781250002,37983.841202303876,8
57,每百回合/累计收益/生产企业,TD3,195941.97022500003,36227.08295372651,8
58,每百回合/累计收益/生产企业,TD3,196707.1617125,37154.17813528013,8
59,每百回合/累计收益/生产企业,TD3,198261.41667500001,37511.986430783996,8
60,每百回合/累计收益/生产企业,TD3,196305.32605000003,37166.12093388183,8
1,每百回合/累计收益/生产企业,GAIL+TD3,326.32892499999997,18.35199498183029,8
2,每百回合/累计收益/生产企业,GAIL+TD3,336.32624999999996,23.733478790262858,8
3,每百回合/累计收益/生产企业,GAIL+TD3,366.1075749999999,26.502399947139207,8
4,每百回合/累计收益/生产企业,GAIL+TD3,621.3713875,63.335737195197154,8
5,每百回合/累计收益/生产企业,GAIL+TD3,841.8562,149.50981740339705,8
6,每百回合/累计收益/生产企业,GAIL+TD3,1466.8728999999998,201.20095292940783,8
7,每百回合/累计收益/生产企业,GAIL+TD3,2346.7628125,220.46642571043333,8
8,每百回合/累计收益/生产企业,GAIL+TD3,3627.591225000001,365.3812360097346,8
9,每百回合/累计收益/生产企业,GAIL+TD3,7911.968237499999,2132.316358768007,8
10,每百回合/累计收益/生产企业,GAIL+TD3,25506.754162500005,7348.020302884082,8
11,每百回合/累计收益/生产企业,GAIL+TD3,40057.865249999995,9578.870102446632,8
12,每百回合/累计收益/生产企业,GAIL+TD3,47398.65013750001,10779.060848585814,8
13,每百回合/累计收益/生产企业,GAIL+TD3,59103.67425000001,11452.752302536099,8
14,每百回合/累计收益/生产企业,GAIL+TD3,69103.3999625,7372.88499890732,8
15,每百回合/累计收益/生产企业,GAIL+TD3,67936.5990875,5995.134861707173,8
16,每百回合/累计收益/生产企业,GAIL+TD3,81952.3850625,8256.480804348985,8
17,每百回合/累计收益/生产企业,GAIL+TD3,95126.354575,10897.993302998177,8
18,每百回合/累计收益/生产企业,GAIL+TD3,101415.43209999998,10475.421724628326,8
19,每百回合/累计收益/生产企业,GAIL+TD3,105673.76772500001,11738.635108008553,8
20,每百回合/累计收益/生产企业,GAIL+TD3,97625.232025,8911.803560177535,8
21,每百回合/累计收益/生产企业,GAIL+TD3,103285.47622499998,10534.277432606845,8
22,每百回合/累计收益/生产企业,GAIL+TD3,106953.8549625,14633.238981212504,8
23,每百回合/累计收益/生产企业,GAIL+TD3,111942.87201249998,17782.08965372355,8
24,每百回合/累计收益/生产企业,GAIL+TD3,111939.95262499998,18097.417106571003,8
25,每百回合/累计收益/生产企业,GAIL+TD3,105800.034775,15722.79669649206,8
26,每百回合/累计收益/生产企业,GAIL+TD3,113555.15161249999,20103.41189443214,8
27,每百回合/累计收益/生产企业,GAIL+TD3,121311.28396250005,23100.745538398827,8
28,每百回合/累计收益/生产企业,GAIL+TD3,128210.25141250002,26027.931646513007,8
29,每百回合/累计收益/生产企业,GAIL+TD3,122491.34042499997,25132.00003334756,8
30,每百回合/累计收益/生产企业,GAIL+TD3,127026.8816625,25372.35414690881,8
31,每百回合/累计收益/生产企业,GAIL+TD3,123211.17201250001,25226.085462240804,8
32,每百回合/累计收益/生产企业,GAIL+TD3,126966.49003749999,26325.898189374762,8
33,每百回合/累计收益/生产企业,GAIL+TD3,128622.167475,26638.16172540358,8
34,每百回合/累计收益/生产企业,GAIL+TD3,125669.03292500002,24882.833857059228,8
35,每百回合/累计收益/生产企业,GAIL+TD3,127014.9119875,25789.495660648718,8
36,每百回合/累计收益/生产企业,GAIL+TD3,126619.10527499998,26222.50362112965,8
37,每百回合/累计收益/生产企业,GAIL+TD3,126202.0586375,25166.218264945677,8
38,每百回合/累计收益/生产企业,GAIL+TD3,126705.69118750001,27212.666087843972,8
39,每百回合/累计收益/生产企业,GAIL+TD3,123545.00868750001,24944.655446124896,8
40,每百回合/累计收益/生产企业,GAIL+TD3,125599.81639999998,24867.41312439606,8
41,每百回合/累计收益/生产企业,GAIL+TD3,131389.2425625,28328.372458928796,8
42,每百回合/累计收益/生产企业,GAIL+TD3,127802.95123749998,25701.216452119617,8
43,每百回合/累计收益/生产企业,GAIL+TD3,126916.16663749999,25348.75060671815,8
44,每百回合/累计收益/生产企业,GAIL+TD3,126191.57783749998,26752.8854261315,8
45,每百回合/累计收益/生产企业,GAIL+TD3,124873.63378749999,25161.520472684042,8
46,每百回合/累计收益/生产企业,GAIL+TD3,125900.3374875,26065.41226440795,8
47,每百回合/累计收益/生产企业,GAIL+TD3,126575.08674999999,26310.071337537564,8
48,每百回合/累计收益/生产企业,GAIL+TD3,124618.364175,25212.111118866116,8
49,每百回合/累计收益/生产企业,GAIL+TD3,126987.9040375,27182.415530780338,8
50,每百回合/累计收益/生产企业,GAIL+TD3,125805.56155000003,25449.91746260082,8
51,每百回合/累计收益/生产企业,GAIL+TD3,125580.13296249999,25894.930632044434,8
52,每百回合/累计收益/生产企业,GAIL+TD3,123027.60165,23783.405225554623,8
