step,metric,group,mean,sem,n
1,每百回合/存活天数,TD3,6.9425,0.0964503943560034,8
2,每百回合/存活天数,TD3,6.953749999999999,0.1104040873337578,8
3,每百回合/存活天数,TD3,7.018750000000001,0.14098426330622857,8
4,每百回合/存活天数,TD3,6.985,0.12816005617976295,8
5,每百回合/存活天数,TD3,6.869999999999999,0.142866071149571,8
6,每百回合/存活天数,TD3,6.94,0.13448313755156924,8
7,每百回合/存活天数,TD3,9.375,0.7336041166732913,8
8,每百回合/存活天数,TD3,11.7825,0.4927754849537753,8
9,每百回合/存活天数,TD3,10.341249999999999,0.22950597175548315,8
10,每百回合/存活天数,TD3,10.543750000000001,0.2858941955889077,8
11,每百回合/存活天数,TD3,11.114999999999998,0.2797064788053975,8
12,每百回合/存活天数,TD3,11.178571428571429,0.20057570203017594,7
13,每百回合/存活天数,TD3,11.757499999999999,0.36012274693101903,8
14,每百回合/存活天数,TD3,12.0675,0.43213237885761685,8
15,每百回合/存活天数,TD3,12.08625,0.36677132570191856,8
16,每百回合/存活天数,TD3,12.60625,0.44660200202673245,8
17,每百回合/存活天数,TD3,13.98625,0.6925778385856712,8
18,每百回合/存活天数,TD3,14.50875,0.831340220667808,8
19,每百回合/存活天数,TD3,15.15,0.6457360141729745,8
20,每百回合/存活天数,TD3,16.3325,0.882066870642875,8
21,每百回合/存活天数,TD3,16.835,1.1155764045038392,8
22,每百回合/存活天数,TD3,18.29,1.7384773715606916,8
23,每百回合/存活天数,TD3,20.107499999999998,2.1667485103589796,8
24,每百回合/存活天数,TD3,22.652500000000003,2.4288039016884713,8
25,每百回合/存活天数,TD3,23.568750000000005,2.4362041885306507,8
26,每百回合/存活天数,TD3,26.5225,2.995817173279151,8
27,每百回合/存活天数,TD3,28.932499999999997,3.569757269659341,8
28,每百回合/存活天数,TD3,31.7775,3.8345244396888933,8
29,每百回合/存活天数,TD3,33.01625,3.2720891848983227,8
30,每百回合/存活天数,TD3,31.8525,4.006800803455474,8
31,每百回合/存活天数,TD3,35.53875,4.270737824135309,8
32,每百回合/存活天数,TD3,40.239999999999995,4.920906928605742,8
33,每百回合/存活天数,TD3,44.0225,4.736509319711541,8
34,每百回合/存活天数,TD3,49.5675,4.420468927129144,8
35,每百回合/存活天数,TD3,56.2175,5.852396868561021,8
36,每百回合/存活天数,TD3,56.80499999999999,6.411058247835754,8
37,每百回合/存活天数,TD3,62.243750000000006,9.728148579086655,8
38,每百回合/存活天数,TD3,65.46000000000001,9.027505192465966,8
39,每百回合/存活天数,TD3,63.66375,11.889735509718935,8
40,每百回合/存活天数,TD3,66.97,11.66961224719999,8
41,每百回合/存活天数,TD3,76.64750000000001,7.365325555310796,8
42,每百回合/存活天数,TD3,83.165,4.391813813383778,8
43,每百回合/存活天数,TD3,83.4275,7.2743347143030395,8
44,每百回合/存活天数,TD3,80.175,10.114880304354992,8
45,每百回合/存活天数,TD3,81.39750000000001,10.212360639021155,8
46,每百回合/存活天数,TD3,82.47125,9.366871797819467,8
47,每百回合/存活天数,TD3,82.03875,9.780133551071053,8
48,每百回合/存活天数,TD3,82.065,10.300427869060307,8
49,每百回合/存活天数,TD3,81.11125,10.889418592229141,8
50,每百回合/存活天数,TD3,80.76124999999999,11.076348746879543,8
51,每百回合/存活天数,TD3,81.30000000000001,10.660164498864788,8
52,每百回合/存活天数,TD3,81.93875,9.856750485526586,8
53,每百回合/存活天数,TD3,83.72,8.641087481164789,8
54,每百回合/存活天数,TD3,84.81,7.018135436139716,8
55,每百回合/存活天数,TD3,91.81375,3.4321999075457623,8
56,每百回合/存活天数,TD3,91.30125000000001,3.5151800591455173,8
57,每百回合/存活天数,TD3,91.255,3.0125244515901564,8
58,每百回合/存活天数,TD3,91.4275,3.3004370652125115,8
59,每百回合/存活天数,TD3,92.03000000000002,3.0009593704109254,8
60,每百回合/存活天数,TD3,91.23,3.65159309656171,8
1,每百回合/存活天数,GAIL+TD3,7.0200000000000005,0.1013304354222222,8
2,每百回合/存活天数,GAIL+TD3,6.885,0.08616843969807042,8
3,每百回合/存活天数,GAIL+TD3,8.35375,0.7540816020166518,8
4,每百回合/存活天数,GAIL+TD3,10.635,0.60197887955357,8
5,每百回合/存活天数,GAIL+TD3,11.46375,0.5601910946275387,8
6,每百回合/存活天数,GAIL+TD3,12.77625,0.4458736908747651,8
7,每百回合/存活天数,GAIL+TD3,13.99875,0.5123072372679726,8
8,每百回合/存活天数,GAIL+TD3,15.572499999999998,1.065509184112728,8
9,每百回合/存活天数,GAIL+TD3,21.04625,3.0267462123423177,8
10,每百回合/存活天数,GAIL+TD3,38.8275,7.488839970725963,8
11,每百回合/存活天数,GAIL+TD3,53.195,10.207366737522744,8
12,每百回合/存活天数,GAIL+TD3,61.66375,10.282686200165374,8
13,每百回合/存活天数,GAIL+TD3,69.17875,10.86833185345321,8
14,每百回合/存活天数,GAIL+TD3,74.02625,7.651390148551904,8
15,每百回合/存活天数,GAIL+TD3,66.77,4.085409579047298,8
16,每百回合/存活天数,GAIL+TD3,76.68375,4.458118171821892,8
17,每百回合/存活天数,GAIL+TD3,82.31500000000001,4.027771007109799,8
18,每百回合/存活天数,GAIL+TD3,80.85625,4.189509832179484,8
19,每百回合/存活天数,GAIL+TD3,80.92500000000001,3.9200150327700105,8
20,每百回合/存活天数,GAIL+TD3,76.09,5.672440266007971,8
21,每百回合/存活天数,GAIL+TD3,76.53375000000001,5.182366371201204,8
22,每百回合/存活天数,GAIL+TD3,77.02625,5.144285295875137,8
23,每百回合/存活天数,GAIL+TD3,77.2825,4.8539254180802685,8
24,每百回合/存活天数,GAIL+TD3,76.83375000000001,4.850761699207661,8
25,每百回合/存活天数,GAIL+TD3,75.06875,5.9523766074388895,8
26,每百回合/存活天数,GAIL+TD3,77.065,4.583741453691046,8
27,每百回合/存活天数,GAIL+TD3,79.56875,4.2884710218628195,8
28,每百回合/存活天数,GAIL+TD3,81.50625,4.484340984191546,8
