step,metric,group,mean,sem,n
1,每百回合/累计收益/消费企业,TD3,362.654275,28.292778171872197,8
2,每百回合/累计收益/消费企业,TD3,343.11756249999996,30.111764277307305,8
3,每百回合/累计收益/消费企业,TD3,352.062625,24.658643189774736,8
4,每百回合/累计收益/消费企业,TD3,358.162075,22.80287935202757,8
5,每百回合/累计收益/消费企业,TD3,343.5182000000001,28.882407977991424,8
6,每百回合/累计收益/消费企业,TD3,312.9745875,13.593191335481654,8
7,每百回合/累计收益/消费企业,TD3,359.93280000000004,34.248564114160864,8
8,每百回合/累计收益/消费企业,TD3,652.8295875000001,77.98333730697688,8
9,每百回合/累计收益/消费企业,TD3,946.9187,82.72473676377629,8
10,每百回合/累计收益/消费企业,TD3,1080.7719875,96.22482000335656,8
11,每百回合/累计收益/消费企业,TD3,1188.7703125,109.9421969202152,8
12,每百回合/累计收益/消费企业,TD3,1303.9383874999999,98.79193274966367,8
13,每百回合/累计收益/消费企业,TD3,1488.579175,131.6203969563686,8
14,每百回合/累计收益/消费企业,TD3,1578.326325,150.38464890043488,8
15,每百回合/累计收益/消费企业,TD3,1621.8142750000002,114.23695374632781,8
16,每百回合/累计收益/消费企业,TD3,1671.3634375,92.33618222584015,8
17,每百回合/累计收益/消费企业,TD3,2024.5562499999999,63.30219947849078,8
18,每百回合/累计收益/消费企业,TD3,2222.8845428571426,123.61195438316665,7
19,每百回合/累计收益/消费企业,TD3,2644.0275624999995,110.0632889604349,8
20,每百回合/累计收益/消费企业,TD3,3024.4728500000006,243.0368916002826,8
21,每百回合/累计收益/消费企业,TD3,3477.1490750000003,385.19421716697013,8
22,每百回合/累计收益/消费企业,TD3,4193.7048125,768.5342004028449,8
23,每百回合/累计收益/消费企业,TD3,5495.268287500001,1121.8819196669795,8
24,每百回合/累计收益/消费企业,TD3,7085.1375,1476.8620785652004,8
25,每百回合/累计收益/消费企业,TD3,8855.935575,2075.6012149568464,8
26,每百回合/累计收益/消费企业,TD3,12029.018337499998,3247.319793615088,8
27,每百回合/累计收益/消费企业,TD3,15445.196887500002,4149.687386375932,8
28,每百回合/累计收益/消费企业,TD3,19448.806724999995,4892.638981388053,8
29,每百回合/累计收益/消费企业,TD3,22863.699674999993,5127.286212236876,8
30,每百回合/累计收益/消费企业,TD3,24393.169012499995,5492.8317350577845,8
31,每百回合/累计收益/消费企业,TD3,29405.925525,6154.719238484544,8
32,每百回合/累计收益/消费企业,TD3,38834.26195,8687.945482751187,8
33,每百回合/累计收益/消费企业,TD3,49701.073175000005,11269.872132978895,8
34,每百回合/累计收益/消费企业,TD3,69014.28995,16384.330048682343,8
35,每百回合/累计收益/消费企业,TD3,97382.57521250001,25018.685126903598,8
