step,metric,group,mean,sem,n
1,每百回合/偿债能力/生产企业,GAIL+TD3,61.521003828250855,0.7829935881100775,8
2,每百回合/偿债能力/生产企业,GAIL+TD3,61.57487191510738,0.8829801697637707,8
3,每百回合/偿债能力/生产企业,GAIL+TD3,60.88029274183455,1.7851209904910847,8
4,每百回合/偿债能力/生产企业,GAIL+TD3,61.288440966134885,3.8649638205248595,7
5,每百回合/偿债能力/生产企业,GAIL+TD3,59.7224270680911,5.225356750137951,8
6,每百回合/偿债能力/生产企业,GAIL+TD3,52.59929891096408,1.7821414631032146,8
7,每百回合/偿债能力/生产企业,GAIL+TD3,48.860059696024635,1.833763150563669,8
8,每百回合/偿债能力/生产企业,GAIL+TD3,47.36924700865963,2.326141709582615,8
9,每百回合/偿债能力/生产企业,GAIL+TD3,44.68000950731562,3.594775596106785,8
10,每百回合/偿债能力/生产企业,GAIL+TD3,48.23069211766402,14.106177059594915,8
11,每百回合/偿债能力/生产企业,GAIL+TD3,39.61745647842498,8.420229965374245,8
12,每百回合/偿债能力/生产企业,GAIL+TD3,31.150532652253354,6.335839079186726,8
13,每百回合/偿债能力/生产企业,GAIL+TD3,30.13994399947703,7.092382197739496,8
14,每百回合/偿债能力/生产企业,GAIL+TD3,30.69413749197166,11.468559773384614,8
15,每百回合/偿债能力/生产企业,GAIL+TD3,37.5335231982401,13.830916406356081,8
16,每百回合/偿债能力/生产企业,GAIL+TD3,32.09984171450729,13.159923235531798,8
17,每百回合/偿债能力/生产企业,GAIL+TD3,31.696155512395883,14.137239757679586,8
18,每百回合/偿债能力/生产企业,GAIL+TD3,31.202250214925655,13.477688479813517,8
19,每百回合/偿债能力/生产企业,GAIL+TD3,31.865383035628497,13.950630960286198,8
20,每百回合/偿债能力/生产企业,GAIL+TD3,29.613269570915133,11.045309653667791,8
21,每百回合/偿债能力/生产企业,GAIL+TD3,31.63573481950312,12.175293076144929,7
22,每百回合/偿债能力/生产企业,GAIL+TD3,28.665231218780296,10.383204298568575,8
23,每百回合/偿债能力/生产企业,GAIL+TD3,27.32671053449252,9.529406914120672,8
24,每百回合/偿债能力/生产企业,GAIL+TD3,25.99924856902783,7.7861824776819795,8
25,每百回合/偿债能力/生产企业,GAIL+TD3,23.70545082212481,6.074259423147376,8
26,每百回合/偿债能力/生产企业,GAIL+TD3,24.42213268126049,6.393186857800898,8
27,每百回合/偿债能力/生产企业,GAIL+TD3,23.941538812716814,7.220495834831582,8
28,每百回合/偿债能力/生产企业,GAIL+TD3,23.55024302817681,7.071667182397335,8
29,每百回合/偿债能力/生产企业,GAIL+TD3,24.30699655889883,7.02383105732271,8
30,每百回合/偿债能力/生产企业,GAIL+TD3,24.009644462398647,7.897873216336411,8
31,每百回合/偿债能力/生产企业,GAIL+TD3,23.524772754848613,6.944130067644873,8
32,每百回合/偿债能力/生产企业,GAIL+TD3,23.326017241415514,7.159304008491129,8
33,每百回合/偿债能力/生产企业,GAIL+TD3,23.372352452534535,7.379556163118003,8
34,每百回合/偿债能力/生产企业,GAIL+TD3,24.267763926186912,7.999884054039276,8
35,每百回合/偿债能力/生产企业,GAIL+TD3,23.20048610992968,6.961404666607819,8
36,每百回合/偿债能力/生产企业,GAIL+TD3,24.29441735207336,7.340070149166713,8
37,每百回合/偿债能力/生产企业,GAIL+TD3,23.841338259150795,6.996569249759531,8
38,每百回合/偿债能力/生产企业,GAIL+TD3,23.7201706135763,6.685290549647886,8
39,每百回合/偿债能力/生产企业,GAIL+TD3,24.470771459164048,7.270083235618426,8
40,每百回合/偿债能力/生产企业,GAIL+TD3,23.919840090399614,7.037011783805188,8
41,每百回合/偿债能力/生产企业,GAIL+TD3,22.974685518323913,6.992640201811395,8
42,每百回合/偿债能力/生产企业,GAIL+TD3,23.667341637899277,7.246806795801579,8
43,每百回合/偿债能力/生产企业,GAIL+TD3,23.565555851909032,7.218985624735876,8
44,每百回合/偿债能力/生产企业,GAIL+TD3,24.10684098049728,7.251428934742348,8
45,每百回合/偿债能力/生产企业,GAIL+TD3,24.300095871087457,7.1820514523878,8
46,每百回合/偿债能力/生产企业,GAIL+TD3,24.402275958775412,7.252982856376909,8
47,每百回合/偿债能力/生产企业,GAIL+TD3,23.953989234904057,7.321375693318641,8
48,每百回合/偿债能力/生产企业,GAIL+TD3,24.04141778908056,7.029534714376488,8
49,每百回合/偿债能力/生产企业,GAIL+TD3,23.765121570416778,6.910814248661937,8
50,每百回合/偿债能力/生产企业,GAIL+TD3,23.621055915604153,6.785003389165985,8
51,每百回合/偿债能力/生产企业,GAIL+TD3,23.820272614063104,7.221172513424839,8
52,每百回合/偿债能力/生产企业,GAIL+TD3,24.369239132093263,6.97502492442892,8
53,每百回合/偿债能力/生产企业,GAIL+TD3,23.75867664500993,7.284710861098589,8
54,每百回合/偿债能力/生产企业,GAIL+TD3,24.09984366962071,7.140389878941602,8
55,每百回合/偿债能力/生产企业,GAIL+TD3,24.684568275606665,7.3717127281908255,8
56,每百回合/偿债能力/生产企业,GAIL+TD3,24.06146146767818,7.0213055762071495,8
57,每百回合/偿债能力/生产企业,GAIL+TD3,23.5995043464211,7.408680593676215,8
58,每百回合/偿债能力/生产企业,GAIL+TD3,23.79226757451062,7.179932797036849,8
59,每百回合/偿债能力/生产企业,GAIL+TD3,23.488553847405342,7.454146434761394,8
60,每百回合/偿债能力/生产企业,GAIL+TD3,23.923537656210197,7.414782020435667,8
1,每百回合/偿债能力/生产企业,Trans.+GAIL+TD3,70.1783883036342,1.3826114772174496,8
2,每百回合/偿债能力/生产企业,Trans.+GAIL+TD3,69.44235987239342,1.593601607858172,8
3,每百回合/偿债能力/生产企业,Trans.+GAIL+TD3,70.08795032080134,2.475295001571369,8
4,每百回合/偿债能力/生产企业,Trans.+GAIL+TD3,63.79375192996691,1.9769221892246411,8
5,每百回合/偿债能力/生产企业,Trans.+GAIL+TD3,64.87354847690538,5.430187510752795,8
