step,metric,group,mean,sem,n
1,每百回合/存活天数,GAIL+TD3,7.0200000000000005,0.1013304354222222,8
2,每百回合/存活天数,GAIL+TD3,6.885,0.08616843969807042,8
3,每百回合/存活天数,GAIL+TD3,8.35375,0.7540816020166518,8
4,每百回合/存活天数,GAIL+TD3,10.635,0.60197887955357,8
5,每百回合/存活天数,GAIL+TD3,11.46375,0.5601910946275387,8
6,每百回合/存活天数,GAIL+TD3,12.77625,0.4458736908747651,8
7,每百回合/存活天数,GAIL+TD3,13.99875,0.5123072372679726,8
8,每百回合/存活天数,GAIL+TD3,15.572499999999998,1.065509184112728,8
9,每百回合/存活天数,GAIL+TD3,21.04625,3.0267462123423177,8
10,每百回合/存活天数,GAIL+TD3,38.8275,7.488839970725963,8
11,每百回合/存活天数,GAIL+TD3,53.195,10.207366737522744,8
12,每百回合/存活天数,GAIL+TD3,61.66375,10.282686200165374,8
13,每百回合/存活天数,GAIL+TD3,69.17875,10.86833185345321,8
14,每百回合/存活天数,GAIL+TD3,74.02625,7.651390148551904,8
15,每百回合/存活天数,GAIL+TD3,66.77,4.085409579047298,8
16,每百回合/存活天数,GAIL+TD3,76.68375,4.458118171821892,8
17,每百回合/存活天数,GAIL+TD3,82.31500000000001,4.027771007109799,8
18,每百回合/存活天数,GAIL+TD3,80.85625,4.189509832179484,8
19,每百回合/存活天数,GAIL+TD3,80.92500000000001,3.9200150327700105,8
20,每百回合/存活天数,GAIL+TD3,76.09,5.672440266007971,8
21,每百回合/存活天数,GAIL+TD3,76.53375000000001,5.182366371201204,8
22,每百回合/存活天数,GAIL+TD3,77.02625,5.144285295875137,8
23,每百回合/存活天数,GAIL+TD3,77.2825,4.8539254180802685,8
24,每百回合/存活天数,GAIL+TD3,76.83375000000001,4.850761699207661,8
25,每百回合/存活天数,GAIL+TD3,75.06875,5.9523766074388895,8
26,每百回合/存活天数,GAIL+TD3,77.065,4.583741453691046,8
27,每百回合/存活天数,GAIL+TD3,79.56875,4.2884710218628195,8
28,每百回合/存活天数,GAIL+TD3,81.50625,4.484340984191546,8
29,每百回合/存活天数,GAIL+TD3,79.18625,4.0215934730526905,8
30,每百回合/存活天数,GAIL+TD3,81.72999999999999,4.440661147686392,8
31,每百回合/存活天数,GAIL+TD3,79.6575,4.366430280315619,8
32,每百回合/存活天数,GAIL+TD3,81.44250000000001,4.58656724655192,8
33,每百回合/存活天数,GAIL+TD3,81.7225,4.190556453844422,8
34,每百回合/存活天数,GAIL+TD3,80.905,4.290162750825592,8
35,每百回合/存活天数,GAIL+TD3,81.31375,4.244153094678775,8
36,每百回合/存活天数,GAIL+TD3,80.56500000000001,4.20811970226269,8
37,每百回合/存活天数,GAIL+TD3,80.94,4.194010184605115,8
38,每百回合/存活天数,GAIL+TD3,79.94125,4.313510932233741,8
39,每百回合/存活天数,GAIL+TD3,79.17750000000001,4.051357686892489,8
40,每百回合/存活天数,GAIL+TD3,80.82624999999999,4.61096439304497,8
41,每百回合/存活天数,GAIL+TD3,82.47749999999999,4.288642704865958,8
42,每百回合/存活天数,GAIL+TD3,81.57999999999998,4.276024939790961,8
43,每百回合/存活天数,GAIL+TD3,81.76375,4.429344492577719,8
44,每百回合/存活天数,GAIL+TD3,79.95625,4.085593564806185,8
45,每百回合/存活天数,GAIL+TD3,80.45625,4.779179150043895,8
46,每百回合/存活天数,GAIL+TD3,80.225,4.468566804436773,8
47,每百回合/存活天数,GAIL+TD3,80.8475,4.600693173704526,8
48,每百回合/存活天数,GAIL+TD3,80.0775,4.289840052795841,8
49,每百回合/存活天数,GAIL+TD3,80.50625,4.697010043444052,8
50,每百回合/存活天数,GAIL+TD3,80.65374999999999,4.606453135664295,8
51,每百回合/存活天数,GAIL+TD3,80.63874999999999,4.664961888337659,8
52,每百回合/存活天数,GAIL+TD3,79.71000000000001,4.728167872291701,8
53,每百回合/存活天数,GAIL+TD3,81.20750000000001,3.9355398749273096,8
54,每百回合/存活天数,GAIL+TD3,80.1475,3.9580125559246446,8
55,每百回合/存活天数,GAIL+TD3,79.595,4.450699784464075,8
56,每百回合/存活天数,GAIL+TD3,80.6275,3.8412427072126394,8
57,每百回合/存活天数,GAIL+TD3,81.77875,4.253294705074442,8
58,每百回合/存活天数,GAIL+TD3,79.97875,4.125916104982886,8
59,每百回合/存活天数,GAIL+TD3,81.14875,4.571779286909451,8
60,每百回合/存活天数,GAIL+TD3,80.92125,4.86072357837361,8
1,每百回合/存活天数,Trans.+GAIL+TD3,6.9025,0.12128405265562091,8
2,每百回合/存活天数,Trans.+GAIL+TD3,6.867500000000001,0.10569075510320529,8
3,每百回合/存活天数,Trans.+GAIL+TD3,9.43875,0.9134656094472614,8
4,每百回合/存活天数,Trans.+GAIL+TD3,12.2725,0.5036677972632359,8
5,每百回合/存活天数,Trans.+GAIL+TD3,11.46125,0.5257322699272484,8
6,每百回合/存活天数,Trans.+GAIL+TD3,12.903750000000002,0.7813311386437162,8
7,每百回合/存活天数,Trans.+GAIL+TD3,16.353571428571428,0.7466384823484622,8
8,每百回合/存活天数,Trans.+GAIL+TD3,20.26607142857143,1.71063799305828,8
9,每百回合/存活天数,Trans.+GAIL+TD3,32.44642857142857,6.04332255046672,8
10,每百回合/存活天数,Trans.+GAIL+TD3,51.628571428571426,8.241738066432658,8
11,每百回合/存活天数,Trans.+GAIL+TD3,64.2125,8.827926813160218,8
12,每百回合/存活天数,Trans.+GAIL+TD3,74.69642857142857,8.318462180394116,8
13,每百回合/存活天数,Trans.+GAIL+TD3,76.93214285714286,8.527432473601694,8
14,每百回合/存活天数,Trans.+GAIL+TD3,83.33928571428572,8.983902736668746,8
15,每百回合/存活天数,Trans.+GAIL+TD3,85.25892857142857,8.076674941824093,8
16,每百回合/存活天数,Trans.+GAIL+TD3,88.16428571428571,6.716156925533865,8
17,每百回合/存活天数,Trans.+GAIL+TD3,87.40892857142858,5.552108008184648,8
18,每百回合/存活天数,Trans.+GAIL+TD3,82.58571428571429,6.15893777994708,8
19,每百回合/存活天数,Trans.+GAIL+TD3,88.77142857142859,5.005969468614417,8
20,每百回合/存活天数,Trans.+GAIL+TD3,91.60892857142858,4.383320440799952,8
21,每百回合/存活天数,Trans.+GAIL+TD3,91.20714285714287,4.731806495554342,8
22,每百回合/存活天数,Trans.+GAIL+TD3,91.9392857142857,4.656789730884103,8
23,每百回合/存活天数,Trans.+GAIL+TD3,92.15357142857142,4.656833555210337,8
24,每百回合/存活天数,Trans.+GAIL+TD3,92.70178571428572,4.715816416228939,8
25,每百回合/存活天数,Trans.+GAIL+TD3,92.29285714285713,4.960489665945038,8
26,每百回合/存活天数,Trans.+GAIL+TD3,92.55535714285715,4.8227310693424705,8
27,每百回合/存活天数,Trans.+GAIL+TD3,90.80892857142857,4.736973035455208,8
28,每百回合/存活天数,Trans.+GAIL+TD3,90.05892857142858,4.613536488662005,8
29,每百回合/存活天数,Trans.+GAIL+TD3,86.11785714285713,5.659882447089232,8
30,每百回合/存活天数,Trans.+GAIL+TD3,85.9517857142857,4.956934755306685,8
31,每百回合/存活天数,Trans.+GAIL+TD3,88.28035714285714,4.357593601225363,8
32,每百回合/存活天数,Trans.+GAIL+TD3,86.90535714285716,4.641424376650888,8
33,每百回合/存活天数,Trans.+GAIL+TD3,89.04464285714286,4.105882182296266,8
34,每百回合/存活天数,Trans.+GAIL+TD3,89.43035714285713,4.6979040031267925,8
35,每百回合/存活天数,Trans.+GAIL+TD3,88.23214285714286,4.7282321152688835,8
36,每百回合/存活天数,Trans.+GAIL+TD3,89.79821428571428,4.326747812041829,8
37,每百回合/存活天数,Trans.+GAIL+TD3,90.69285714285714,4.540933843927603,8
38,每百回合/存活天数,Trans.+GAIL+TD3,90.24642857142857,4.94557828100291,8
39,每百回合/存活天数,Trans.+GAIL+TD3,90.56071428571428,4.423074064909321,8
40,每百回合/存活天数,Trans.+GAIL+TD3,90.52499999999999,4.510936459375679,8
41,每百回合/存活天数,Trans.+GAIL+TD3,90.25892857142857,4.520097200169437,8
42,每百回合/存活天数,Trans.+GAIL+TD3,90.42142857142856,4.941481169811688,8
43,每百回合/存活天数,Trans.+GAIL+TD3,90.32142857142857,4.840433443232882,8
44,每百回合/存活天数,Trans.+GAIL+TD3,90.44821428571429,4.812838104816931,8
45,每百回合/存活天数,Trans.+GAIL+TD3,90.56964285714285,4.75061407531338,8
46,每百回合/存活天数,Trans.+GAIL+TD3,89.94821428571429,4.765757152375972,8
47,每百回合/存活天数,Trans.+GAIL+TD3,90.51785714285714,4.583000937677428,8
48,每百回合/存活天数,Trans.+GAIL+TD3,90.6107142857143,4.707413629138801,8
49,每百回合/存活天数,Trans.+GAIL+TD3,89.2982142857143,4.938289323187167,8
50,每百回合/存活天数,Trans.+GAIL+TD3,90.5607142857143,4.901439478868895,8
51,每百回合/存活天数,Trans.+GAIL+TD3,90.06785714285715,4.506581476407427,8
52,每百回合/存活天数,Trans.+GAIL+TD3,90.31785714285715,4.740098433921525,8
53,每百回合/存活天数,Trans.+GAIL+TD3,90.35714285714286,5.040934477670112,8
54,每百回合/存活天数,Trans.+GAIL+TD3,90.49642857142857,4.852145350705518,8
55,每百回合/存活天数,Trans.+GAIL+TD3,89.86785714285715,4.769727142265247,8
56,每百回合/存活天数,Trans.+GAIL+TD3,89.85892857142858,4.785341470020073,8
57,每百回合/存活天数,Trans.+GAIL+TD3,89.66607142857141,4.739575747011731,8
58,每百回合/存活天数,Trans.+GAIL+TD3,90.60178571428571,4.771574785047417,8
59,每百回合/存活天数,Trans.+GAIL+TD3,90.17142857142858,4.7407397843188885,8
60,每百回合/存活天数,Trans.+GAIL+TD3,90.34285714285716,4.547263137406535,8
