step,metric,group,mean,sem,n
1,每百回合/累计收益/消费企业,GAIL+TD3,344.91143750000003,26.980053637614407,8
2,每百回合/累计收益/消费企业,GAIL+TD3,330.64219999999995,25.612977446027514,8
3,每百回合/累计收益/消费企业,GAIL+TD3,326.2692625,22.99245418782571,8
4,每百回合/累计收益/消费企业,GAIL+TD3,620.5054375,63.76233666376127,8
5,每百回合/累计收益/消费企业,GAIL+TD3,1037.456525,141.9838833843912,8
6,每百回合/累计收益/消费企业,GAIL+TD3,1811.0504875000001,247.66787314305162,8
7,每百回合/累计收益/消费企业,GAIL+TD3,2856.9226375000007,373.0691810389927,8
8,每百回合/累计收益/消费企业,GAIL+TD3,3844.3916375,523.1158797101995,8
9,每百回合/累计收益/消费企业,GAIL+TD3,8572.990550000002,2316.505815723703,8
10,每百回合/累计收益/消费企业,GAIL+TD3,30907.781199999994,8502.121426834758,8
11,每百回合/累计收益/消费企业,GAIL+TD3,48251.08834999999,10472.128676291906,8
12,每百回合/累计收益/消费企业,GAIL+TD3,63117.8966875,14063.48926933481,8
13,每百回合/累计收益/消费企业,GAIL+TD3,75807.7403,16631.59210193766,8
14,每百回合/累计收益/消费企业,GAIL+TD3,87252.74846249999,13509.921373591067,8
15,每百回合/累计收益/消费企业,GAIL+TD3,82234.35395,11988.883768539976,8
16,每百回合/累计收益/消费企业,GAIL+TD3,100322.0231375,12312.266525321375,8
17,每百回合/累计收益/消费企业,GAIL+TD3,116892.07615,12576.003585581635,8
18,每百回合/累计收益/消费企业,GAIL+TD3,122543.63295,10051.831858323938,8
19,每百回合/累计收益/消费企业,GAIL+TD3,134609.4448375,12538.422134925793,8
20,每百回合/累计收益/消费企业,GAIL+TD3,130110.65715,14135.152959597173,8
21,每百回合/累计收益/消费企业,GAIL+TD3,131697.34305,13827.146141028177,8
22,每百回合/累计收益/消费企业,GAIL+TD3,132012.44951250002,15962.441439504784,8
23,每百回合/累计收益/消费企业,GAIL+TD3,132105.5486125,14266.25911165216,8
24,每百回合/累计收益/消费企业,GAIL+TD3,135381.35465,14628.816441358133,8
25,每百回合/累计收益/消费企业,GAIL+TD3,130127.315325,15072.164407482693,8
26,每百回合/累计收益/消费企业,GAIL+TD3,137391.1372875,14610.77900658479,8
27,每百回合/累计收益/消费企业,GAIL+TD3,145198.01509999996,16996.298473224568,8
28,每百回合/累计收益/消费企业,GAIL+TD3,151676.90966250002,19087.05218016791,8
29,每百回合/累计收益/消费企业,GAIL+TD3,146020.36571249997,18369.299872601387,8
30,每百回合/累计收益/消费企业,GAIL+TD3,152485.04087499998,19892.20347712063,8
31,每百回合/累计收益/消费企业,GAIL+TD3,146897.76224999997,18795.669885283576,8
32,每百回合/累计收益/消费企业,GAIL+TD3,151744.64250000002,20313.984620104013,8
33,每百回合/累计收益/消费企业,GAIL+TD3,152837.9145625,20024.452727922442,8
34,每百回合/累计收益/消费企业,GAIL+TD3,149951.15129999997,19001.352837087266,8
35,每百回合/累计收益/消费企业,GAIL+TD3,150844.6053375,19469.41643680729,8
36,每百回合/累计收益/消费企业,GAIL+TD3,150012.9954625,19683.15903304632,8
37,每百回合/累计收益/消费企业,GAIL+TD3,149485.89065000002,18568.54523534035,8
38,每百回合/累计收益/消费企业,GAIL+TD3,149041.8215625,19567.318269647414,8
39,每百回合/累计收益/消费企业,GAIL+TD3,146213.77798749998,18232.482169750714,8
40,每百回合/累计收益/消费企业,GAIL+TD3,149984.57705,19273.634930424643,8
41,每百回合/累计收益/消费企业,GAIL+TD3,155532.04772499998,20768.91273606001,8
42,每百回合/累计收益/消费企业,GAIL+TD3,151992.07349999997,19702.301167680987,8
43,每百回合/累计收益/消费企业,GAIL+TD3,151408.16773749999,19169.421428494363,8
44,每百回合/累计收益/消费企业,GAIL+TD3,148552.4127875,19647.123210208618,8
45,每百回合/累计收益/消费企业,GAIL+TD3,149005.9599875,19972.719378869602,8
46,每百回合/累计收益/消费企业,GAIL+TD3,148615.67491249996,19177.195210133665,8
47,每百回合/累计收益/消费企业,GAIL+TD3,151514.39613749995,20485.153797056584,8
48,每百回合/累计收益/消费企业,GAIL+TD3,147617.691125,18251.482327752245,8
49,每百回合/累计收益/消费企业,GAIL+TD3,151059.2540625,21078.348134425978,8
