step,metric,group,mean,sem,n
1,每百回合/累计收益/生产企业,GAIL+TD3,326.32892499999997,18.35199498183029,8
2,每百回合/累计收益/生产企业,GAIL+TD3,336.32624999999996,23.733478790262858,8
3,每百回合/累计收益/生产企业,GAIL+TD3,366.1075749999999,26.502399947139207,8
4,每百回合/累计收益/生产企业,GAIL+TD3,621.3713875,63.335737195197154,8
5,每百回合/累计收益/生产企业,GAIL+TD3,841.8562,149.50981740339705,8
6,每百回合/累计收益/生产企业,GAIL+TD3,1466.8728999999998,201.20095292940783,8
7,每百回合/累计收益/生产企业,GAIL+TD3,2346.7628125,220.46642571043333,8
8,每百回合/累计收益/生产企业,GAIL+TD3,3627.591225000001,365.3812360097346,8
9,每百回合/累计收益/生产企业,GAIL+TD3,7911.968237499999,2132.316358768007,8
10,每百回合/累计收益/生产企业,GAIL+TD3,25506.754162500005,7348.020302884082,8
11,每百回合/累计收益/生产企业,GAIL+TD3,40057.865249999995,9578.870102446632,8
12,每百回合/累计收益/生产企业,GAIL+TD3,47398.65013750001,10779.060848585814,8
13,每百回合/累计收益/生产企业,GAIL+TD3,59103.67425000001,11452.752302536099,8
14,每百回合/累计收益/生产企业,GAIL+TD3,69103.3999625,7372.88499890732,8
15,每百回合/累计收益/生产企业,GAIL+TD3,67936.5990875,5995.134861707173,8
16,每百回合/累计收益/生产企业,GAIL+TD3,81952.3850625,8256.480804348985,8
17,每百回合/累计收益/生产企业,GAIL+TD3,95126.354575,10897.993302998177,8
18,每百回合/累计收益/生产企业,GAIL+TD3,101415.43209999998,10475.421724628326,8
19,每百回合/累计收益/生产企业,GAIL+TD3,105673.76772500001,11738.635108008553,8
20,每百回合/累计收益/生产企业,GAIL+TD3,97625.232025,8911.803560177535,8
21,每百回合/累计收益/生产企业,GAIL+TD3,103285.47622499998,10534.277432606845,8
22,每百回合/累计收益/生产企业,GAIL+TD3,106953.8549625,14633.238981212504,8
23,每百回合/累计收益/生产企业,GAIL+TD3,111942.87201249998,17782.08965372355,8
24,每百回合/累计收益/生产企业,GAIL+TD3,111939.95262499998,18097.417106571003,8
25,每百回合/累计收益/生产企业,GAIL+TD3,105800.034775,15722.79669649206,8
26,每百回合/累计收益/生产企业,GAIL+TD3,113555.15161249999,20103.41189443214,8
27,每百回合/累计收益/生产企业,GAIL+TD3,121311.28396250005,23100.745538398827,8
28,每百回合/累计收益/生产企业,GAIL+TD3,128210.25141250002,26027.931646513007,8
29,每百回合/累计收益/生产企业,GAIL+TD3,122491.34042499997,25132.00003334756,8
30,每百回合/累计收益/生产企业,GAIL+TD3,127026.8816625,25372.35414690881,8
31,每百回合/累计收益/生产企业,GAIL+TD3,123211.17201250001,25226.085462240804,8
32,每百回合/累计收益/生产企业,GAIL+TD3,126966.49003749999,26325.898189374762,8
33,每百回合/累计收益/生产企业,GAIL+TD3,128622.167475,26638.16172540358,8
34,每百回合/累计收益/生产企业,GAIL+TD3,125669.03292500002,24882.833857059228,8
35,每百回合/累计收益/生产企业,GAIL+TD3,127014.9119875,25789.495660648718,8
36,每百回合/累计收益/生产企业,GAIL+TD3,126619.10527499998,26222.50362112965,8
37,每百回合/累计收益/生产企业,GAIL+TD3,126202.0586375,25166.218264945677,8
38,每百回合/累计收益/生产企业,GAIL+TD3,126705.69118750001,27212.666087843972,8
39,每百回合/累计收益/生产企业,GAIL+TD3,123545.00868750001,24944.655446124896,8
40,每百回合/累计收益/生产企业,GAIL+TD3,125599.81639999998,24867.41312439606,8
41,每百回合/累计收益/生产企业,GAIL+TD3,131389.2425625,28328.372458928796,8
42,每百回合/累计收益/生产企业,GAIL+TD3,127802.95123749998,25701.216452119617,8
43,每百回合/累计收益/生产企业,GAIL+TD3,126916.16663749999,25348.75060671815,8
44,每百回合/累计收益/生产企业,GAIL+TD3,126191.57783749998,26752.8854261315,8
45,每百回合/累计收益/生产企业,GAIL+TD3,124873.63378749999,25161.520472684042,8
46,每百回合/累计收益/生产企业,GAIL+TD3,125900.3374875,26065.41226440795,8
47,每百回合/累计收益/生产企业,GAIL+TD3,126575.08674999999,26310.071337537564,8
48,每百回合/累计收益/生产企业,GAIL+TD3,124618.364175,25212.111118866116,8
49,每百回合/累计收益/生产企业,GAIL+TD3,126987.9040375,27182.415530780338,8
50,每百回合/累计收益/生产企业,GAIL+TD3,125805.56155000003,25449.91746260082,8
51,每百回合/累计收益/生产企业,GAIL+TD3,125580.13296249999,25894.930632044434,8
52,每百回合/累计收益/生产企业,GAIL+TD3,123027.60165,23783.405225554623,8
53,每百回合/累计收益/生产企业,GAIL+TD3,128978.341125,27407.904100869484,8
54,每百回合/累计收益/生产企业,GAIL+TD3,126684.52646250001,26673.83286727353,8
55,每百回合/累计收益/生产企业,GAIL+TD3,123417.74473749999,25497.392085878713,8
56,每百回合/累计收益/生产企业,GAIL+TD3,125619.59938750001,25084.890549599684,8
57,每百回合/累计收益/生产企业,GAIL+TD3,128200.24488750001,27054.93736368753,8
58,每百回合/累计收益/生产企业,GAIL+TD3,124771.999575,25663.75043591375,8
59,每百回合/累计收益/生产企业,GAIL+TD3,128802.4701428571,28973.28596643138,7
60,每百回合/累计收益/生产企业,GAIL+TD3,127631.867475,26708.14911220368,8
1,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,328.75407499999994,21.595750171443726,8
2,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,314.89886249999995,19.57957785856532,8
3,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,370.45221250000003,38.83248795081915,8
4,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,681.2162125,79.17768453462402,8
5,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,1146.0792625000001,186.12074714478172,8
6,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,2369.3569374999997,392.2264179923253,8
7,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,4280.51765,484.30595249794135,8
8,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,7493.494162500001,1576.6623833861677,8
9,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,21292.884325,6496.752356190928,8
10,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,54570.411425,19963.45616383618,8
11,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,78931.9411625,26757.996360073917,8
12,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,107532.38378750003,39227.555187870625,8
13,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,119367.96366250003,40343.85250290084,8
14,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,117701.693375,26685.412217812303,8
15,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,133409.9637375,35027.24465283972,8
16,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,138157.9001875,38126.75108788939,8
17,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,140681.65468749998,39068.08554416205,8
18,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,126017.379025,31758.81487903851,8
19,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,135059.88795,25786.19458991343,8
20,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,152924.7722375,38523.50009296844,8
21,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,145746.13684999998,35880.68100960197,8
22,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,149648.99832500005,40069.35675399964,8
23,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,152626.22665,44072.2109610536,8
24,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,152566.59061249997,41314.77642004449,8
25,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,148793.99465000004,36996.8315090566,8
26,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,159707.26645,45432.46204742785,8
27,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,160247.36631250006,49244.534327886686,8
28,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,158878.76428750003,45033.74378716871,8
29,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,152922.549025,47395.76301501274,8
30,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,161651.4138875,52106.58929533597,8
31,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,168855.30756250003,56907.98536318525,8
