step,metric,group,mean,sem,n
1,每百回合/累计收益/银行,GAIL+TD3,12.458912500000002,0.5092486809848616,8
2,每百回合/累计收益/银行,GAIL+TD3,12.176750000000002,0.5547867080496538,8
3,每百回合/累计收益/银行,GAIL+TD3,43.058885714285715,15.030678670249701,7
4,每百回合/累计收益/银行,GAIL+TD3,64.2386375,12.497214376296835,8
5,每百回合/累计收益/银行,GAIL+TD3,71.7267375,12.005643412815983,8
6,每百回合/累计收益/银行,GAIL+TD3,79.87608750000001,12.197039554106638,8
7,每百回合/累计收益/银行,GAIL+TD3,102.26880000000001,14.863840618835459,8
8,每百回合/累计收益/银行,GAIL+TD3,315.74603749999994,209.10376938233566,8
9,每百回合/累计收益/银行,GAIL+TD3,1030.6058624999998,802.5133912670703,8
10,每百回合/累计收益/银行,GAIL+TD3,4453.6673125,2327.4125276028794,8
11,每百回合/累计收益/银行,GAIL+TD3,5269.496712499999,1847.9553032649303,8
12,每百回合/累计收益/银行,GAIL+TD3,10907.027100000008,6700.021234910002,8
13,每百回合/累计收益/银行,GAIL+TD3,8581.812275000002,2271.103015971946,8
14,每百回合/累计收益/银行,GAIL+TD3,8669.65925,2018.0991585435625,8
15,每百回合/累计收益/银行,GAIL+TD3,5735.6698125,937.5814886879513,8
16,每百回合/累计收益/银行,GAIL+TD3,7566.374625000001,1393.3959358365755,8
17,每百回合/累计收益/银行,GAIL+TD3,8924.703325,2266.5515961906403,8
18,每百回合/累计收益/银行,GAIL+TD3,8238.4832875,1754.2599987393658,8
19,每百回合/累计收益/银行,GAIL+TD3,10657.925325000004,3721.7041505294355,8
20,每百回合/累计收益/银行,GAIL+TD3,9239.656550000003,2599.080848980926,8
21,每百回合/累计收益/银行,GAIL+TD3,7176.2567875,1125.1516833895187,8
22,每百回合/累计收益/银行,GAIL+TD3,7846.335725,1092.5935817119744,8
23,每百回合/累计收益/银行,GAIL+TD3,8428.170300000002,1391.0885975190477,8
24,每百回合/累计收益/银行,GAIL+TD3,10793.338499999998,3721.516479801864,8
25,每百回合/累计收益/银行,GAIL+TD3,8401.922825000001,1850.0802940193817,8
