group,metric_id,n_runs,first_step,last_step,last_step_n,last_mean,last_sem,seeds
TD3,survival,8,1,60,8,82.4725,3.1605666026837658,"184,291,83,739,512,117,894,652"
TD3,production,8,1,60,8,211908.222025,64099.759769942764,"184,291,83,739,512,117,894,652"
TD3,consumption,8,1,60,8,192094.07806250002,55060.87574542946,"184,291,83,739,512,117,894,652"
TD3,bank,8,1,60,8,5581.0318,1417.088844460225,"184,291,83,739,512,117,894,652"
TD3,production_dscr,8,1,60,8,45.645861109929236,16.677090949214087,"184,291,83,739,512,117,894,652"
GAIL+TD3,survival,8,1,60,8,80.92125,4.860723578373609,"184,291,83,739,894,652,187,191"
GAIL+TD3,production,8,1,60,8,127631.867475,26708.14911220368,"184,291,83,739,894,652,187,191"
GAIL+TD3,consumption,8,1,60,8,151128.09893750004,20582.89025306157,"184,291,83,739,894,652,187,191"
GAIL+TD3,bank,8,1,60,8,10125.068087500002,2172.5827646621588,"184,291,83,739,894,652,187,191"
GAIL+TD3,production_dscr,8,1,60,8,19.741480068350942,10.332235134599618,"184,291,83,739,894,652,187,191"
Transformer+GAIL+TD3,survival,8,1,60,8,90.34285714285714,4.547263137406535,"184,291,83,739,894,652,187,192"
Transformer+GAIL+TD3,production,8,1,60,8,183166.3292875,65591.00880700242,"184,291,83,739,894,652,187,192"
Transformer+GAIL+TD3,consumption,8,1,60,8,170790.9444,40586.76967278363,"184,291,83,739,894,652,187,192"
Transformer+GAIL+TD3,bank,8,1,60,8,7112.1399624999995,3496.338533397133,"184,291,83,739,894,652,187,192"
Transformer+GAIL+TD3,production_dscr,8,1,60,8,163.50586936649697,92.31170174475682,"184,291,83,739,894,652,187,192"
