run,seed,metric_id,step,value
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,1,6.9
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,2,7.21
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,3,6.91
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,4,9.43
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,5,11.35
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,6,11.9
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,7,12.89
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,8,12.69
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,9,18.42
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,10,32.94
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,11,34.63
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,12,38.56
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,13,34.6
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,14,38.31
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,15,46.22
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,16,52.49
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,17,61.85
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,18,59.97
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,19,62.98
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,20,57.3
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,21,59.32
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,22,65.08
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,23,68.55
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,24,66.67
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,25,62.54
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,26,67.61
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,27,69.02
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,28,73.38
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,29,74.48
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,30,71.62
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,31,70.04
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,32,76.58
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,33,75.16
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,34,73.11
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,35,72.92
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,36,75.22
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,37,74.23
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,38,74.57
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,39,73.38
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,40,75.06
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,41,78.67
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,42,73.94
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,43,75.21
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,44,77.04
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,45,73.3
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,46,74.33
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,47,75.83
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,48,73.54
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,49,75.85
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,50,73.68
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,51,70.5
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,52,70.19
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,53,76.37
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,54,75.76
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,55,74.21
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,56,74.06
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,57,77.76
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,58,73.79
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,59,72.68
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,survival,60,73.8
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,1,304.9812
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,2,318.6968
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,3,436.1674999999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,4,563.7173999999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,5,536.2741000000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,6,1395.3020999999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,7,3015.5160999999994
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,8,3217.348700000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,9,10150.484399999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,10,54148.450500000006
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,11,52436.82629999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,12,61385.4283
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,13,45409.03569999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,14,56438.797899999976
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,15,81281.35679999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,16,106355.97479999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,17,136892.7506
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,18,138817.08370000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,19,161200.3882999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,20,143879.8636
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,21,161110.76300000004
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,22,181664.63070000007
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,23,208714.4090999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,24,211541.48459999994
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,25,196449.2393
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,26,226202.77820000015
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,27,227313.61660000018
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,28,248636.56100000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,29,247823.75889999987
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,30,238596.65139999994
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,31,229921.10030000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,32,258145.8998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,33,249956.62289999987
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,34,240976.99639999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,35,243840.55779999986
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,36,252678.23789999995
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,37,247233.11849999995
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,38,254048.06190000006
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,39,248767.0245
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,40,248960.32590000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,41,271082.5380000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,42,251516.50669999994
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,43,249804.12389999992
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,44,260794.49699999992
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,45,244009.7251
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,46,251974.97519999993
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,47,255281.94529999993
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,48,246553.5193999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,49,259092.75900000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,50,247314.22009999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,51,233147.11979999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,52,232548.1209
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,53,259976.0486000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,54,259569.0549
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,55,248497.3314999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,56,251300.79770000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,57,265647.99050000013
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,58,248969.74539999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,59,239401.84369999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production,60,246701.7979999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,1,425.6419000000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,2,349.2125000000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,3,260.3310000000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,4,500.2114000000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,5,1186.2063999999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,6,1671.2845000000007
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,7,3020.2016
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,8,3647.406200000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,9,13161.658699999994
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,10,61867.984699999986
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,11,56174.413800000024
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,12,64390.826400000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,13,48613.1529
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,14,59242.709099999985
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,15,81837.35310000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,16,101695.24450000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,17,134000.1862
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,18,128705.37300000008
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,19,143360.01049999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,20,130380.96900000006
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,21,142810.5176
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,22,161776.00579999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,23,171474.78129999994
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,24,168120.58759999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,25,158285.17590000006
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,26,180539.89069999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,27,185963.66869999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,28,203882.39409999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,29,206781.45309999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,30,197711.92749999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,31,189877.59839999993
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,32,213487.31940000004
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,33,208614.41419999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,34,199148.72319999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,35,201290.25660000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,36,209266.83370000008
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,37,203527.90820000006
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,38,207427.32820000008
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,39,204585.58859999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,40,207144.9736
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,41,223774.77330000006
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,42,206412.19069999986
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,43,207477.7658
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,44,214640.20690000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,45,201009.98030000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,46,205720.4788999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,47,212017.32140000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,48,202630.51930000004
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,49,211477.59660000008
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,50,204258.90989999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,51,192504.07540000015
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,52,193259.234
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,53,212982.04679999992
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,54,212829.1750999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,55,205786.55259999988
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,56,205177.66829999993
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,57,218898.61050000004
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,58,204622.9079
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,59,198443.82309999995
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,consumption,60,203657.2484
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,1,10.9073
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,2,14.826500000000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,3,13.430299999999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,4,53.55859999999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,5,70.75389999999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,6,61.06600000000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,7,60.993299999999984
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,8,61.361399999999975
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,9,209.97959999999983
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,10,697.0501
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,11,630.0532000000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,12,680.6307000000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,13,527.8968999999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,14,679.8425000000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,15,916.9195000000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,16,1127.5683000000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,17,1534.696300000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,18,1513.3410000000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,19,1696.3650999999993
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,20,1573.7664000000004
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,21,1745.4585999999988
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,22,2295.0642000000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,23,2240.0674999999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,24,2260.8472999999994
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,25,2188.2914
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,26,2485.4833000000012
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,27,2536.1744
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,28,2984.8041
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,29,3010.4101999999984
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,30,2881.0494
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,31,2759.305499999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,32,3080.2032
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,33,3027.5747000000015
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,34,2920.7551000000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,35,2905.2321
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,36,3022.1504999999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,37,3026.200899999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,38,3080.181200000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,39,2992.8296999999993
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,40,3008.5907
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,41,3262.5707000000007
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,42,2980.8052999999995
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,43,3074.9628000000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,44,3206.0934
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,45,2970.9139999999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,46,2970.3779000000004
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,47,3091.8633999999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,48,2904.567300000001
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,49,2986.818299999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,50,3007.8505999999998
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,51,2807.021400000002
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,52,2765.2763999999997
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,53,3065.6266000000005
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,54,3027.7832
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,55,2953.869299999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,56,3025.913399999999
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,57,3151.0627000000004
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,58,2916.6465999999996
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,59,2910.5116000000003
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,bank,60,2955.9993000000013
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,1,1.8503508355974227
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,2,3.8912459749298454
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,3,2.752378496082179
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,4,8.179016319016444
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,5,10.090302307171065
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,6,6.658005031654067
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,7,10.302352486266365
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,8,15.661383807148207
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,9,10.186562315633443
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,10,16.304385155956126
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,11,199.82750317892038
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,12,128.6272269965334
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,13,149.61742522990156
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,14,302.76093238935255
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,15,350.14704391788314
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,16,260.598933093935
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,17,263.7729906347402
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,18,281.6099111141051
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,19,274.4865217996823
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,20,154.05737721838707
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,21,151.95892870532177
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,22,156.61942334100368
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,23,126.36528124569669
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,24,98.10621038111776
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,25,66.42788864714385
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,26,76.27343744218832
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,27,103.61332689841254
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,28,84.60551059873524
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,29,109.86336434974446
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,30,89.3980203607415
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,31,77.99563957667752
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,32,104.57331298545787
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,33,98.41503876269577
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,34,121.00247256914969
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,35,77.98661015996889
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,36,94.22718556733
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,37,76.19815153050463
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,38,75.90996541834318
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,39,79.64528943036923
run-20260621_223131-dm2s10i96kbbd7fky6owy,291,production_dscr,40,80.54418915179278
