run,seed,metric_id,step,value
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,1,7.46
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,2,7.25
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,3,10.64
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,4,11.97
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,5,11.29
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,6,12.87
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,7,16.39
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,8,17.89
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,9,29.08
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,10,52.41
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,11,66.54
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,12,84.25
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,13,83.78
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,14,79.52
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,15,75.44
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,16,78.47
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,17,79.35
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,18,71.99
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,19,80.56
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,20,83.6
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,21,80.97
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,22,88.16
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,23,78.12
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,24,82.29
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,25,85.27
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,26,79.08
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,27,79.88
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,28,81.94
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,29,80.62
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,30,87.92
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,31,80.64
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,32,87.86
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,33,83.73
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,34,86.89
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,35,84.82
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,36,85.09
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,37,82.94
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,38,78.91
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,39,82.09
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,40,86.11
run-20260622_110022-x8utkar2er1eerentcryu,187,survival,41,84.55
