run,seed,metric_id,step,value
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,1,6.78
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,2,6.58
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,3,7.51
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,4,10.39
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,5,11.39
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,6,13.78
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,7,14.4
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,8,14.18
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,9,19.26
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,10,41.02
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,11,77.27
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,12,88.75
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,13,94.41
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,14,92.56
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,15,78.49
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,16,85.47
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,17,84.5
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,18,91.13
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,19,77.48
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,20,86.49
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,21,86.71
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,22,82.74
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,23,86.16
run-20260622_134950-g5g4dxxf5ozv6uufkbfmk,191,survival,24,87.58
