run,seed,metric_id,step,value
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,1,7.19
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,2,7.23
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,3,7.38
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,4,7.32
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,5,7.49
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,6,6.75
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,7,12.22
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,8,12.04
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,9,12.16
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,10,11.96
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,11,11.92
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,12,11.6
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,13,11.79
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,14,12.76
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,15,12.11
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,16,11.92
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,17,14.92
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,18,14.6
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,19,16.15
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,20,15.87
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,21,15.84
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,22,15.24
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,23,17.18
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,24,16.57
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,25,17.06
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,26,18.48
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,27,19.69
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,28,22.06
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,29,25.1
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,30,27.48
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,31,28.52
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,32,31.93
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,33,35.68
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,34,36.14
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,35,36.13
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,36,40.41
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,37,38.58
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,38,41.54
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,39,41.8
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,40,52.24
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,41,59.41
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,42,65.89
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,43,75.01
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,44,78.2
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,45,77.3
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,46,75.81
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,47,78.77
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,48,76.17
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,49,78.49
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,50,78.91
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,51,77.56
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,52,75.49
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,53,77.7
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,54,74.55
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,55,74.17
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,56,77.19
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,57,76.89
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,58,77.06
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,59,74.96
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,survival,60,75.49
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,1,275.1573000000001
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,2,270.1176999999999
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,3,303.277
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,4,305.8556999999999
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,5,333.44010000000014
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,6,328.44809999999995
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,7,333.62349999999986
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,8,354.4032999999999
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,9,334.5990000000001
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,10,602.0072
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,11,1109.9916000000003
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,12,1124.2265000000002
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,13,1371.6254999999999
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,14,1447.4253999999994
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,15,1302.9251000000004
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,16,1436.9761
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,17,1716.1789999999996
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,18,1979.5326
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,19,1791.2923999999996
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,20,2278.9751000000006
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,21,3061.9269999999988
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,22,3032.2175
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,23,4242.907900000002
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,24,3455.2633000000005
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,25,4476.1080999999995
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,26,4464.3244
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,27,6714.279899999999
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,28,9048.402300000003
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,29,12378.838800000005
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,30,15318.847700000002
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,31,18466.2089
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,32,28606.136400000003
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,33,38445.7331
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,34,48364.57250000001
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,35,53044.291099999995
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,36,78240.0956
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,37,82435.9668
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,38,108275.54010000001
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,39,118899.73940000005
run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,production,40,149631.5943
