run,seed,metric_id,step,value
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,1,7.38
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,2,7.23
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,3,7.64
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,4,7.56
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,5,7.5
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,6,7.34
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,7,11.26
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,8,12.01
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,9,11.28
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,10,10.41
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,11,10.34
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,12,11.41
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,13,11.4
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,14,10.9
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,15,10.97
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,16,10.57
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,17,12.0
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,18,12.13
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,19,10.91
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,20,11.1
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,21,12.72
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,22,15.08
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,23,15.72
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,24,16.41
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,25,15.24
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,26,20.87
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,27,22.97
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,28,25.4
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,29,30.7
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,30,39.27
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,31,45.91
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,32,23.32
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,33,30.57
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,34,56.29
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,35,46.28
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,36,40.37
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,37,43.0
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,38,41.82
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,39,52.9
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,40,66.37
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,41,68.19
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,42,67.37
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,43,71.27
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,44,69.07
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,45,77.84
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,46,81.16
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,47,71.44
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,48,80.86
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,49,78.77
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,50,77.02
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,51,79.16
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,52,81.15
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,53,78.41
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,54,78.8
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,55,75.88
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,56,76.83
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,57,77.96
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,58,78.08
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,59,81.62
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,survival,60,76.17
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,1,407.654
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,2,429.9725
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,3,480.9251000000001
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,4,458.4805999999999
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,5,469.3312000000003
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,6,446.7317000000001
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,7,453.1603
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,8,909.7262
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,9,911.8857999999997
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,10,1088.0424999999998
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,11,1106.0875000000003
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,12,1290.8868
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,13,1399.9655000000002
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,14,1576.6648
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,15,1682.9937999999995
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,16,1613.4718000000007
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,17,1973.1499999999987
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,18,1951.4901
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,19,1384.0948999999998
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,20,1366.6350999999997
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,21,1903.9077
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,22,2613.1416999999988
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,23,3281.6704
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,24,3141.919500000002
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,25,2843.7413
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,26,5472.329699999999
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,27,6363.8278
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,28,8321.511299999996
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,29,11707.451000000006
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,30,19501.038799999995
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,31,26859.643800000013
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,32,7712.650800000003
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,33,15567.5781
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,34,44953.857200000006
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,35,47890.87589999997
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,36,45938.13500000001
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,37,53889.5227
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,38,58754.20909999997
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,39,82701.03169999999
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,40,119518.68909999999
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,41,131460.17920000004
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,42,132582.4242
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,43,138953.52120000008
run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,production,44,137976.98830000006
