run,seed,metric_id,step,value
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,1,6.5
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,2,6.59
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,3,6.48
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,4,6.55
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,5,6.4
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,6,7.03
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,7,6.72
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,8,9.42
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,9,9.4
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,10,10.03
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,11,10.02
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,12,10.59
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,13,10.13
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,14,10.95
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,15,10.29
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,16,10.33
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,17,10.84
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,18,11.22
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,19,12.81
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,20,12.81
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,21,13.19
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,22,15.01
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,23,15.52
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,24,15.37
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,25,16.33
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,26,18.68
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,27,19.06
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,28,18.56
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,29,22.95
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,30,23.33
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,31,23.37
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,32,28.65
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,33,28.49
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,34,30.09
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,35,36.81
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,36,41.09
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,37,47.86
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,38,45.53
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,39,51.18
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,40,46.27
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,41,50.53
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,42,61.26
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,43,77.7
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,44,84.7
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,45,84.91
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,46,90.37
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,47,89.99
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,48,88.93
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,49,89.46
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,50,90.85
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,51,93.16
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,52,92.85
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,53,88.81
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,54,89.29
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,55,88.17
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,56,89.36
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,57,89.29
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,58,93.48
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,59,90.02
run-20260622_063205-sgs3p05et5bj1by7pfa86,894,survival,60,92.47
