run,seed,metric_id,step,value
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,1,6.95
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,2,6.68
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,3,6.77
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,4,6.87
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,5,6.7
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,6,6.71
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,7,10.71
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,8,13.37
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,9,11.39
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,10,10.72
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,11,12.17
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,12,11.54
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,13,11.61
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,14,12.42
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,15,12.63
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,16,12.35
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,17,13.65
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,18,14.41
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,19,17.22
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,20,17.48
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,21,22.74
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,22,20.25
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,23,21.35
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,24,25.23
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,25,25.7
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,26,26.77
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,27,30.51
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,28,34.55
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,29,38.45
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,30,42.62
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,31,51.7
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,32,63.01
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,33,69.61
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,34,72.08
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,35,89.1
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,36,89.09
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,37,91.41
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,38,81.15
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,39,72.47
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,40,79.59
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,41,79.88
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,42,72.88
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,43,74.42
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,44,72.02
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,45,73.94
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,46,75.74
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,47,75.82
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,48,74.35
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,49,80.69
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,50,76.56
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,51,79.07
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,52,75.11
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,53,76.15
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,54,80.19
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,55,72.48
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,56,68.0
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,57,76.9
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,58,78.38
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,59,73.1
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,survival,60,69.52
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,1,231.27499999999992
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,2,196.8682
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,3,218.08959999999996
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,4,217.53680000000014
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,5,210.25709999999998
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,6,268.92470000000003
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,7,360.8999
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,8,544.1801
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,9,878.0914999999998
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,10,695.5372999999995
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,11,1150.4234999999999
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,12,1348.4470999999996
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,13,1466.8034000000002
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,14,1749.8843000000006
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,15,2237.7475000000004
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,16,2311.6722999999993
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,17,2541.2434999999996
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,18,3155.0503
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,19,4042.6647000000007
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,20,3880.0574000000006
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,21,6145.756799999996
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,22,5685.458999999998
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,23,6064.225299999999
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,24,9686.722300000001
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,25,10425.771900000003
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,26,13349.168399999999
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,27,14907.492499999993
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,28,19829.573499999995
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,29,24692.92770000001
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,30,31174.034000000007
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,31,47250.4833
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,32,72564.65010000001
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,33,93321.33469999999
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,34,105949.17629999998
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,35,158100.70900000003
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,36,176042.36970000004
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,37,169720.31839999996
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,38,132528.0707
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,39,113470.03700000001
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,40,129379.85060000005
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,41,128446.53589999996
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,42,114001.50689999996
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,43,116363.42510000002
run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,production,44,113267.73999999995
