run,seed,metric_id,step,value
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,1,6.68
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,2,6.72
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,3,6.59
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,4,6.6
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,5,6.66
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,6,6.67
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,7,8.43
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,8,13.6
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,9,9.81
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,10,8.73
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,11,10.28
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,12,10.54
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,13,11.75
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,14,10.84
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,15,11.18
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,16,10.21
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,17,11.81
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,18,11.94
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,19,11.86
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,20,12.53
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,21,13.56
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,22,13.29
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,23,13.44
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,24,17.12
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,25,16.9
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,26,18.64
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,27,20.88
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,28,19.42
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,29,29.23
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,30,28.38
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,31,34.99
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,32,31.25
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,33,42.48
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,34,46.59
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,35,57.14
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,36,58.97
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,37,60.01
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,38,65.19
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,39,71.48
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,40,84.12
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,41,84.15
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,42,89.08
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,43,91.72
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,44,94.1
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,45,92.57
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,46,91.68
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,47,91.65
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,48,88.8
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,49,93.19
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,50,91.06
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,51,91.91
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,52,95.38
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,53,92.63
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,54,93.79
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,55,93.13
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,56,92.28
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,57,95.49
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,58,93.26
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,59,94.88
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,survival,60,93.15
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,production,1,290.6102000000001
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,production,2,329.03460000000007
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,production,3,313.4887000000001
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,production,4,320.61519999999985
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,production,5,298.7072
run-20260622_080822-vx1bs5edgj8z9ihb6xe1x,652,production,6,314.27640000000014
