run,seed,metric_id,step,value
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,1,6.43
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,2,6.74
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,3,6.7
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,4,12.96
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,5,10.0
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,6,11.97
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,7,17.885714285714286
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,8,29.6
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,9,67.45714285714286
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,10,76.78571428571429
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,11,80.62857142857143
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,12,91.15714285714286
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,13,93.82857142857142
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,14,96.35714285714286
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,15,95.58571428571429
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,16,98.21428571428571
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,17,98.77142857142857
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,18,92.6
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,19,96.5
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,20,97.38571428571429
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,21,97.92857142857143
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,22,99.0
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,23,99.0
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,24,99.0
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,25,99.0
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,26,99.0
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,27,99.0
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,28,96.44285714285714
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,29,96.48571428571428
run-20260624_073818-an8ie0ctj7ii46dc18f2a,192,survival,30,91.7
