run,seed,metric_id,step,value
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,1,6.81
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,2,6.97
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,3,11.27
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,4,12.13
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,5,13.76
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,6,18.89
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,7,25.4
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,8,37.34285714285714
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,9,83.55714285714286
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,10,84.74285714285715
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,11,97.82857142857142
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,12,86.01428571428572
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,13,79.72857142857143
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,14,79.35714285714286
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,15,79.94285714285714
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,16,81.15714285714286
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,17,83.95714285714286
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,18,88.1
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,19,90.51428571428572
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,20,92.05714285714286
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,21,90.4
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,22,93.32857142857142
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,23,96.38571428571429
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,24,94.44285714285714
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,25,93.28571428571429
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,26,89.94285714285714
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,27,94.32857142857142
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,28,91.37142857142857
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,29,95.15714285714286
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,30,95.21428571428571
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,31,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,32,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,33,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,34,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,35,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,36,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,37,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,38,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,39,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,40,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,41,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,42,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,43,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,44,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,45,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,46,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,47,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,48,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,49,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,50,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,51,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,52,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,53,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,54,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,55,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,56,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,57,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,58,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,59,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,survival,60,99.0
run-20260804_143637-xctefb9fj42fjxrikipzi,187,production,1,347.74800000000005
run-20260804_143637-xctefb9fj42fjxrikipzi,187,production,2,298.285
run-20260804_143637-xctefb9fj42fjxrikipzi,187,production,3,520.0457000000001
