seed,window_index,episode_start,episode_end,episode_count,sample_count,pooled_generated_expert_js_divergence
187,1,0,99,100,641,0.6930003644625092
187,2,100,199,100,641,0.6884842229278173
187,3,200,299,100,609,0.6929988677367788
187,4,300,399,100,727,0.6840115399605837
187,5,400,499,100,949,0.6823972173013398
187,6,500,599,100,1030,0.6756441022186215
187,7,600,699,100,1128,0.6895913918628455
187,8,700,799,100,1502,0.6907523236245692
187,9,800,899,100,2446,0.6931471805599452
187,10,900,999,100,4780,0.6931471805599452
187,11,1000,1099,100,6888,0.6931471805599452
187,12,1100,1199,100,6998,0.6931471805599452
187,13,1200,1299,100,7149,0.6931471805599454
187,14,1300,1399,100,8727,0.6931471805599454
187,15,1400,1499,100,8083,0.6931471805599452
187,16,1500,1599,100,6277,0.6931471805599454
187,17,1600,1699,100,9382,0.6931471805599452
187,18,1700,1799,100,7701,0.6931471805599452
187,19,1800,1899,100,8387,0.6931471805599452
187,20,1900,1999,100,8555,0.6931471805599452
187,21,2000,2099,100,8175,0.6931471805599452
187,22,2100,2199,100,9256,0.6931471805599452
187,23,2200,2299,100,9262,0.6931471805599452
187,24,2300,2399,100,9351,0.6931471805599454
187,25,2400,2499,100,9257,0.6931471805599454
187,26,2500,2599,100,9228,0.6931471805599452
187,27,2600,2699,100,9079,0.6931471805599454
187,28,2700,2799,100,9193,0.6931471805599454
187,29,2800,2899,100,9225,0.6931471805599452
187,30,2900,2999,100,9539,0.6931471805599452
187,31,3000,3099,100,9344,0.6931471805599452
187,32,3100,3199,100,9303,0.6931471805599454
187,33,3200,3299,100,9302,0.6931471805599454
187,34,3300,3399,100,9407,0.6931471805599454
187,35,3400,3499,100,9237,0.6931471805599452
187,36,3500,3599,100,9331,0.6931471805599452
187,37,3600,3699,100,9202,0.6931471805599452
187,38,3700,3799,100,9268,0.6931471805599452
187,39,3800,3899,100,9157,0.6931471805599454
187,40,3900,3999,100,9327,0.6931471805599452
187,41,4000,4099,100,9377,0.6931471805599452
187,42,4100,4199,100,9427,0.6931471805599452
187,43,4200,4299,100,9254,0.6931471805599452
187,44,4300,4399,100,9060,0.6931471805599454
187,45,4400,4499,100,9498,0.6931471805599452
187,46,4500,4599,100,9183,0.6931471805599452
187,47,4600,4699,100,9126,0.6931471805599454
187,48,4700,4799,100,9150,0.6931471805599452
187,49,4800,4899,100,9467,0.6931471805599452
187,50,4900,4999,100,9201,0.6931471805599452
187,51,5000,5099,100,9405,0.6931471805599452
187,52,5100,5199,100,9210,0.6931471805599454
187,53,5200,5299,100,9167,0.6931471805599452
187,54,5300,5399,100,9211,0.6931471805599452
187,55,5400,5499,100,9095,0.6931471805599452
187,56,5500,5599,100,9250,0.6931471805599452
187,57,5600,5699,100,9236,0.6931471805599452
187,58,5700,5799,100,9074,0.6931471805599452
187,59,5800,5899,100,8896,0.6931471805599452
187,60,5900,5999,100,9151,0.6931471805599452
187,61,6000,6099,100,9030,0.6931471805599454
