seed,episode,episode_sequence,sample_count,last_day,terminal_observed,generated_score_mean,generated_expert_js_divergence,rolling_js_mean
187,0,1,10,10,1,0.11284136176109313,0.6931471805599452,
187,1,2,5,5,1,0.12400338351726532,0.6931471805599452,
187,2,3,5,5,1,0.11474999636411667,0.6931471805599452,
187,3,4,9,9,1,0.19393829007943472,0.6931471805599452,
187,4,5,5,5,1,0.15062702894210817,0.6931471805599452,
187,5,6,5,5,1,0.10439651906490326,0.6931471805599452,
187,6,7,6,6,1,0.10643743723630905,0.6931471805599452,
187,7,8,5,5,1,0.11111099272966385,0.6931471805599452,
187,8,9,5,5,1,0.13539386540651321,0.6931471805599452,
187,9,10,5,5,1,0.0993919849395752,0.6931471805599452,
187,10,11,5,5,1,0.10241760313510895,0.6931471805599452,
187,11,12,5,5,1,0.10320347249507904,0.6931471805599452,
187,12,13,5,5,1,0.1272765338420868,0.6931471805599452,
187,13,14,5,5,1,0.0994596615433693,0.6931471805599452,
187,14,15,5,5,1,0.15978221744298934,0.6931471805599452,
187,15,16,6,6,1,0.285000362743934,0.6931471805599452,
187,16,17,5,5,1,0.10707037448883057,0.6931471805599452,
187,17,18,5,5,1,0.19404415190219879,0.6931471805599452,
187,18,19,5,5,1,0.10121604055166245,0.6931471805599452,
187,19,20,9,9,1,0.14612849636210334,0.6931471805599454,0.6931471805599452
187,20,21,5,5,1,0.10427411049604415,0.6931471805599452,0.6931471805599452
187,21,22,10,10,1,0.2520227074623108,0.6931471805599454,0.6931471805599453
187,22,23,5,5,1,0.11491882055997849,0.6931471805599452,0.6931471805599452
187,23,24,24,24,1,0.15511603591342768,0.6931471805599452,0.6931471805599453
187,24,25,5,5,1,0.10721190124750138,0.6931471805599452,0.6931471805599452
187,25,26,11,11,1,0.22931932657957077,0.6931471805599452,0.6931471805599453
187,26,27,5,5,1,0.10338462591171264,0.6931471805599452,0.6931471805599452
187,27,28,5,5,1,0.10385909527540207,0.6931471805599452,0.6931471805599452
187,28,29,5,5,1,0.10522185415029525,0.6931471805599452,0.6931471805599452
187,29,30,5,5,1,0.1305225297808647,0.6931471805599452,0.6931471805599452
187,30,31,9,9,1,0.16113989800214767,0.6931471805599452,0.6931471805599452
187,31,32,17,17,1,0.11261732218896642,0.6931471805599452,0.6931471805599452
187,32,33,5,5,1,0.12070162892341614,0.6931471805599452,0.6931471805599453
187,33,34,5,5,1,0.1834901452064514,0.6931471805599452,0.6931471805599452
187,34,35,5,5,1,0.1669163554906845,0.6931471805599452,0.6931471805599452
