seed,episode,episode_sequence,sample_count,last_day,terminal_observed,generated_score_mean,generated_expert_js_divergence,rolling_js_mean
184,0,1,5,5,1,0.09889299422502518,0.6931471805599452,
184,1,2,5,5,1,0.0990488663315773,0.6931471805599452,
184,2,3,5,5,1,0.10033310055732728,0.6931471805599452,
184,3,4,10,10,1,0.09824148938059807,0.6931471805599452,
184,4,5,7,7,1,0.10003765672445297,0.6931471805599452,
184,5,6,9,9,1,0.09889916744497088,0.6931471805599452,
184,6,7,5,5,1,0.10062244087457657,0.6931471805599452,
184,7,8,5,5,1,0.10096504539251328,0.6931471805599452,
184,8,9,12,12,1,0.09993105630079906,0.6931471805599454,
184,9,10,5,5,1,0.09824579209089279,0.6931471805599452,
184,10,11,8,8,1,0.0986366169527173,0.6931471805599452,
184,11,12,5,5,1,0.09864387661218643,0.6931471805599452,
184,12,13,5,5,1,0.10165151953697205,0.6931471805599452,
184,13,14,8,8,1,0.09958815015852451,0.6931471805599452,
184,14,15,5,5,1,0.1001494511961937,0.6931471805599452,
184,15,16,5,5,1,0.0994976967573166,0.6931471805599452,
184,16,17,5,5,1,0.10111853778362274,0.6931471805599452,
184,17,18,5,5,1,0.09974306672811509,0.6931471805599452,
184,18,19,5,5,1,0.10105724036693572,0.6931471805599452,
184,19,20,5,5,1,0.10140416920185089,0.6931471805599452,0.6931471805599452
184,20,21,5,5,1,0.09977382868528366,0.6931471805599452,0.6931471805599452
184,21,22,5,5,1,0.10165145844221116,0.6931471805599452,0.6931471805599452
184,22,23,5,5,1,0.09950616657733917,0.6931471805599452,0.6931471805599452
184,23,24,5,5,1,0.09850368201732636,0.6931471805599452,0.6931471805599453
184,24,25,7,7,1,0.099851841373103,0.6931471805599452,0.6931471805599452
184,25,26,7,7,1,0.10060358473232814,0.6931471805599452,0.6931471805599452
184,26,27,5,5,1,0.10280653834342957,0.6931471805599452,0.6931471805599452
184,27,28,8,8,1,0.10059429425746202,0.6931471805599452,0.6931471805599452
184,28,29,5,5,1,0.09208997339010239,0.6931471805599452,0.6931471805599452
184,29,30,6,6,1,0.10114627083142598,0.6931471805599452,0.6931471805599452
184,30,31,10,10,1,0.09990041181445122,0.6931471805599452,0.6931471805599452
184,31,32,5,5,1,0.10248531252145768,0.6931471805599452,0.6931471805599452
184,32,33,5,5,1,0.10129137933254242,0.6931471805599452,0.6931471805599453
184,33,34,5,5,1,0.10018996000289918,0.6931471805599452,0.6931471805599452
184,34,35,5,5,1,0.09741169214248657,0.6931471805599452,0.6931471805599452
184,35,36,5,5,1,0.09827614426612855,0.6931471805599452,0.6931471805599452
184,36,37,5,5,1,0.10097825527191162,0.6931471805599452,0.6931471805599452
184,37,38,8,8,1,0.10425636917352676,0.6931471805599452,0.6931471805599452
184,38,39,5,5,1,0.1009114533662796,0.6931471805599452,0.6931471805599452
184,39,40,7,7,1,0.09959277617079872,0.6931471805599452,0.6931471805599452
184,40,41,5,5,1,0.10041341036558152,0.6931471805599452,0.6931471805599452
184,41,42,5,5,1,0.10001220405101777,0.6931471805599452,0.6931471805599452
184,42,43,5,5,1,0.10100217163562775,0.6931471805599452,0.6931471805599452
184,43,44,9,9,1,0.1005508080124855,0.6931471805599452,0.6931471805599452
184,44,45,6,6,1,0.09879002223412196,0.6931471805599452,0.6931471805599452
