run,seed,metric_id,step,value
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,0,6.75
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,1,6.7
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,2,7.47
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,3,10.11
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,4,9.76
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,5,12.24
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,6,13.45
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,7,15.04
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,8,18.95
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,9,64.28
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,10,82.86
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,11,77.45
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,12,93.01
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,13,87.06
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,14,62.85
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,15,63.31
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,16,69.94
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,17,79.1
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,18,90.73
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,19,80.8
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,20,84.83
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,21,91.18
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,22,93.36
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,23,85.68
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,24,90.46
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,25,90.91
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,26,90.72
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,27,93.27
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,survival,28,91.69
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,production,0,-120.25046785572468
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,production,1,-138.48837019369776
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,production,2,-115.095726940893
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,production,3,336.1712808833038
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,production,4,529.2902777058772
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,production,5,708.39477992016
run-20260607_235724-vku8wqzgoefx9fax0q2a8,184,production,6,1118.1652857841095
