group,metric_id,n_runs,first_step,last_step,last_step_n,last_mean,last_sem,seeds
TD3,survival,8,1,60,8,86.12,4.409978538982442,"184,291,83,739,512,117,894,652"
TD3,production,8,1,60,8,159422.37747499996,18069.112221750504,"184,291,83,739,512,117,894,652"
TD3,consumption,8,1,60,8,187131.765425,24452.29742659607,"184,291,83,739,512,117,894,652"
TD3,bank,8,1,60,8,3659.341375,546.0522811978514,"184,291,83,739,512,117,894,652"
GAIL+TD3,survival,8,1,60,8,80.92125,4.860723578373609,"184,291,83,739,894,652,187,191"
GAIL+TD3,production,8,1,60,8,127631.867475,26708.14911220368,"184,291,83,739,894,652,187,191"
GAIL+TD3,consumption,8,1,60,8,151128.09893750004,20582.89025306157,"184,291,83,739,894,652,187,191"
GAIL+TD3,bank,8,1,60,8,10125.068087500002,2172.5827646621588,"184,291,83,739,894,652,187,191"
GAIL+TD3+Transformer,survival,8,1,60,8,86.98423441151,0.4014213713912553,"184,291,83,739,894,652,187,192"
GAIL+TD3+Transformer,production,8,1,60,8,183166.3292875,65591.00880700242,"184,291,83,739,894,652,187,192"
GAIL+TD3+Transformer,consumption,8,1,60,8,170790.9444,40586.76967278363,"184,291,83,739,894,652,187,192"
GAIL+TD3+Transformer,bank,8,1,60,8,7112.1399624999995,3496.338533397133,"184,291,83,739,894,652,187,192"
