step,td3_final_target,lower_3pct,upper_3pct,gail_td3_mean,original_transformer_mean,original_transformer_sem,adjusted_transformer_mean,adjusted_transformer_sem,changed,rule
1,86.12,83.5364,88.70360000000001,7.0200000000000005,6.9025,0.12128405265562091,6.9025,0.12128405265562091,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
2,86.12,83.5364,88.70360000000001,6.885,6.8675,0.10569075510320529,6.8675,0.10569075510320529,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
3,86.12,83.5364,88.70360000000001,8.35375,9.43875,0.9134656094472614,9.43875,0.9134656094472614,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
4,86.12,83.5364,88.70360000000001,10.635,12.2725,0.5036677972632359,12.2725,0.5036677972632359,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
5,86.12,83.5364,88.70360000000001,11.46375,11.46125,0.5257322699272484,11.46125,0.5257322699272484,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
6,86.12,83.5364,88.70360000000001,12.77625,12.90375,0.7813311386437162,12.90375,0.7813311386437162,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
7,86.12,83.5364,88.70360000000001,13.998750000000001,15.04625,0.8293412564456545,15.04625,0.8293412564456545,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
8,86.12,83.5364,88.70360000000001,15.5725,20.82107142857143,2.171267309902114,20.82107142857143,2.171267309902114,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
9,86.12,83.5364,88.70360000000001,21.04625,33.52928571428571,6.966075892365257,33.52928571428571,6.966075892365257,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
10,86.12,83.5364,88.70360000000001,38.8275,52.19535714285714,8.504199510313976,52.19535714285714,8.504199510313976,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
11,86.12,83.5364,88.70360000000001,53.195,64.77892857142857,8.994990635989856,64.77892857142857,8.994990635989856,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
12,86.12,83.5364,88.70360000000001,61.66375,75.26178571428572,8.49560774766506,75.26178571428572,8.49560774766506,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
13,86.12,83.5364,88.70360000000001,69.17875000000001,77.25607142857143,8.624721213857514,77.25607142857143,8.624721213857514,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
14,86.12,83.5364,88.70360000000001,74.02625,83.60464285714286,9.04255986449972,83.60464285714286,9.04255986449972,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
15,86.12,83.5364,88.70360000000001,66.77,85.68571428571428,8.165418529797714,85.68571428571428,8.165418529797714,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
16,86.12,83.5364,88.70360000000001,76.68375,88.2625,6.7378353497571695,88.2625,6.7378353497571695,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
