group,metric_id,n_runs,first_step,last_step,last_step_n,last_mean,last_95ci_half_width,seeds
TD3,survival,8,1,60,8,86.12,10.429599244693478,"184,291,83,739,512,117,894,652"
TD3,production,8,1,60,8,159422.37747499996,42733.450404439944,"184,291,83,739,512,117,894,652"
TD3,consumption,8,1,60,8,187131.765425,57829.68341389971,"184,291,83,739,512,117,894,652"
TD3,bank,8,1,60,8,3659.341375,1291.4136450329183,"184,291,83,739,512,117,894,652"
GAIL+TD3,survival,8,1,60,8,87.01927083333334,12.013850862932944,"184,291,83,739,894,652,187,191"
GAIL+TD3,production,8,1,60,8,127631.867475,63164.77265036171,"184,291,83,739,894,652,187,191"
GAIL+TD3,consumption,8,1,60,8,151128.09893750004,48678.53544849062,"184,291,83,739,894,652,187,191"
GAIL+TD3,bank,8,1,60,8,10125.068087500002,5138.1582384260055,"184,291,83,739,894,652,187,191"
GAIL+TD3+Transformer,survival,8,1,60,8,91.32392857142857,10.932289132045469,"184,291,83,739,894,652,187,192"
GAIL+TD3+Transformer,production,8,1,60,8,183166.3292875,155122.73582856075,"184,291,83,739,894,652,187,192"
GAIL+TD3+Transformer,consumption,8,1,60,8,170790.9444,95987.71027613328,"184,291,83,739,894,652,187,192"
GAIL+TD3+Transformer,bank,8,1,60,8,7112.1399624999995,8268.84063148422,"184,291,83,739,894,652,187,192"
