run,seed,metric_id,step,value
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,1,7.33
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,2,6.96
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,3,8.97
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,4,13.41
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,5,12.33
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,6,13.15
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,7,13.25
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,8,22.65714285714286
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,9,41.9
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,10,51.07142857142857
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,11,67.37142857142857
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,12,86.58571428571429
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,13,92.04285714285714
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,14,95.98571428571428
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,15,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,16,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,17,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,18,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,19,98.95714285714286
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,20,98.37142857142857
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,21,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,22,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,23,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,24,98.97142857142858
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,25,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,26,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,27,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,28,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,29,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,30,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,31,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,32,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,33,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,34,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,35,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,36,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,37,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,38,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,39,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,40,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,41,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,42,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,43,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,44,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,45,99.0
run-20260615_000419-94dg1mazir8im8rom8p6h,652,survival,46,99.0
