run,seed,metric_id,step,value
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,1,6.95
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,2,6.68
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,3,6.77
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,4,6.87
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,5,6.7
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,6,6.71
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,7,11.59
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,8,11.56
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,9,13.01
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,10,11.95
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,11,11.42
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,12,12.64
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,13,13.41
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,14,15.01
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,15,13.75
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,16,14.72
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,17,15.22
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,18,13.66
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,19,14.83
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,20,16.73
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,21,19.88
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,22,17.53
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,23,20.87
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,24,26.85
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,25,26.34
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,26,32.17
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,27,31.67
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,28,39.7
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,29,40.57
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,30,43.57
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,31,41.73
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,32,44.32
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,33,42.62
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,34,45.59
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,35,55.76
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,36,54.04
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,37,47.18
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,38,50.22
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,39,45.76
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,40,35.51
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,41,33.36
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,42,46.29
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,43,68.53
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,44,61.99
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,45,64.64
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,46,56.13
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,47,65.51
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,48,63.63
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,49,69.38
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,50,64.36
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,51,67.19
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,52,62.14
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,53,62.53
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,54,64.9
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,55,60.81
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,56,64.72
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,57,66.52
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,58,56.17
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,59,71.62
run-20260613_131335-rcsvupwhsy0jexo9dnn6m,184,survival,60,63.62
