run,seed,metric_id,step,value
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,1,7.19
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,2,7.23
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,3,7.38
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,4,7.32
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,5,7.49
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,6,6.56
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,7,12.22
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,8,11.66
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,9,10.79
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,10,11.04
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,11,11.47
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,12,12.68
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,13,11.75
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,14,11.62
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,15,12.65
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,16,13.65
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,17,14.14
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,18,14.16
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,19,14.88
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,20,18.92
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,21,17.69
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,22,18.65
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,23,20.45
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,24,24.78
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,25,28.23
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,26,28.86
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,27,32.79
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,28,35.61
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,29,42.79
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,30,49.11
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,31,62.29
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,32,71.88
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,33,72.47
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,34,75.93
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,35,68.14
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,36,88.1
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,37,87.97
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,38,92.16
run-20260613_160815-s0l5sj1nywq68z8lkzm8m,83,survival,39,93.9
