run,seed,metric_id,step,value
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,1,6.96
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,2,6.92
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,3,7.2
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,4,7.02
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,5,6.8
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,6,6.9
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,7,12.52
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,8,11.41
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,9,13.47
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,10,11.87
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,11,11.06
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,12,11.86
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,13,12.68
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,14,12.53
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,15,13.4
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,16,13.46
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,17,14.32
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,18,13.74
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,19,14.28
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,20,13.89
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,21,15.38
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,22,15.42
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,23,16.07
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,24,17.18
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,25,17.68
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,26,19.97
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,27,19.94
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,28,23.42
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,29,23.07
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,30,29.61
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,31,35.5
run-20260613_193440-jrh0ke9mdg7ich8o4gy2g,512,survival,32,19.48
