run,seed,metric_id,step,value
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,1,6.98
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,2,6.81
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,3,6.93
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,4,6.73
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,5,6.64
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,6,6.96
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,7,8.04
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,8,9.51
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,9,9.54
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,10,10.5
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,11,10.62
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,12,11.34
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,13,10.87
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,14,11.68
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,15,11.65
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,16,11.05
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,17,11.73
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,18,11.27
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,19,12.67
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,20,12.42
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,21,12.52
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,22,13.62
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,23,13.17
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,24,14.53
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,25,15.66
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,26,16.89
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,27,16.84
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,28,17.69
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,29,18.61
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,30,21.3
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,31,24.54
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,32,23.54
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,33,25.97
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,34,26.15
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,35,28.43
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,36,32.19
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,37,38.81
run-20260613_210917-28qmhzqb6ococo30f91rd,117,survival,38,44.98
