run,seed,metric_id,step,value
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,1,6.5
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,2,6.59
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,3,6.48
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,4,6.55
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,5,6.4
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,6,7.03
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,7,6.88
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,8,8.11
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,9,10.21
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,10,11.27
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,11,11.41
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,12,12.07
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,13,11.99
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,14,11.34
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,15,13.81
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,16,14.32
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,17,13.37
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,18,13.93
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,19,14.01
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,20,14.41
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,21,16.27
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,22,17.23
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,23,18.67
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,24,22.0
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,25,22.67
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,26,22.6
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,27,25.72
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,28,32.15
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,29,39.81
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,30,48.4
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,31,58.06
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,32,65.5
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,33,62.53
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,34,60.7
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,35,76.76
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,36,78.18
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,37,94.11
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,38,95.4
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,39,98.17
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,40,97.35
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,41,97.32
run-20260613_222722-6ofaznjh0i5j0zam317ab,894,survival,42,99.0
