algorithm,seed,episode,survival_days,valid_dscr_days_before_minimum_filter,removed_by_minimum_filter,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
GAIL+TD3,291,5768,98,94,0,94,77.65686721915819,9.333942694044488,0,0
GAIL+TD3,291,5770,98,94,0,94,59.49511216390232,6.512028187224205,0,0
GAIL+TD3,291,5771,98,94,0,94,85.72664788914494,11.110057828213183,0,0
GAIL+TD3,291,5775,98,94,0,94,65.62683399659174,6.974811238885213,0,0
GAIL+TD3,291,5779,93,89,0,89,101.57767697224834,10.153381971907812,1,1.1235955056179776
GAIL+TD3,291,5781,98,94,0,94,69.03691651794296,7.4173598811550345,0,0
GAIL+TD3,291,5783,98,94,0,94,40.91266481109303,5.356244493876982,0,0
GAIL+TD3,291,5784,98,94,0,94,70.56113876588462,7.248747808457829,0,0
GAIL+TD3,291,5788,98,94,0,94,85.97887293607971,8.521919598437709,0,0
GAIL+TD3,291,5789,98,94,0,94,42.739893488340016,5.721708077401818,0,0
GAIL+TD3,291,5790,98,94,0,94,63.61091128938438,6.143390591781289,0,0
GAIL+TD3,291,5791,98,94,0,94,81.78632402814523,10.012372844215294,0,0
GAIL+TD3,291,5793,98,94,0,94,72.01779937460832,7.504000512198332,0,0
GAIL+TD3,291,5796,98,94,0,94,52.34138219288154,7.326630511457044,0,0
GAIL+TD3,291,5797,98,94,0,94,66.35318765012269,7.3677452950094775,0,0
GAIL+TD3,291,5801,98,94,0,94,120.10216844067874,8.02505629536866,0,0
GAIL+TD3,291,5806,98,94,0,94,74.1545365622038,8.0095074106884,0,0
GAIL+TD3,291,5807,95,91,0,91,64.56296617911372,6.573180764340738,1,1.098901098901099
GAIL+TD3,291,5809,98,94,0,94,56.933413001983624,6.153375461422961,0,0
GAIL+TD3,291,5817,94,90,0,90,79.05093890533698,9.57033174639773,0,0
GAIL+TD3,291,5822,96,92,0,92,62.70882850212811,7.073673668458288,1,1.0869565217391304
GAIL+TD3,291,5825,96,92,0,92,81.60899956138284,6.879310648430533,1,1.0869565217391304
GAIL+TD3,291,5826,98,94,0,94,48.0623326186926,5.766264657251075,0,0
GAIL+TD3,291,5828,92,88,0,88,45.46424067978312,5.39478729135598,1,1.1363636363636365
GAIL+TD3,291,5829,98,94,0,94,128.44369358273894,8.513719481013208,0,0
GAIL+TD3,291,5831,98,94,0,94,55.32561393329748,6.311549848582755,0,0
GAIL+TD3,291,5847,98,94,0,94,83.28612352823171,6.941681074821611,0,0
GAIL+TD3,291,5850,98,94,0,94,61.22969934267237,6.713991431108446,0,0
GAIL+TD3,291,5859,95,91,0,91,53.54085942365182,6.77512956788697,1,1.098901098901099
GAIL+TD3,291,5860,98,94,0,94,63.68759055657892,6.153810929368806,0,0
GAIL+TD3,291,5867,98,94,0,94,58.31570006014802,5.890249733245726,1,1.0638297872340425
GAIL+TD3,291,5873,98,94,0,94,64.43380619551877,7.438951667178907,0,0
GAIL+TD3,291,5875,96,92,0,92,56.05540717589315,7.422891449559341,1,1.0869565217391304
GAIL+TD3,291,5876,98,94,0,94,77.55262364452349,6.531452317238795,0,0
GAIL+TD3,291,5877,98,94,0,94,54.50273272905997,5.474756596505822,0,0
GAIL+TD3,291,5880,98,94,0,94,61.32947187348242,6.686874525691534,0,0
GAIL+TD3,291,5881,98,94,0,94,52.77631419032035,6.955486861322557,0,0
