algorithm,seed,episode,survival_days,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
GAIL+TD3,739,4941,95,91,6.788374448452633,6.319471764243052,0,0
GAIL+TD3,739,4942,98,94,7.676899768760363,6.294157521428886,0,0
GAIL+TD3,739,4969,91,87,7.840377337397591,6.554381057201382,0,0
GAIL+TD3,739,4974,93,89,7.911175631305135,6.250352597237786,0,0
GAIL+TD3,739,4984,98,94,7.764274355484548,6.766092592124824,0,0
GAIL+TD3,739,4989,91,87,6.9990550038613,6.240058907019987,0,0
GAIL+TD3,739,4997,91,87,7.322890353220575,6.378496037600794,0,0
GAIL+TD3,739,5001,97,93,9.246144365805717,6.7224149929083525,0,0
GAIL+TD3,739,5009,98,94,7.238960665934201,6.550344306292894,0,0
GAIL+TD3,739,5022,98,94,7.770070134418631,6.329243168809183,0,0
GAIL+TD3,739,5028,98,94,8.23130042310727,6.657853922104215,0,0
GAIL+TD3,739,5033,94,90,8.20629408065228,6.403524595808742,0,0
GAIL+TD3,739,5051,98,94,8.33938895057642,5.783331912758737,0,0
GAIL+TD3,739,5061,98,94,7.307122389010922,6.332673442800576,0,0
GAIL+TD3,739,5075,98,94,6.614717137038176,6.234555061748676,0,0
GAIL+TD3,739,5077,98,94,7.160666429111309,6.354553356460813,0,0
GAIL+TD3,739,5081,98,94,7.0889158666531005,6.2112044039234835,0,0
GAIL+TD3,739,5086,97,93,10.007183813884938,6.267387454069628,1,1.075268817204301
GAIL+TD3,739,5094,98,94,8.853987664341167,6.11494684857009,0,0
GAIL+TD3,739,5111,94,90,7.794149797837291,6.174127655114685,0,0
GAIL+TD3,739,5119,94,90,6.506649053188306,6.204791825670009,1,1.1111111111111112
GAIL+TD3,739,5132,92,88,8.045199083821888,6.977913571057497,0,0
GAIL+TD3,739,5136,98,94,7.633667028733562,6.354732723762666,0,0
GAIL+TD3,739,5173,98,94,7.843338311631569,5.820836141777029,0,0
GAIL+TD3,739,5213,98,94,7.4765973854388745,6.162164483366215,0,0
GAIL+TD3,739,5214,92,88,7.7044113920906705,6.486472162801357,0,0
GAIL+TD3,739,5239,98,94,8.743679560282127,6.374330681920453,0,0
GAIL+TD3,739,5250,98,94,6.517840837753301,6.099962987625663,0,0
GAIL+TD3,739,5266,98,94,6.982200281339181,5.768704420274499,0,0
GAIL+TD3,739,5271,95,91,6.966566426101727,6.266076170231204,0,0
GAIL+TD3,739,5273,98,94,9.104709012352425,6.319273066223374,0,0
GAIL+TD3,739,5282,94,90,8.021581854619427,6.6145215622018005,0,0
GAIL+TD3,739,5290,96,92,6.853062335102175,6.310383748201643,1,1.0869565217391304
GAIL+TD3,739,5291,98,94,9.112597194800554,6.6743329930748185,0,0
GAIL+TD3,739,5302,92,88,8.741298126379023,6.154086913671993,0,0
GAIL+TD3,739,5315,98,94,8.241034868992276,6.3226610531745155,0,0
GAIL+TD3,739,5363,98,94,6.690622030620298,6.2068225696582005,0,0
GAIL+TD3,739,5367,92,88,7.851718593003682,6.478858530424569,0,0
GAIL+TD3,739,5374,98,94,8.725610238315152,6.5188961608706535,0,0
GAIL+TD3,739,5386,98,94,7.326180592580828,6.2333313302318345,0,0
GAIL+TD3,739,5392,93,89,7.327794359112402,6.215422529911956,0,0
GAIL+TD3,739,5393,98,94,6.9978338314963535,6.5346538728593355,0,0
GAIL+TD3,739,5409,98,94,7.490008479827256,6.582549939961417,0,0
GAIL+TD3,739,5452,98,94,7.266562809681398,6.492333991656821,0,0
GAIL+TD3,739,5465,98,94,7.988503586695094,6.309323600101094,0,0
GAIL+TD3,739,5468,98,94,7.910356601604914,6.6819347668778555,0,0
GAIL+TD3,739,5472,98,94,8.517688997094927,6.606612880001686,0,0
GAIL+TD3,739,5507,98,94,7.564414842996251,6.224723522595225,0,0
GAIL+TD3,739,5516,98,94,7.082957785454237,6.438193295829823,0,0
GAIL+TD3,739,5532,98,94,7.603164312624412,6.208393093968415,0,0
GAIL+TD3,739,5538,91,87,7.802206468628217,6.24573400093301,0,0
GAIL+TD3,739,5542,98,94,8.097081479773236,5.759356162054514,0,0
GAIL+TD3,739,5543,98,94,7.072738062086062,6.461437623131884,0,0
GAIL+TD3,739,5552,98,94,7.780985512070615,6.409011921996807,0,0
GAIL+TD3,739,5569,98,94,6.511700921800876,5.938421098217587,0,0
GAIL+TD3,739,5591,98,94,7.777357214458739,6.491312755334395,0,0
GAIL+TD3,739,5609,98,94,6.737837093108814,6.192246214967845,0,0
GAIL+TD3,739,5620,98,94,6.263262295580045,5.868159143882246,0,0
GAIL+TD3,739,5635,91,87,7.580841523201757,6.189151098875458,0,0
GAIL+TD3,739,5658,92,88,7.010640934071,6.261394581776522,0,0
GAIL+TD3,739,5667,98,94,7.2935524117310395,6.124933024542521,0,0
GAIL+TD3,739,5672,98,94,7.276764643766566,6.397254876558357,0,0
GAIL+TD3,739,5683,98,94,8.226061134493245,6.554883763227713,0,0
GAIL+TD3,739,5697,98,94,7.82904400163897,6.689833140851,0,0
GAIL+TD3,739,5703,97,93,7.818095466738516,6.607529507288949,0,0
GAIL+TD3,739,5705,98,94,6.729250092316432,6.329473876955927,0,0
GAIL+TD3,739,5716,98,94,8.436456814285135,6.306302909380284,0,0
GAIL+TD3,739,5724,98,94,7.780027046528974,6.235512661170152,0,0
GAIL+TD3,739,5736,98,94,7.1744089169185905,6.499835793925891,0,0
GAIL+TD3,739,5744,94,90,6.933147218159547,5.782264279245617,1,1.1111111111111112
GAIL+TD3,739,5752,98,94,8.296304462066283,6.232627238848552,0,0
GAIL+TD3,739,5755,92,88,6.771155273902534,6.270381826983462,0,0
GAIL+TD3,739,5758,98,94,8.792387702227996,6.5385269904473535,0,0
GAIL+TD3,739,5765,98,94,7.623067724103281,6.324625398568093,0,0
GAIL+TD3,739,5769,98,94,8.995112545978568,6.678350102860502,1,1.0638297872340425
GAIL+TD3,739,5788,98,94,7.065937050437895,6.330651533485816,0,0
GAIL+TD3,739,5789,98,94,8.346286320121257,6.442301808003425,0,0
GAIL+TD3,739,5828,96,92,8.795085563754435,6.1344648504059816,1,1.0869565217391304
GAIL+TD3,739,5832,98,94,7.159429825709389,6.44207831402532,0,0
GAIL+TD3,739,5860,98,94,8.236403105830199,6.6820238385920305,0,0
GAIL+TD3,739,5865,98,94,8.400085943299146,6.6552245735589395,0,0
GAIL+TD3,739,5867,98,94,8.215392647401494,6.647607139607206,0,0
GAIL+TD3,739,5879,93,89,9.384186021609109,6.648252716812274,0,0
GAIL+TD3,739,5882,96,92,8.629166457473023,6.368879496381103,0,0
GAIL+TD3,739,5892,95,91,8.512829210412441,6.513177218231822,0,0
GAIL+TD3,739,5904,98,94,8.249204519607877,6.724318369943065,0,0
GAIL+TD3,739,5948,98,94,8.164777340311788,6.3837227287651785,0,0
GAIL+TD3,739,5964,94,90,7.860377156951928,6.414383793106797,1,1.1111111111111112
GAIL+TD3,739,5965,98,94,6.586000872864574,5.922220109409487,0,0
GAIL+TD3,739,5972,98,94,8.132626310348641,6.614114572297462,0,0
GAIL+TD3,739,5974,98,94,7.5545277365050545,6.505211192311341,0,0
GAIL+TD3,739,5980,98,94,6.434790575830066,6.426650836282059,0,0
GAIL+TD3,739,5993,98,94,7.448005573007188,6.3025232232440285,0,0
GAIL+TD3,739,6015,95,91,7.0469844690951415,6.285939336905996,0,0
GAIL+TD3,739,6028,98,94,6.457202967740334,5.800095653176877,0,0
GAIL+TD3,739,6052,98,94,7.629873971991049,6.668516439898593,0,0
GAIL+TD3,739,6067,98,94,8.49509085458877,6.450599786593116,0,0
GAIL+TD3,739,6073,98,94,8.495288938466567,6.449810294050247,0,0
GAIL+TD3,739,6077,98,94,7.280353910067367,6.149675291242267,0,0
GAIL+TD3,739,6081,98,94,6.463131764888142,6.016719581555269,0,0
