algorithm,seed,episode,day,dscr,dscr_below_1,iqr_retained
TD3,739,5794,5,3.0697285601888273,0,1
TD3,739,5794,8,7.8248939077896855,0,1
TD3,739,5794,9,13.312100248009399,0,1
TD3,739,5794,10,3.1635624344176283,0,1
TD3,739,5794,11,1.4667727773963337,0,1
TD3,739,5794,12,0.8808627734027606,1,1
TD3,739,5794,13,2.4671628559819743,0,1
TD3,739,5794,14,1.9383337233793587,0,1
TD3,739,5794,15,2.1041928556463443,0,1
TD3,739,5794,16,2.5836777162284945,0,1
TD3,739,5794,17,1.4801165294913103,0,1
TD3,739,5794,18,2.748568285501667,0,1
TD3,739,5794,19,1.0891123364688076,0,1
TD3,739,5794,20,2.301686820445077,0,1
TD3,739,5794,21,2.389432002211952,0,1
TD3,739,5794,22,2.1818834509991625,0,1
TD3,739,5794,23,2.3822395730381496,0,1
TD3,739,5794,24,2.306818657768719,0,1
TD3,739,5794,25,1.4973607091501484,0,1
TD3,739,5794,26,2.4881797419912353,0,1
TD3,739,5794,27,1.7021039844509231,0,1
TD3,739,5794,28,2.431431661041387,0,1
TD3,739,5794,29,2.839859913793104,0,1
TD3,739,5794,30,4.4184798567066,0,1
TD3,739,5794,31,3.037621818629997,0,1
TD3,739,5794,32,2.819186550567304,0,1
TD3,739,5794,33,1.6048151332760103,0,1
TD3,739,5794,34,2.1139345807147643,0,1
TD3,739,5794,35,1.9803665664188843,0,1
TD3,739,5794,36,4.467062562878943,0,1
TD3,739,5794,37,2.106469263679352,0,1
TD3,739,5794,39,1.4371929070569909,0,1
TD3,739,5794,40,2.998020620792973,0,1
TD3,739,5794,41,0.7880497301545816,1,1
TD3,739,5794,45,0.7821514976201119,1,1
TD3,739,5794,46,7.304046327517959,0,1
TD3,739,5794,47,2.901409222124852,0,1
TD3,739,5794,48,1.7860529078411718,0,1
TD3,739,5794,50,4.061435374671417,0,1
TD3,739,5794,51,1.9875571452438452,0,1
TD3,739,5794,52,0.9352035998397529,1,1
TD3,739,5794,54,1.3897109965223648,0,1
TD3,739,5794,55,0.6938431752660549,1,1
TD3,739,5794,58,1.1913504443107086,0,1
TD3,739,5794,60,3.2533752097405673,0,1
TD3,739,5794,61,2.2107417645847507,0,1
TD3,739,5794,62,1.8672546319080312,0,1
TD3,739,5794,63,1.3995323916569775,0,1
TD3,739,5794,65,1.7019605295045288,0,1
TD3,739,5794,67,0.9860366667693138,1,1
TD3,739,5794,69,0.7484118697092007,1,1
TD3,739,5794,71,19.79065926503647,0,1
TD3,739,5794,72,1.1832909619529528,0,1
TD3,739,5794,74,1.6948793966442977,0,1
TD3,739,5794,75,2.9130250584487927,0,1
TD3,739,5794,76,0.9854543478457762,1,1
TD3,739,5794,77,17.970498376933357,0,1
TD3,739,5794,78,1.0701815161544788,0,1
TD3,739,5794,79,13.727248506070872,0,1
TD3,739,5794,80,6.1453562731047535,0,1
TD3,739,5794,81,1.1940950244371442,0,1
TD3,739,5794,82,4.056188046852288,0,1
TD3,739,5794,83,0.9587853942741252,1,1
TD3,739,5794,84,3.326794756134234,0,1
TD3,739,5794,85,9.598217985909658,0,1
