algorithm,seed,episode,survival_days,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
TD3,739,5794,98,94,12.5853813152738,2.4492972585116806,10,10.638297872340425
TD3,739,5795,98,94,18.06427508717501,3.0580486538230764,4,4.25531914893617
TD3,739,5798,98,94,10.13001451859037,2.3876389800175533,7,7.446808510638298
TD3,739,5805,98,94,7.513030732772684,2.1178360092889204,8,8.51063829787234
TD3,739,5806,98,94,16.030306753811676,2.888131007220099,8,8.51063829787234
TD3,739,5807,92,88,11.49209819584185,2.532697500591823,8,9.090909090909092
TD3,739,5809,98,94,11.464254428192067,2.1574943975896135,3,3.1914893617021276
TD3,739,5810,98,94,19.569031179622026,2.8882549231963126,7,7.446808510638298
TD3,739,5813,98,94,15.285515520363159,2.4604853532203856,5,5.319148936170213
TD3,739,5814,98,94,13.088980860622776,2.917264497877577,4,4.25531914893617
TD3,739,5815,98,94,24.961574350414686,3.362702072345961,8,8.51063829787234
TD3,739,5820,98,94,14.28911591382901,2.4321238327643266,3,3.1914893617021276
TD3,739,5821,98,94,22.63628094221606,3.2452545178513574,9,9.574468085106384
TD3,739,5823,98,94,7.674235618189036,2.2719222091045754,1,1.0638297872340425
TD3,739,5825,98,94,19.89923455525174,3.0482391400924724,5,5.319148936170213
TD3,739,5828,96,92,16.107477497206002,2.4537046209671436,8,8.695652173913043
TD3,739,5829,97,93,8.629782554599831,2.1097214696328948,5,5.376344086021505
TD3,739,5835,98,94,10.242243828567263,2.3810587369878444,5,5.319148936170213
TD3,739,5836,98,94,16.613175815418494,2.328490673264211,1,1.0638297872340425
TD3,739,5837,98,94,10.503454261795286,2.360491725096483,5,5.319148936170213
TD3,739,5838,98,94,8.481064735454684,2.389270844425744,6,6.382978723404255
TD3,739,5839,98,94,16.4249271582522,2.356696383984431,5,5.319148936170213
TD3,739,5841,98,94,16.434184086462388,2.369366290000607,4,4.25531914893617
TD3,739,5843,98,94,23.42775770018601,2.9247539212372193,5,5.319148936170213
TD3,739,5845,98,94,17.070598076038333,2.7839736694148525,6,6.382978723404255
TD3,739,5846,98,94,13.147617583373,2.3236796194387876,7,7.446808510638298
TD3,739,5848,98,94,20.498300499414643,2.9674352803613724,6,6.382978723404255
TD3,739,5849,95,91,17.340111881532437,2.366282174516715,15,16.483516483516482
TD3,739,5851,98,94,9.066559159132792,2.7372908208142324,4,4.25531914893617
TD3,739,5852,98,94,9.737576933508985,2.374352663832794,7,7.446808510638298
TD3,739,5853,93,89,18.39213586601665,2.4663236862934035,5,5.617977528089888
TD3,739,5854,98,94,9.423004019430163,2.186473752710126,4,4.25531914893617
TD3,739,5855,93,89,14.15173434217536,2.4352115204340103,6,6.741573033707865
TD3,739,5857,98,94,8.393606256312825,2.2602859776446493,3,3.1914893617021276
TD3,739,5858,97,93,20.66248713666549,2.897385267892719,12,12.903225806451612
TD3,739,5861,98,94,9.596234728802234,2.2274967389975977,8,8.51063829787234
TD3,739,5863,98,94,14.45667465306696,2.533085627994266,4,4.25531914893617
TD3,739,5867,98,94,8.60027355047875,2.168697613029135,2,2.127659574468085
TD3,739,5868,98,94,15.534019627716587,2.5557978217328206,5,5.319148936170213
TD3,739,5869,98,94,11.157690691863886,2.439288264854894,3,3.1914893617021276
TD3,739,5871,98,94,13.6068738505587,2.31006524198882,7,7.446808510638298
TD3,739,5873,98,94,21.47165070388152,2.9043927368489384,6,6.382978723404255
TD3,739,5876,98,94,22.923093788393732,3.116127207458624,4,4.25531914893617
TD3,739,5877,98,94,14.684441902216564,2.5150423477348607,6,6.382978723404255
TD3,739,5878,98,94,11.146821601066021,2.331115461255523,9,9.574468085106384
TD3,739,5879,98,94,12.747081053899144,2.6319695289150005,8,8.51063829787234
TD3,739,5881,98,94,14.971427115828929,2.8748012694558662,9,9.574468085106384
TD3,739,5882,98,94,16.182382435471048,2.750095088247598,4,4.25531914893617
TD3,739,5883,98,94,16.91230454232238,2.7886699818931806,9,9.574468085106384
TD3,739,5887,98,94,10.758511519931023,2.6813577320149253,8,8.51063829787234
TD3,739,5888,91,87,13.486125415099401,2.4562198500605152,9,10.344827586206897
TD3,739,5892,98,94,20.108821093063465,2.5291159970500208,5,5.319148936170213
TD3,739,5893,98,94,22.136699383986727,3.2312052178366377,6,6.382978723404255
