algorithm,seed,episode,day,dscr,dscr_below_1
Transformer+GAIL+TD3,192,5890,5,4.85477669328601,0
Transformer+GAIL+TD3,192,5890,6,11.63044752784835,0
Transformer+GAIL+TD3,192,5890,7,263.18939393939394,0
Transformer+GAIL+TD3,192,5890,8,18.274720728175424,0
Transformer+GAIL+TD3,192,5890,9,11.568573543407,0
Transformer+GAIL+TD3,192,5890,10,14.71897203325775,0
Transformer+GAIL+TD3,192,5890,11,3.576344156697778,0
Transformer+GAIL+TD3,192,5890,12,310.7308781869688,0
Transformer+GAIL+TD3,192,5890,13,2.864626480191024,0
Transformer+GAIL+TD3,192,5890,14,1183.9908256880733,0
Transformer+GAIL+TD3,192,5890,15,6.6202525567772605,0
Transformer+GAIL+TD3,192,5890,16,762.8411214953271,0
Transformer+GAIL+TD3,192,5890,17,445.85131195335276,0
Transformer+GAIL+TD3,192,5890,18,334.308429118774,0
Transformer+GAIL+TD3,192,5890,19,11.729402320659707,0
Transformer+GAIL+TD3,192,5890,20,8.380298422353164,0
Transformer+GAIL+TD3,192,5890,21,7.1561129385964914,0
Transformer+GAIL+TD3,192,5890,22,14.47074195053663,0
Transformer+GAIL+TD3,192,5890,23,12.225896354323593,0
Transformer+GAIL+TD3,192,5890,24,15.052975542132883,0
Transformer+GAIL+TD3,192,5890,25,4.619896835065711,0
Transformer+GAIL+TD3,192,5890,26,5.120828693862401,0
Transformer+GAIL+TD3,192,5890,27,5.752050924192395,0
Transformer+GAIL+TD3,192,5890,28,10.85117117117117,0
Transformer+GAIL+TD3,192,5890,29,18.51097670250896,0
Transformer+GAIL+TD3,192,5890,30,4.353491055972302,0
Transformer+GAIL+TD3,192,5890,31,10.32058801692776,0
Transformer+GAIL+TD3,192,5890,32,5.348864033554702,0
Transformer+GAIL+TD3,192,5890,33,4.83593986479669,0
Transformer+GAIL+TD3,192,5890,34,4.753478054191095,0
Transformer+GAIL+TD3,192,5890,35,28.902003910068427,0
Transformer+GAIL+TD3,192,5890,36,3.609849696194435,0
Transformer+GAIL+TD3,192,5890,37,7.047815703055028,0
Transformer+GAIL+TD3,192,5890,38,3.6169273269092725,0
Transformer+GAIL+TD3,192,5890,39,5.974562619413329,0
Transformer+GAIL+TD3,192,5890,40,5.3012076722708965,0
Transformer+GAIL+TD3,192,5890,41,4.08638756836886,0
Transformer+GAIL+TD3,192,5890,42,4.4165500548390755,0
Transformer+GAIL+TD3,192,5890,43,2.893269899200556,0
Transformer+GAIL+TD3,192,5890,44,6.072027294553726,0
Transformer+GAIL+TD3,192,5890,45,4.432331514217824,0
Transformer+GAIL+TD3,192,5890,46,4.767332244655582,0
Transformer+GAIL+TD3,192,5890,47,3.9492941049682084,0
Transformer+GAIL+TD3,192,5890,48,5.3895783492822975,0
Transformer+GAIL+TD3,192,5890,49,4.24867469879518,0
Transformer+GAIL+TD3,192,5890,50,7.684262203104543,0
Transformer+GAIL+TD3,192,5890,51,4.816413118263131,0
Transformer+GAIL+TD3,192,5890,52,2.409950514021028,0
Transformer+GAIL+TD3,192,5890,53,4.48754904525242,0
Transformer+GAIL+TD3,192,5890,54,2.951524320739466,0
Transformer+GAIL+TD3,192,5890,55,6.4526855285636895,0
Transformer+GAIL+TD3,192,5890,56,7.025137700691431,0
Transformer+GAIL+TD3,192,5890,57,4.573808335413027,0
Transformer+GAIL+TD3,192,5890,58,3.1107991989181967,0
Transformer+GAIL+TD3,192,5890,59,8.67280833447068,0
Transformer+GAIL+TD3,192,5890,60,5.691044018774577,0
Transformer+GAIL+TD3,192,5890,61,4.514846448365419,0
Transformer+GAIL+TD3,192,5890,62,3.6775866367489405,0
Transformer+GAIL+TD3,192,5890,63,4.960136309578264,0
Transformer+GAIL+TD3,192,5890,64,3.935112309869119,0
Transformer+GAIL+TD3,192,5890,65,4.256603367582978,0
Transformer+GAIL+TD3,192,5890,66,10.333186259060824,0
Transformer+GAIL+TD3,192,5890,67,3.0536696679697872,0
Transformer+GAIL+TD3,192,5890,68,5.2513568886812125,0
Transformer+GAIL+TD3,192,5890,69,11.645426725603535,0
Transformer+GAIL+TD3,192,5890,70,5.186129865799784,0
Transformer+GAIL+TD3,192,5890,71,3.392705475590966,0
Transformer+GAIL+TD3,192,5890,72,4.525665267721257,0
Transformer+GAIL+TD3,192,5890,73,3.2880326845599503,0
Transformer+GAIL+TD3,192,5890,74,5.6768820224719105,0
Transformer+GAIL+TD3,192,5890,75,5.352233217437816,0
Transformer+GAIL+TD3,192,5890,76,9.153002836947637,0
Transformer+GAIL+TD3,192,5890,77,2.569136472550603,0
Transformer+GAIL+TD3,192,5890,78,8.46182870729312,0
Transformer+GAIL+TD3,192,5890,79,2.588427438170789,0
Transformer+GAIL+TD3,192,5890,80,20.037801573990453,0
Transformer+GAIL+TD3,192,5890,81,9.01260765337832,0
Transformer+GAIL+TD3,192,5890,82,3.33550190870477,0
Transformer+GAIL+TD3,192,5890,83,5.8100504047655415,0
Transformer+GAIL+TD3,192,5890,84,6.071382862993537,0
Transformer+GAIL+TD3,192,5890,85,4.634253467138713,0
Transformer+GAIL+TD3,192,5890,86,3.3137263035632802,0
Transformer+GAIL+TD3,192,5890,87,13.136667754569189,0
Transformer+GAIL+TD3,192,5890,88,2.9597988513957545,0
Transformer+GAIL+TD3,192,5890,89,6.314175987063737,0
Transformer+GAIL+TD3,192,5890,90,5.10424629718108,0
Transformer+GAIL+TD3,192,5890,91,6.308559139784947,0
Transformer+GAIL+TD3,192,5890,92,4.7201691763153155,0
Transformer+GAIL+TD3,192,5890,93,4.8364408344101895,0
Transformer+GAIL+TD3,192,5890,94,2.6143383956540704,0
Transformer+GAIL+TD3,192,5890,95,6.890778345619826,0
Transformer+GAIL+TD3,192,5890,96,9.08307131178468,0
Transformer+GAIL+TD3,192,5890,97,8.10390014214641,0
Transformer+GAIL+TD3,192,5890,98,6.147494124372738,0
Transformer+GAIL+TD3,192,5891,5,3.9824595979503346,0
Transformer+GAIL+TD3,192,5891,6,244.71351351351356,0
Transformer+GAIL+TD3,192,5891,7,22.497623400365626,0
Transformer+GAIL+TD3,192,5891,8,9.679256246368391,0
Transformer+GAIL+TD3,192,5891,9,6.664617609835473,0
Transformer+GAIL+TD3,192,5891,10,6.597643860444043,0
Transformer+GAIL+TD3,192,5891,11,5.6740331491712706,0
Transformer+GAIL+TD3,192,5891,12,4.882563694267516,0
Transformer+GAIL+TD3,192,5891,13,7.630462529629855,0
Transformer+GAIL+TD3,192,5891,14,11.586179224253232,0
Transformer+GAIL+TD3,192,5891,15,21.322215514639296,0
Transformer+GAIL+TD3,192,5891,16,719.4150943396226,0
Transformer+GAIL+TD3,192,5891,17,199.59701492537317,0
Transformer+GAIL+TD3,192,5891,18,10.406903765690375,0
Transformer+GAIL+TD3,192,5891,19,30.303704992172552,0
Transformer+GAIL+TD3,192,5891,20,9.350976017847184,0
Transformer+GAIL+TD3,192,5891,21,7.918029790733802,0
Transformer+GAIL+TD3,192,5891,22,18.004397215097107,0
Transformer+GAIL+TD3,192,5891,23,11.32616459627329,0
Transformer+GAIL+TD3,192,5891,24,12.185926404131697,0
Transformer+GAIL+TD3,192,5891,25,11.41085331072227,0
Transformer+GAIL+TD3,192,5891,26,3.466243145969709,0
Transformer+GAIL+TD3,192,5891,27,4.712556681781809,0
Transformer+GAIL+TD3,192,5891,28,4.721417623322593,0
Transformer+GAIL+TD3,192,5891,29,5.300436088075494,0
