algorithm,seed,episode,survival_days,valid_dscr_days_before_minimum_filter,removed_by_minimum_filter,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
Transformer+GAIL+TD3,192,5890,98,94,0,94,41.503660798874634,5.370905783360056,0,0
Transformer+GAIL+TD3,192,5891,98,94,1,93,24.015395323232564,5.615218019058621,0,0
Transformer+GAIL+TD3,192,5892,98,94,2,92,38.44569168437979,5.891471667324353,0,0
Transformer+GAIL+TD3,192,5893,98,94,0,94,29.809314395470455,5.691078361006799,0,0
Transformer+GAIL+TD3,192,5895,98,94,0,94,18.34835744135775,5.485852877938589,0,0
Transformer+GAIL+TD3,192,5896,98,94,1,93,36.686903872444326,5.344373219373219,0,0
Transformer+GAIL+TD3,192,5898,98,94,1,93,23.255609616644666,5.846907093384284,0,0
Transformer+GAIL+TD3,192,5899,98,94,1,93,28.210342571199114,5.129726001630197,0,0
Transformer+GAIL+TD3,192,5901,98,94,0,94,23.62697181554471,5.568010633772833,0,0
Transformer+GAIL+TD3,192,5902,98,94,0,94,16.586404784918546,5.909015335038236,0,0
Transformer+GAIL+TD3,192,5904,98,94,1,93,29.921802247576554,5.650892437764209,0,0
Transformer+GAIL+TD3,192,5906,98,94,1,93,26.756867090546425,6.443602488790017,0,0
Transformer+GAIL+TD3,192,5909,92,88,1,87,21.034226183801685,5.7351993274013875,0,0
Transformer+GAIL+TD3,192,5911,98,94,1,93,22.62474225830669,5.515095126568064,0,0
Transformer+GAIL+TD3,192,5913,98,94,2,92,25.17732575209138,5.564916237183664,0,0
Transformer+GAIL+TD3,192,5915,98,94,1,93,15.937061619103556,5.603764720621398,0,0
Transformer+GAIL+TD3,192,5917,98,94,0,94,35.66424421124354,5.759270869969949,0,0
Transformer+GAIL+TD3,192,5921,95,91,1,90,22.211325110388593,5.8972857117261945,0,0
Transformer+GAIL+TD3,192,5924,98,94,0,94,28.9262866735699,4.888581562573188,0,0
Transformer+GAIL+TD3,192,5931,98,94,1,93,17.98406148420435,5.684261736803697,0,0
Transformer+GAIL+TD3,192,5935,98,94,0,94,24.83388538450304,5.411532623529013,0,0
Transformer+GAIL+TD3,192,5938,98,94,0,94,22.632788509171405,5.252926280981409,0,0
Transformer+GAIL+TD3,192,5939,98,94,0,94,29.806643670135628,5.711385069282573,0,0
Transformer+GAIL+TD3,192,5940,97,93,2,91,17.476454681292413,5.678446894731881,0,0
Transformer+GAIL+TD3,192,5941,98,94,3,91,19.50109723703979,5.176772634599411,0,0
Transformer+GAIL+TD3,192,5943,98,94,1,93,26.29766745963972,5.697503373819162,0,0
Transformer+GAIL+TD3,192,5944,98,94,0,94,47.0667967212728,5.3373558234139775,0,0
