run,seed,metric_id,step,value
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,1,6.95
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,2,6.68
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,3,6.77
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,4,6.87
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,5,6.7
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,6,6.71
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,7,11.07
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,8,12.86
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,9,11.92
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,10,11.6
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,11,11.58
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,12,11.37
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,13,11.64
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,14,12.15
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,15,12.21
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,16,13.66
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,17,13.92
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,18,14.28
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,19,14.84
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,20,16.71
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,21,17.6
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,22,19.52
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,23,22.08
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,24,19.97
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,25,24.02
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,26,27.33
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,27,33.53
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,28,39.41
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,29,37.94
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,30,43.78
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,31,46.59
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,32,42.5
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,33,49.62
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,34,57.88
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,35,70.91
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,36,77.07
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,37,93.18
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,38,95.61
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,39,97.12
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,40,96.63
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,41,96.67
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,42,96.13
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,43,97.29
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,44,95.97
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,45,97.04
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,46,96.95
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,47,95.5
run-20260611_000002-n3od24x0neyzw18oirlk6,184,survival,48,97.34
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,1,231.27499999999992
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,2,196.8682
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,3,218.08959999999996
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,4,217.53680000000014
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,5,210.25709999999998
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,6,268.92470000000003
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,7,398.78270000000003
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,8,858.6492000000002
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,9,1357.4228999999998
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,10,1154.9975000000004
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,11,1434.2904999999996
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,12,1461.4912
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,13,1222.7590999999998
run-20260611_000002-n3od24x0neyzw18oirlk6,184,production,14,1598.9550999999994
