run,seed,metric_id,step,value
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,1,6.9
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,2,7.45
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,3,7.16
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,4,7.23
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,5,6.77
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,6,6.71
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,7,7.41
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,8,10.88
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,9,8.84
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,10,8.98
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,11,9.24
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,12,9.13
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,13,11.3
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,14,11.16
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,15,10.73
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,16,12.5
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,17,11.72
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,18,12.5
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,19,12.21
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,20,12.06
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,21,14.01
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,22,13.72
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,23,13.99
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,24,14.35
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,25,15.32
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,26,18.63
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,27,18.97
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,28,25.59
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,29,30.37
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,30,40.59
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,31,40.78
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,32,46.79
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,33,50.8
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,34,56.02
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,35,59.19
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,36,60.64
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,37,55.8
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,38,65.42
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,39,81.79
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,40,92.8
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,41,94.74
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,42,97.35
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,43,96.72
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,44,95.77
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,45,96.78
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,46,97.21
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,47,97.15
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,48,97.73
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,49,96.54
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,survival,50,96.8
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,1,336.50030000000004
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,2,352.62549999999993
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,3,334.5059999999999
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,4,300.8657999999999
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,5,338.01979999999986
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,6,328.6833000000001
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,7,333.3204
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,8,570.7391
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,9,436.74959999999993
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,10,573.1971000000001
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,11,769.6560000000002
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,12,1016.8873000000004
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,13,1379.7854000000004
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,14,1357.3474000000006
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,15,1172.7754000000004
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,16,1298.3272000000004
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,17,1336.7756999999997
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,18,1577.7836999999997
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,19,1388.2430999999995
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,20,1849.993300000001
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,21,2260.2195999999994
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,22,2958.6460999999995
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,23,3158.9590000000007
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,24,3677.020200000001
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,25,4387.3596
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,26,4727.5671999999995
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,27,6721.140199999998
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,28,10354.302000000001
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,29,15428.073400000008
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,30,31414.498299999992
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,31,34634.636300000006
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,32,49433.79620000002
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,33,63174.87819999999
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,34,86122.7105
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,35,118279.87250000006
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,36,117811.40329999996
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,37,117166.22279999999
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,38,171969.78589999996
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,39,274496.4591
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,40,378486.4264
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,41,390757.80890000006
run-20260611_011610-nsebmrbwgob5dzg68bki1,291,production,42,417231.55610000005
