run,seed,metric_id,step,value
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,1,7.19
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,2,7.23
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,3,7.38
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,4,7.32
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,5,7.49
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,6,6.76
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,7,11.6
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,8,11.48
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,9,12.6
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,10,12.77
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,11,13.01
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,12,13.84
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,13,14.1
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,14,13.92
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,15,13.76
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,16,13.65
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,17,14.07
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,18,15.74
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,19,15.17
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,20,18.44
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,21,18.94
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,22,23.17
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,23,23.68
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,24,26.06
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,25,27.67
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,26,26.55
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,27,29.9
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,28,30.01
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,29,41.41
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,30,33.62
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,31,42.16
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,32,53.33
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,33,64.22
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,34,69.64
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,35,64.47
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,36,70.02
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,37,80.35
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,38,89.16
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,39,93.27
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,40,95.22
run-20260611_022829-vh58qcjl9pq5dhjrjzku1,83,survival,41,97.36
