run,seed,metric_id,step,value
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,1,7.38
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,2,7.23
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,3,7.64
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,4,7.56
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,5,7.5
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,6,7.79
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,7,11.54
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,8,10.83
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,9,11.47
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,10,11.51
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,11,12.35
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,12,11.81
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,13,11.89
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,14,11.96
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,15,12.89
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,16,13.44
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,17,14.3
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,18,13.33
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,19,15.48
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,20,16.5
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,21,17.95
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,22,21.94
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,23,18.77
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,24,21.91
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,25,25.3
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,26,24.6
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,27,24.51
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,28,28.23
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,29,28.7
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,30,31.73
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,31,33.42
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,32,34.7
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,33,39.59
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,34,39.22
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,35,43.81
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,36,57.51
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,37,68.09
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,38,79.95
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,39,85.28
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,40,92.64
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,41,95.26
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,42,93.08
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,43,95.17
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,44,94.43
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,45,91.27
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,46,96.09
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,47,92.8
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,48,93.58
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,49,92.56
run-20260611_034129-m6wp1sysrveov4tarc29s,739,survival,50,94.09
run-20260611_034129-m6wp1sysrveov4tarc29s,739,production,1,407.654
