run,seed,metric_id,step,value
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,1,6.96
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,2,6.92
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,3,7.2
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,4,7.02
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,5,6.8
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,6,6.9
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,7,12.45
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,8,12.93
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,9,12.17
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,10,12.49
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,11,11.57
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,12,11.69
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,13,11.74
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,14,10.93
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,15,9.79
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,16,10.86
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,17,12.93
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,18,13.29
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,19,13.45
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,20,16.13
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,21,15.84
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,22,14.72
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,23,16.88
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,24,17.71
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,25,18.9
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,26,20.27
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,27,24.29
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,28,30.52
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,29,41.33
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,30,51.79
run-20260611_045354-oe1vi3kximynewatvt20r,512,survival,31,44.43
