run,seed,metric_id,step,value
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,1,6.5
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,2,6.59
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,3,6.48
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,4,6.55
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,5,6.4
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,6,7.03
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,7,6.86
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,8,9.51
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,9,10.0
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,10,10.31
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,11,9.86
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,12,11.45
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,13,11.14
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,14,10.97
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,15,11.5
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,16,12.7
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,17,13.99
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,18,13.5
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,19,14.41
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,20,14.69
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,21,16.13
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,22,17.18
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,23,18.32
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,24,17.27
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,25,18.71
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,26,22.64
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,27,26.42
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,28,28.64
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,29,34.7
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,30,37.43
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,31,46.87
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,32,44.64
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,33,41.56
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,34,44.13
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,35,38.92
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,36,44.42
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,37,47.87
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,38,55.94
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,39,53.87
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,40,50.78
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,41,51.0
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,42,53.43
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,43,56.06
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,44,62.2
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,45,60.78
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,46,61.4
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,47,60.56
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,48,60.13
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,49,64.24
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,50,63.39
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,51,60.25
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,52,59.8
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,53,64.39
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,54,60.6
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,55,64.16
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,56,63.34
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,57,60.76
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,58,63.32
run-20260611_072248-k7demplrp6ersto1hykhn,894,survival,59,59.92
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,1,348.6014
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,2,380.7969000000002
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,3,377.4275999999999
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,4,372.7285999999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,5,346.0712
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,6,393.76920000000007
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,7,329.7468999999999
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,8,413.8956999999999
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,9,980.2079999999994
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,10,1175.9036
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,11,851.9423999999999
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,12,986.9558999999995
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,13,1232.3766999999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,14,1393.9453000000005
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,15,1310.7794000000001
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,16,1542.7636000000005
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,17,2132.8119999999994
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,18,2397.7543999999994
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,19,2783.1334
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,20,3138.2958000000003
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,21,4109.7396
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,22,4434.967700000001
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,23,4764.0741
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,24,4322.422100000002
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,25,5043.4459
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,26,8008.0532
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,27,8981.8605
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,28,9800.462500000001
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,29,14776.962000000005
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,30,17073.622199999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,31,29117.6584
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,32,37053.68010000003
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,33,42760.99079999999
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,34,55710.7331
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,35,51511.375799999994
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,36,73865.4111
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,37,85121.0134
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,38,119127.21210000003
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,39,133383.37989999997
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,40,123422.70920000001
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,41,131001.61469999995
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,42,143640.88659999997
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,43,167797.65560000006
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,44,221136.75330000007
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,45,205667.5614
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,46,212070.2819
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,47,208906.22660000005
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,48,208856.75830000004
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,49,232652.66320000013
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,50,224649.8870000001
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,51,206342.2322
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,52,203672.27429999996
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,53,226894.34009999994
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,54,207441.6171
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,55,234428.8653999999
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,56,226303.05830000006
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,57,210679.0489
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,58,228822.53350000008
run-20260611_072248-k7demplrp6ersto1hykhn,894,production,59,209134.71840000004
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,1,276.0725999999999
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,2,229.5751
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,3,314.3416
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,4,301.93429999999995
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,5,265.25280000000015
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,6,286.8578
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,7,311.7193
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,8,526.7516
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,9,909.4455999999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,10,1108.4027999999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,11,1042.9712000000002
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,12,1330.3708
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,13,1610.6201999999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,14,1521.6872999999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,15,1623.7607999999998
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,16,2001.1695000000004
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,17,2874.9036000000015
run-20260611_072248-k7demplrp6ersto1hykhn,894,consumption,18,2695.1045
