run,seed,metric_id,step,value
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,1,6.68
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,2,6.72
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,3,6.59
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,4,6.6
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,5,6.66
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,6,6.67
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,7,8.68
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,8,13.48
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,9,13.19
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,10,10.78
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,11,10.73
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,12,9.12
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,13,10.09
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,14,9.37
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,15,10.19
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,16,10.53
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,17,11.76
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,18,11.79
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,19,12.91
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,20,14.4
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,21,15.3
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,22,16.66
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,23,16.69
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,24,19.31
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,25,20.57
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,26,19.47
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,27,25.24
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,28,27.21
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,29,29.64
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,30,38.36
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,31,41.0
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,32,46.25
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,33,59.65
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,34,65.44
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,35,67.16
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,36,66.93
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,37,66.94
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,38,74.29
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,39,71.82
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,40,79.7
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,41,76.69
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,42,77.08
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,43,82.1
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,44,76.91
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,45,80.22
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,46,76.34
run-20260611_083727-9ovnv1xy4a8eptpoy4tfw,652,survival,47,80.97
