run,seed,metric_id,step,value
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,0,6.9
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,1,7.21
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,2,6.91
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,3,9.43
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,4,11.35
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,5,11.9
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,6,12.89
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,7,12.69
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,8,18.42
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,9,32.94
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,10,34.63
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,11,38.56
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,12,34.6
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,13,38.31
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,14,46.22
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,15,52.49
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,16,61.85
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,17,59.97
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,18,62.98
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,19,57.3
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,20,59.32
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,21,65.08
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,22,68.55
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,23,66.67
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,24,62.54
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,25,67.61
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,26,69.02
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,27,73.38
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,28,74.48
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,29,71.62
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,30,70.04
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,31,76.58
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,32,75.16
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,33,73.11
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,34,72.92
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,35,75.22
run-20260608_011942-beielmvwn03zgc3wemv0s,291,survival,36,74.23
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,0,-199.88620733113714
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,1,-119.02895130178715
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,2,-104.92647568444218
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,3,277.686858277104
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,4,409.3366117552639
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,5,973.0987969304755
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,6,2277.3922359021135
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,7,2495.253254118002
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,8,5180.482250965798
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,9,19772.117538166982
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,10,18296.428405120296
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,11,18974.173904271516
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,12,14448.665675024777
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,13,16069.088496974144
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,14,21145.81666181174
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,15,23663.384418124933
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,16,26470.601524445512
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,17,26359.680335011395
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,18,28736.323206497626
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,19,27811.132290155194
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,20,30572.765753208663
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,21,32060.78614591092
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,22,34735.493631307785
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,23,34937.33077406736
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,24,33888.75025708741
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,25,35939.21549805233
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,26,33929.737143219136
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,27,34802.60052834665
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,28,34772.59177525972
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,29,33799.928633020565
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,30,33801.983651006216
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,31,35717.1576596794
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,32,35537.293204030335
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,33,34601.267297836246
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,34,34831.8522502278
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,35,35481.82497338879
run-20260608_011942-beielmvwn03zgc3wemv0s,291,production,36,34790.26130868595
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,0,60.5625411752685
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,1,-51.48147144222822
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,2,-112.33367624623115
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,3,119.67405630504118
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,4,656.3738197727482
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,5,1105.5308045779748
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,6,2123.3551336338714
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,7,2775.8937636726473
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,8,7354.526240421325
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,9,23122.175221066587
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,10,20462.08385819693
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,11,21030.454264168922
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,12,15887.634654136218
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,13,17169.4435902242
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,14,21928.293825314042
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,15,23751.831983794073
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,16,26860.230211298483
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,17,26357.711155486777
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,18,27796.97319396954
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,19,27152.669478252083
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,20,28959.023812819134
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,21,30286.68908773077
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,22,31363.695859545373
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,23,31259.99679112449
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,24,30352.41935892815
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,25,31225.060045056198
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,26,30045.70006726032
run-20260608_011942-beielmvwn03zgc3wemv0s,291,consumption,27,30759.165515602057
