run,seed,metric_id,step,value
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,0,7.32
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,1,6.77
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,2,8.76
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,3,14.25
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,4,14.03
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,5,13.37
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,6,13.06
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,7,13.46
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,8,12.92
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,9,14.36
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,10,12.81
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,11,17.01
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,12,18.32
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,13,45.43
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,14,54.48
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,15,76.42
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,16,87.43
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,17,82.38
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,18,73.77
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,19,53.01
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,20,56.32
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,21,59.57
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,22,61.67
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,23,61.37
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,24,50.25
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,25,69.1
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,26,82.22
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,27,86.55
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,28,81.02
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,29,87.17
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,30,88.49
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,31,84.11
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,32,88.35
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,33,84.44
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,survival,34,87.15
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,0,-172.59551283599794
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,1,-239.82095909643817
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,2,55.27337498937407
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,3,245.47409948829048
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,4,126.88350371348899
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,5,432.6946699814717
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,6,1204.4490200014595
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,7,1375.7967759936478
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,8,2047.0500884437033
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,9,1973.501009353215
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,10,1754.5796496721555
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,11,2998.356170517842
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,12,5692.749747357381
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,13,11623.902980796629
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,14,13743.855834012278
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,15,16547.825685901367
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,16,18912.187344372378
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,17,23807.094454283597
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,18,23941.98412399212
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,19,20297.755843327308
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,20,21251.845974780583
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,21,21863.74976534278
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,22,23257.817005377823
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,23,24767.211188148452
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,24,21283.705610155583
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,25,24288.676084734932
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,26,28636.497275421632
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,27,28943.54775116714
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,28,27699.223732033523
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,29,29109.09523957097
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,30,29829.60376392106
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,31,28523.16154028475
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,32,29650.03421625522
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,33,28762.23426824221
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,production,34,29463.26048061481
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,0,-130.88418955871433
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,1,-110.93092093878924
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,2,-145.00720793345283
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,3,298.63968707244794
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,4,547.3508947469546
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,5,690.8573355793899
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,6,1412.5098385192582
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,7,1735.9455268438917
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,8,2011.7896778766467
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,9,2954.926307052685
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,10,3572.2868543250975
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,11,4954.192619970737
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,12,7620.360622354757
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,13,14531.570876983567
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,14,14703.534052807689
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,15,18533.625694172642
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,16,20818.45686165027
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,17,22085.273148417855
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,18,24272.38406352978
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,19,21959.245844132605
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,20,23664.784779551333
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,21,23566.444060312315
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,22,24852.63619607842
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,23,26789.68279469404
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,24,22619.75028297318
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,25,24390.994882840823
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,26,28420.006142337796
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,27,27760.91485158552
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,28,26770.814733195966
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,29,28355.049120566273
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,30,29117.33636102837
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,31,27663.84371119327
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,32,28841.926542951885
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,33,27610.63654769939
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,consumption,34,28760.424059309502
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,0,-67.46511856393568
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,1,-70.42004728237734
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,2,-60.17141776140363
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,3,-33.183490591973985
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,4,-33.90232608833997
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,5,-37.060274877789176
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,6,-37.59630830591947
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,7,-36.67459555637053
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,8,-38.07211851397967
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,9,-33.554136091356504
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,10,-41.25227339619015
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,11,-23.241105552908664
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,12,-22.02909521217694
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,13,304.6371568149944
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,14,308.0858352540965
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,15,549.909812126545
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,16,756.4822214080674
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,17,701.7474946675383
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,18,610.2185152856168
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,19,394.05378870699525
run-20260608_022212-p7r9r89rlnh7nkgxougk8,83,bank,20,404.8263681743941
