created_at,kind,seed,episode,epiday,survival_days,stable_avg_survival,stable_good_rate,checkpoint_path
2026-05-23T23:38:46,candidate,184,1118,17895,92,,,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_candidate_background_actors.pth
2026-05-23T23:38:54,candidate,184,1122,18196,97,,,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_candidate_background_actors.pth
2026-05-23T23:39:18,candidate,184,1136,19148,99,,,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_candidate_background_actors.pth
2026-05-24T00:16:04,stable,184,2332,108154,98,92.85,0.8,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:16:30,stable,184,2351,109933,99,93.17,0.81,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:16:34,stable,184,2353,110129,99,93.5,0.82,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:16:45,stable,184,2361,110880,99,93.72,0.83,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:16:48,stable,184,2363,111075,99,93.9,0.84,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:17:00,stable,184,2371,111839,99,94.44,0.85,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:17:27,stable,184,2390,113610,91,94.78,0.86,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:17:38,stable,184,2397,114295,99,95.18,0.87,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:17:44,stable,184,2401,114681,93,95.54,0.88,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:18:47,stable,184,2443,118691,99,96.02,0.89,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:18:50,stable,184,2445,118887,99,96.39,0.9,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:33:16,stable,184,3029,173665,99,96.42,0.94,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:33:44,stable,184,3047,175397,99,96.59,0.95,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_184\seed_184_stable_background_actors.pth
2026-05-24T00:43:05,candidate,291,1259,20804,99,,,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_candidate_background_actors.pth
2026-05-24T00:59:36,stable,291,1773,60298,78,90.16,0.81,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T00:59:59,stable,291,1783,61206,99,90.7,0.82,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:01:04,stable,291,1810,63730,99,91.73,0.83,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:01:06,stable,291,1811,63828,99,92.57,0.84,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:01:14,stable,291,1814,64122,99,93.25,0.85,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:01:23,stable,291,1818,64503,99,94.01,0.85,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:13:08,stable,291,2115,91923,99,94.56,0.8,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:13:11,stable,291,2116,92021,99,94.69,0.81,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:13:14,stable,291,2117,92119,99,94.81,0.82,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:13:49,stable,291,2131,93457,99,95.13,0.83,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:13:51,stable,291,2132,93555,99,95.33,0.84,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:14:38,stable,291,2153,95531,99,95.96,0.85,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:16:07,stable,291,2194,99433,99,96.35,0.86,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:16:13,stable,291,2197,99727,99,96.46,0.87,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:17:04,stable,291,2220,101967,99,96.68,0.88,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:17:12,stable,291,2224,102359,99,96.88,0.89,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:17:28,stable,291,2235,103437,99,97.03,0.9,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:17:30,stable,291,2236,103535,99,97.18,0.91,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:17:40,stable,291,2243,104221,99,97.4,0.92,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:17:43,stable,291,2245,104417,99,97.7,0.93,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
2026-05-24T01:17:56,stable,291,2254,105299,99,97.85,0.94,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\frozen_actors\seed_291\seed_291_stable_background_actors.pth
