participant_id,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
1+,184,0,1,td3,7.277,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,0.0,5.5,5.5,12.0,-0.5,0.10000000000000009,0.10000000000000009,0.5
1+,184,0,2,td3,6.993,0.10542,0.1451,0.1,1.174,1.375,0.8,1.2,0.0,0.0,0.0,0.05,0.55,0.55,0.8,0.55,0.8,0.55,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,1.2,10.0,1.1999062299728394,10.0,0.0,6.05,6.05,18.0,-0.5,0.09999999999999987,0.09999999999999987,0.5
1+,184,0,3,td3,6.353,0.13336,0.14335,0.1,1.1149999999999998,1.0975,1.2,1.8,0.0,0.0,0.0,0.05,0.6049999999999999,0.6049999999999999,1.2,0.43899999999999995,1.1999062299728394,0.43899999999999995,0.0,0.0,0.0,0.0,1.2,0.6759999999999999,1.1999062299728394,0.595,0.0,0.0,0.0,0.0,1.8,10.0,1.5232982516245563,10.0,0.0,6.655,6.655,18.0,-0.5,0.10000000000000031,0.10000000000000031,0.0
1+,184,0,4,td3,3.561,0.1805,0.14309999999999998,0.1,1.0050000000000001,1.0025,1.8,1.8,0.0,0.0,0.0,0.05,0.6655000000000001,0.6655000000000001,1.8,0.40099999999999997,1.5232982516245563,0.40099999999999997,0.0,0.0,0.0,0.0,1.8,0.604,1.5232982516245563,0.603,0.0,0.0,0.0,0.0,1.8,10.0,2.277954614168111,10.0,0.0,7.3205,7.3205,19.8,-0.5,0.09999999999999987,0.09999999999999987,0.10000000000000009
1+,184,0,5,td3,5.288,0.20221,0.14115,0.1,1.127,1.1075,1.8,1.98,0.0,0.0,0.1,0.05,0.73205,0.73205,1.8,0.44299999999999995,2.277954614168111,0.44299999999999995,0.0,0.0,0.0,0.0,1.8,0.6839999999999999,2.277954614168111,0.72,0.0,0.0,0.0,0.0,1.98,10.0,2.7242666336689507,10.0,0.0,8.0526,8.0526,23.958,-0.5,0.10000683013455358,0.10000683013455358,0.20999999999999996
1+,184,0,6,td3,11.932,0.13347,0.13044999999999998,0.0,1.182,1.075,1.98,2.3958,0.0,0.0,0.0,0.0,0.80526,0.80526,1.98,0.43,2.7242666336689507,0.43,0.0,0.0,0.0,0.0,1.98,0.752,2.7242666336689507,0.8089999999999999,0.0,0.0,0.0,0.0,2.3958,10.0,2.6006282908071237,10.0,10.0,8.0526,8.0526,23.958,-0.4250767962838091,0.0,0.0,0.0
1+,184,0,7,td3,7.915,0.27079000000000003,0.08919999999999999,0.00999,1.1300000000000001,0.7175,2.3958,2.3958,0.009999999999999997,0.00999,0.0,0.005,0.80526,0.80526,2.3958,0.28700000000000003,2.6006282908071237,0.28700000000000003,0.0,0.0,0.0,0.0,2.3958,0.843,2.6006282908071237,0.8630000000000001,0.0,0.0,0.0,0.0,2.3958,10.0,2.9562854012372437,10.0,0.0,8.0526,8.0526,28.9892,-0.5,0.0,0.0,0.21000083479422327
1+,184,0,8,td3,9.057,0.21306999999999998,0.10625,0.00999,0.8879999999999999,1.0625,2.3958,2.89892,0.0,0.0,0.0,0.005,0.80526,0.80526,2.3958,0.4,2.9562854012372437,0.506,10.0,0.025,0.0,0.0,2.3958,0.488,2.9562854012372437,0.9810000000000001,10.0,0.13,0.0,0.0,2.89892,10.0,3.710642120311893,10.0,7.0,8.0526,8.0526,31.3827,-0.4671469470127188,0.0,0.0,0.0825652311895464
1+,184,0,9,td3,7.809,0.20546,0.1186,0.016989999999999998,0.709,0.8324999999999999,2.89892,3.13827,0.007000000000000004,0.007,0.0,0.008,0.80526,0.80526,2.89892,0.333,3.710642120311893,0.333,0.0,0.0,0.0,0.0,2.89892,0.376,3.710642120311893,0.62,0.0,0.0,0.0,0.0,3.13827,10.0,4.885440354116328,10.0,0.0,8.0526,8.0526,47.074,-0.5,0.0,0.0,0.49999840676551077
1+,184,0,10,td3,15.679,0.16975,0.1285,0.016989999999999998,0.541,0.64,3.13827,4.7074,0.0,0.0,0.0,0.008,0.80526,0.80526,3.13827,0.256,4.885440354116328,0.256,0.0,0.0,0.0,0.0,3.13827,0.28500000000000003,4.885440354116328,0.572,0.0,0.0,0.0,0.0,4.7074,10.0,2.847202320167166,10.0,0.0,5.8703,5.8703,31.3278,-0.5,-0.2710056379306063,-0.2710056379306063,-0.33449887411309853
