participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,0,episode_done,18,17,343.616,20.213,2.968,343.672,2.968,17,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,1,episode_done,8,7,79.506,11.358,5.283,79.532,5.281,24,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,2,episode_done,20,19,46.972,2.472,24.27,47.027,24.242,43,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,3,episode_done,6,5,48.742,9.748,6.155,48.763,6.152,48,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,4,episode_done,7,6,40.205,6.701,8.954,40.228,8.949,54,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,5,episode_done,6,5,27.854,5.571,10.77,27.875,10.763,59,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,6,episode_done,6,5,18.658,3.732,16.079,18.682,16.058,64,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,7,episode_done,27,26,901.69,34.68,1.73,901.762,1.73,90,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,8,episode_done,26,25,23.912,0.956,62.729,23.979,62.553,115,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,9,episode_done,30,29,32.802,1.131,53.045,32.878,52.923,144,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
anonymous1+,20-40岁,硕士及以上,男,几乎没有,几乎没有,184,10,episode_done,99,98,422.574,4.312,13.915,422.85,13.906,242,td3,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_expert.csv,/root/经济系统-远程/real_System_remake/human_collect_web_data/anonymous1__20260601_194637_99c8263a_meta.csv
