participant_id,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,184,0,1,td3,35.54,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,0.0,5.0,5.0,12.0,-0.5,0.0,0.0,0.5
anonymous,184,0,2,td3,107.854,0.10518000000000001,0.1429,0.1,1.0710000000000002,1.25,0.8,1.2,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.571,0.8,0.568,0.0,0.0,0.0,0.0,1.2,10.0,1.1997989416122437,10.0,0.0,5.5,5.5,12.0,-0.5,0.10000000000000009,0.10000000000000009,0.0
anonymous,184,0,3,td3,7.021,0.12809,0.14529999999999998,0.1,1.0710000000000002,1.095,1.2,1.2,0.0,0.0,0.0,0.05,0.55,0.55,1.2,0.438,1.1997989416122437,0.438,0.0,0.0,0.0,0.0,1.2,0.633,1.1997989416122437,0.6519999999999999,0.0,0.0,0.0,0.0,1.2,10.0,1.7985890221010905,10.0,0.0,5.5,5.5,18.0,-0.5,0.0,0.0,0.5
anonymous,184,0,4,td3,26.558,0.12290999999999999,0.14925,0.1,1.028,1.0675,1.2,1.8,0.0,0.0,0.0,0.05,0.55,0.55,1.2,0.42699999999999994,1.7985890221010905,0.42699999999999994,0.0,0.0,0.0,0.0,1.2,0.601,1.7985890221010905,0.726,0.0,0.0,0.0,0.0,1.8,10.0,2.6197050411307203,10.0,0.0,6.655,6.655,27.0,-0.5,0.20999999999999996,0.20999999999999996,0.5
anonymous,184,0,5,td3,18.255,0.1709,0.12355,0.1,0.952,0.695,1.8,2.7,0.0,0.0,0.1,0.05,0.6655,0.6655,1.8,0.27799999999999997,2.6197050411307203,0.27799999999999997,0.0,0.0,0.0,0.0,1.8,0.674,2.6197050411307203,0.844,0.0,0.0,0.0,0.0,2.7,10.0,3.651289975693806,10.0,0.0,7.3205,7.3205,36.0855,-0.5,0.10000000000000009,0.10000000000000009,0.3365
anonymous,184,0,6,td3,16.387,0.18116,0.08649999999999998,0.0,1.043,0.6725,2.7,3.60855,0.0,0.0,0.0,0.0,0.73205,0.73205,2.7,0.269,3.651289975693806,0.269,0.0,0.0,0.0,0.0,2.7,0.774,3.651289975693806,1.162,0.0,0.0,0.0,0.0,3.60855,10.0,4.558791594223316,10.0,0.0,6.5884,6.5884,43.8439,-0.5,-0.10000683013455369,-0.10000683013455369,0.21500048495933255
anonymous,184,0,7,td3,20.618,0.30974,0.04625,0.0,0.859,0.4625,3.60855,4.38439,0.0,0.0,0.0,0.0,0.65884,0.65884,3.60855,0.16399999999999998,4.558791594223316,0.22200000000000003,10.0,0.020999999999999998,0.0,0.0,3.60855,0.6950000000000001,4.558791594223316,1.671,10.0,0.244,0.0,0.0,4.38439,10.0,5.255998598502594,10.0,0.0,7.2472,7.2472,52.5206,-0.5,0.09999392872321056,0.09999392872321056,0.19789982186803656
anonymous,184,0,8,td3,8.113,0.20067,0.05775,0.0,0.458,0.5775,4.38439,5.252060000000001,0.0,0.0,0.0,0.0,0.72472,0.72472,4.38439,0.16,5.255998598502594,0.321,10.0,0.071,0.0,0.0,4.38439,0.298,5.255998598502594,1.53,10.0,0.13,0.0,0.0,5.252060000000001,10.0,5.300811116303629,10.0,0.0,7.2472,7.2472,52.5206,-0.5,0.0,0.0,-1.1102230246251565e-16
anonymous,184,0,9,td3,14.765,0.30369,0.043,0.0,0.578,0.43,5.252060000000001,5.25206,0.0,0.0,0.0,0.0,0.72472,0.72472,5.252060000000001,0.152,5.300811116303629,0.19,10.0,0.02,0.0,0.0,5.252060000000001,0.426,5.300811116303629,1.206,10.0,0.05600000000000001,0.0,0.0,5.25206,10.0,6.240001679596701,10.0,0.0,7.2472,7.2472,57.7727,-0.5,0.0,0.0,0.1000007616059222
anonymous,184,0,10,td3,8.458,0.22669999999999998,0.05874999999999999,0.0,0.43099999999999994,0.5874999999999999,5.25206,5.77727,0.0,0.0,0.0,0.0,0.72472,0.72472,5.25206,0.20299999999999999,6.240001679596701,0.264,10.0,0.032,0.0,0.0,5.25206,0.22799999999999998,6.240001679596701,0.774,10.0,0.034999999999999996,0.0,0.0,5.77727,10.0,5.526308026076437,10.0,0.0,7.2472,7.2472,57.7727,-0.5,0.0,0.0,0.0
anonymous,184,0,11,td3,27.039,0.25889999999999996,0.06409999999999999,0.0,0.449,0.5025,5.77727,5.77727,0.0,0.0,0.0,0.0,0.72472,0.72472,5.77727,0.20099999999999998,5.526308026076437,0.20099999999999998,0.0,0.0,0.0,0.0,5.77727,0.248,5.526308026076437,0.708,0.0,0.0,0.0,0.0,5.77727,10.0,7.213697369665631,10.0,0.0,7.9248,7.9248,62.7727,-0.5,0.09349817860691023,0.09349817860691023,0.0865460676063261
