participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,1,td3,17.683,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,100.0,5.0,5.0,8.0,0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,2,td3,20.287,0.20942,0.1376,0.2,1.124,1.25,0.8,0.8,0.1,0.1,0.0,0.1,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8,10.0,1.1999062299728394,10.0,0.0,5.0,5.0,9.0,-0.5,0.0,0.0,0.125
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,3,td3,3.953,0.20066,0.14730000000000001,0.2,1.153,1.25,0.8,0.9,0.0,0.0,0.0,0.1,0.5,0.5,0.8,0.5,1.1999062299728394,0.5,0.0,0.0,0.0,0.0,0.8,0.653,1.1999062299728394,0.5900000000000001,0.0,0.0,0.0,0.0,0.9,10.0,1.077443212959877,10.0,0.0,5.0,5.0,9.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,4,td3,10.143,0.21338,0.1472,0.2,1.251,1.25,0.9,0.9,0.0,0.0,0.0,0.1,0.5,0.5,0.9,0.5,1.077443212959877,0.5,0.0,0.0,0.0,0.0,0.9,0.751,1.077443212959877,0.618,0.0,0.0,0.0,0.0,0.9,10.0,1.1370692569813095,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,-0.11111111111111116
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,5,td3,7.574,0.22186,0.14850000000000002,0.2,1.237,1.25,0.9,0.8,0.0,0.0,0.1,0.1,0.5,0.5,0.9,0.5,1.1370692569813095,0.5,0.0,0.0,0.0,0.0,0.9,0.737,1.1370692569813095,0.623,0.0,0.0,0.0,0.0,0.8,10.0,1.1910006861787772,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,6,td3,18.407,0.12203,0.1476,0.1,1.259,1.25,0.8,0.8,0.0,0.0,0.1,0.05,0.5,0.5,0.8,0.5,1.1910006861787772,0.5,0.0,0.0,0.0,0.0,0.8,0.759,1.1910006861787772,0.611,0.0,0.0,0.0,0.0,0.8,10.0,1.2277619457134643,10.0,0.0,5.0,5.0,6.0,-0.5,0.0,0.0,-0.25
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,7,td3,16.763,0.022539999999999998,0.1446,0.0,1.28,1.25,0.8,0.6,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.5,1.2277619457134643,0.5,0.0,0.0,0.0,0.0,0.8,0.78,1.2277619457134643,0.6679999999999999,0.0,0.0,0.0,0.0,0.6,10.0,1.1852267476959213,10.0,0.0,5.0,5.0,4.0,-0.5,0.0,0.0,-0.33333333333333337
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,8,td3,14.911,0.05765,0.08010000000000002,0.0,0.96,0.315,0.6,0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.126,1.1852267476959213,0.126,0.0,0.0,0.0,0.0,0.6,0.834,1.1852267476959213,0.71,0.0,0.0,0.0,0.0,0.4,10.0,1.067148181073874,10.0,0.0,6.0,6.0,5.0,-0.5,0.19999999999999996,0.19999999999999996,0.25
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,9,td3,10.643,0.03195,0.0925,0.0,0.8,0.925,0.4,0.5,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.369,1.067148181073874,0.393,10.0,0.001,0.0,0.0,0.4,0.43099999999999994,1.067148181073874,0.389,10.0,0.027000000000000003,0.0,0.0,0.5,10.0,1.2270510768911707,10.0,0.0,5.0,5.0,5.0,-0.5,-0.16666666666666663,-0.16666666666666663,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,10,td3,6.348,0.04345,0.05185000000000001,0.0,0.869,0.4625,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.185,1.2270510768911707,0.185,0.0,0.0,0.0,0.0,0.5,0.6839999999999999,1.2270510768911707,0.5820000000000001,0.0,0.0,0.0,0.0,0.5,10.0,1.7975663117298601,10.0,0.0,5.0,5.0,5.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,11,td3,18.07,0.02548,0.04025,0.0,0.519,0.4025,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.159,1.7975663117298601,0.189,10.0,0.002,0.0,0.0,0.5,0.36,1.7975663117298601,0.403,10.0,0.068,0.0,0.0,0.5,10.0,1.4487300347332472,10.0,0.0,4.0,4.0,4.0,-0.5,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,12,td3,8.617,0.01955,0.03,0.0,0.4,0.3,0.5,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.119,1.4487300347332472,0.131,10.0,0.001,0.0,0.0,0.5,0.281,1.4487300347332472,0.32999999999999996,10.0,0.001,0.0,0.0,0.4,10.0,2.1160086392068114,10.0,0.0,4.0,4.0,4.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,13,td3,6.967,0.00717,0.0314,0.0,0.181,0.195,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.078,2.1160086392068114,0.078,0.0,0.0,0.0,0.0,0.4,0.10300000000000001,2.1160086392068114,0.12,0.0,0.0,0.0,0.0,0.4,10.0,3.07167201832733,10.0,0.0,4.0,4.0,4.0,-0.5,0.0,0.0,0.0
