participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,1,td3,7.962,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,100.0,5.0,5.0,8.0,0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,2,td3,13.268,0.20942,0.1376,0.2,1.124,1.25,0.8,0.8,0.1,0.1,0.0,0.1,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8,10.0,1.1999062299728394,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,3,td3,4.788,0.20066,0.14730000000000001,0.2,1.153,1.25,0.8,0.8,0.0,0.0,0.0,0.1,0.5,0.5,0.8,0.5,1.1999062299728394,0.5,0.0,0.0,0.0,0.0,0.8,0.653,1.1999062299728394,0.5900000000000001,0.0,0.0,0.0,0.0,0.8,10.0,1.077443212959877,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,4,td3,9.586,0.20771,0.1449,0.2,1.274,1.25,0.8,0.8,0.0,0.0,0.0,0.1,0.5,0.5,0.8,0.5,1.077443212959877,0.5,0.0,0.0,0.0,0.0,0.8,0.774,1.077443212959877,0.658,0.0,0.0,0.0,0.0,0.8,10.0,1.076023800037046,10.0,0.0,5.0,5.0,7.0,-0.5,0.0,0.0,-0.125
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,5,td3,8.289,0.21283000000000002,0.145,0.2,1.249,1.25,0.8,0.7,0.0,0.0,0.1,0.1,0.5,0.5,0.8,0.5,1.076023800037046,0.5,0.0,0.0,0.0,0.0,0.8,0.749,1.076023800037046,0.65,0.0,0.0,0.0,0.0,0.7,10.0,1.076951518557359,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.1428571428571428
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,6,td3,23.76,0.10956999999999999,0.14629999999999999,0.1,1.237,1.25,0.7,0.8,0.0,0.0,0.1,0.05,0.5,0.5,0.7,0.5,1.076951518557359,0.5,0.0,0.0,0.0,0.0,0.7,0.737,1.076951518557359,0.603,0.0,0.0,0.0,0.0,0.8,10.0,1.082991924593261,10.0,100.0,5.0,5.0,4.0,0.4126585744273068,0.0,0.0,-0.5
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,7,td3,22.659,0.01329,0.14959999999999998,0.00101,1.217,1.25,0.8,0.4,0.1,0.00101,0.0,0.001,0.5,0.5,0.8,0.5,1.082991924593261,0.5,0.0,0.0,0.0,0.0,0.8,0.717,1.082991924593261,0.63,0.0,0.0,0.0,0.0,0.4,10.0,1.092055015685046,10.0,0.03,5.0,5.0,4.0,-0.49774266365688485,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,8,td3,16.226,0.036359999999999996,0.08095,0.00101,0.909,0.2225,0.4,0.4,3.000000000000029e-05,0.0,0.0,0.001,0.5,0.5,0.4,0.089,1.092055015685046,0.089,0.0,0.0,0.0,0.0,0.4,0.82,1.092055015685046,0.673,0.0,0.0,0.0,0.0,0.4,10.0,1.1358280628005586,10.0,0.03,4.0,4.0,4.0,-0.4991749174917492,-0.19999999999999996,-0.19999999999999996,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,9,td3,10.056,0.02707,0.07239999999999999,0.00101,0.678,0.5925,0.4,0.4,2.9999999999999354e-05,0.0,0.0,0.001,0.4,0.4,0.4,0.23700000000000002,1.1358280628005586,0.23700000000000002,0.0,0.0,0.0,0.0,0.4,0.441,1.1358280628005586,0.365,0.0,0.0,0.0,0.0,0.4,10.0,1.2239963849839788,10.0,0.03,4.0,4.0,5.0,-0.49889176209826375,0.0,0.0,0.25
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,10,td3,6.615,0.022420000000000002,0.05794999999999999,0.00101,0.562,0.4175,0.4,0.5,3.0000000000000373e-05,0.0,0.0,0.001,0.4,0.4,0.4,0.16699999999999998,1.2239963849839788,0.16699999999999998,0.0,0.0,0.0,0.0,0.4,0.395,1.2239963849839788,0.335,0.0,0.0,0.0,0.0,0.5,10.0,1.191847628628579,10.0,0.03,4.0,4.0,5.0,-0.49866190900981266,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,11,td3,10.589,0.02243,0.04624999999999999,0.00101,0.44699999999999995,0.33,0.5,0.5,3.0000000000000055e-05,0.0,0.00101,0.001,0.4,0.4,0.5,0.132,1.191847628628579,0.132,0.0,0.0,0.0,0.0,0.5,0.315,1.191847628628579,0.335,0.0,0.0,0.0,0.0,0.5,10.0,1.4545278689621395,10.0,0.03,4.0,4.0,5.0,-0.49866250557289343,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,12,td3,11.889,0.01838,0.03609999999999999,0.0,0.389,0.2875,0.5,0.5,3.00000000000003e-05,0.0,0.0,0.0,0.4,0.4,0.5,0.11499999999999999,1.4545278689621395,0.11499999999999999,0.0,0.0,0.0,0.0,0.5,0.274,1.4545278689621395,0.43,0.0,0.0,0.0,0.0,0.5,10.0,1.572804866522991,10.0,0.03,3.0,3.0,5.0,-0.49836779107725787,-0.25,-0.25,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,13,td3,23.714,0.017079999999999998,0.024049999999999988,0.0,0.343,0.2225,0.5,0.5,3.0000000000000326e-05,0.0,0.0,0.0,0.3,0.3,0.5,0.089,1.572804866522991,0.089,0.0,0.0,0.0,0.0,0.5,0.254,1.572804866522991,0.545,0.0,0.0,0.0,0.0,0.5,10.0,1.6768167918756958,10.0,0.02,3.0,3.0,6.0,-0.49882903981264637,0.0,0.0,0.19999999999999996
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,14,td3,7.508,0.012199999999999999,0.014499999999999999,0.0,0.24100000000000002,0.145,0.5,0.6,2.0000000000000022e-05,0.0,0.0,0.0,0.3,0.3,0.5,0.056999999999999995,1.6768167918756958,0.078,10.0,0.001,0.0,0.0,0.5,0.184,1.6768167918756958,0.591,10.0,0.068,0.0,0.0,0.6,10.0,1.719159906087241,10.0,0.02,3.0,3.0,6.0,-0.49836065573770494,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,15,td3,9.064,0.00919,0.007250000000000001,2e-05,0.146,0.07250000000000001,0.6,0.6,1.999999999999975e-05,2e-05,0.0,0.0,0.3,0.3,0.6,0.028000000000000004,1.719159906087241,0.053000000000000005,10.0,0.001,0.0,0.0,0.6,0.118,1.719159906087241,0.521,10.0,0.006,0.0,0.0,0.6,10.0,2.5635044783873036,10.0,0.02,3.0,3.0,7.0,-0.49782372143634385,0.0,0.0,0.16666666666666674
anonymous,40岁以上,大专/本科,男,几乎没有,几乎没有,184,0,16,td3,8.656,0.00414,0.00425,4e-05,0.07200000000000001,0.0425,0.6,0.7,2.0000000000000046e-05,2e-05,0.0,0.0,0.3,0.3,0.6,0.016,2.5635044783873036,0.028999999999999998,10.0,0.001,0.0,0.0,0.6,0.05600000000000001,2.5635044783873036,0.242,10.0,0.003,0.0,0.0,0.7,10.0,3.1647021025648456,10.0,0.02,3.0,3.0,5.0,-0.49516908212560384,0.0,0.0,-0.2857142857142857
