participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,1,td3,10.518,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,2,td3,12.614,0.10942,0.1376,0.1,1.124,1.25,0.8,0.8,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8,10.0,1.1999062299728394,10.0,0.0,5.0,5.0,9.0,-0.5,0.0,0.0,0.125
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,3,td3,7.791,0.10156,0.14679999999999999,0.1,1.158,1.25,0.8,0.9,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,1.1999062299728394,0.5,0.0,0.0,0.0,0.0,0.8,0.658,1.1999062299728394,0.595,0.0,0.0,0.0,0.0,0.9,10.0,1.077443212959877,10.0,0.0,5.0,5.0,7.0,-0.5,0.0,0.0,-0.2222222222222222
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,4,td3,9.514,0.1146,0.1469,0.1,1.249,1.25,0.9,0.7,0.0,0.0,0.0,0.05,0.5,0.5,0.9,0.5,1.077443212959877,0.5,0.0,0.0,0.0,0.0,0.9,0.749,1.077443212959877,0.617,0.0,0.0,0.0,0.0,0.7,10.0,1.136586205533019,10.0,0.0,5.0,5.0,7.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,5,td3,17.569,0.11453,0.1401,0.1,1.318,1.25,0.7,0.7,0.0,0.0,0.1,0.05,0.5,0.5,0.7,0.5,1.136586205533019,0.5,0.0,0.0,0.0,0.0,0.7,0.818,1.136586205533019,0.688,0.0,0.0,0.0,0.0,0.7,10.0,1.074779300141517,10.0,99.99,5.0,5.0,6.0,0.37304636339823627,0.0,0.0,-0.1428571428571429
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,6,td3,19.949,0.013869999999999999,0.1386,2.9999999999999997e-05,1.2650000000000001,1.25,0.7,0.6,0.09999,2.9999999999999997e-05,0.0,0.0,0.5,0.5,0.7,0.5,1.074779300141517,0.5,0.0,0.0,0.0,0.0,0.7,0.765,1.074779300141517,0.64,0.0,0.0,0.0,0.0,0.6,10.0,1.0739529751213692,10.0,0.0,5.0,5.0,4.0,-0.5,0.0,0.0,-0.33333333333333337
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,7,td3,8.312,0.05278,0.07135,2.9999999999999997e-05,0.8799999999999999,0.20749999999999996,0.6,0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.08299999999999999,1.0739529751213692,0.08299999999999999,0.0,0.0,0.0,0.0,0.6,0.7969999999999999,1.0739529751213692,0.675,0.0,0.0,0.0,0.0,0.4,10.0,1.042376476829966,10.0,0.0,5.0,5.0,4.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,8,td3,8.658,0.02811,0.08100000000000002,2.9999999999999997e-05,0.709,0.8100000000000002,0.4,0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.322,1.042376476829966,0.366,10.0,0.002,0.0,0.0,0.4,0.387,1.042376476829966,0.363,10.0,0.053000000000000005,0.0,0.0,0.4,10.0,1.2925389351065024,10.0,0.0,5.0,5.0,5.0,-0.5,0.0,0.0,0.25
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,9,td3,12.592,0.032490000000000005,0.040749999999999995,2.9999999999999997e-05,0.8089999999999999,0.4074999999999999,0.4,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.16299999999999998,1.2925389351065024,0.16599999999999998,0.0,0.0,0.0,0.0,0.4,0.646,1.2925389351065024,0.544,10.0,0.013000000000000001,0.0,0.0,0.5,10.0,1.9027765991123016,10.0,0.0,5.0,5.0,5.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,10,td3,9.148,0.020649999999999998,0.023000000000000003,2.9999999999999997e-05,0.40700000000000003,0.23000000000000004,0.5,0.5,0.0,0.0,2.9999999999999997e-05,0.0,0.5,0.5,0.5,0.09,1.9027765991123016,0.135,10.0,0.002,0.0,0.0,0.5,0.317,1.9027765991123016,0.8150000000000001,10.0,0.05600000000000001,0.0,0.0,0.5,10.0,2.444428209564004,10.0,0.0,5.0,5.0,5.0,-0.5,0.0,0.0,0.0
