participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,1,td3,8.154,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,2,td3,7.634,0.10942,0.1376,0.1,1.124,1.25,0.8,0.8,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8,10.0,1.1999062299728394,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,3,td3,13.137,0.10156,0.14679999999999999,0.1,1.158,1.25,0.8,0.8,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,1.1999062299728394,0.5,0.0,0.0,0.0,0.0,0.8,0.658,1.1999062299728394,0.595,0.0,0.0,0.0,0.0,0.8,10.0,1.077443212959877,10.0,0.0,5.0,5.0,9.0,-0.5,0.0,0.0,0.125
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,4,td3,14.724,0.10903,0.1445,0.1,1.2730000000000001,1.25,0.8,0.9,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,1.077443212959877,0.5,0.0,0.0,0.0,0.0,0.8,0.773,1.077443212959877,0.657,0.0,0.0,0.0,0.0,0.9,10.0,1.0757209462548742,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,-0.11111111111111116
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,5,td3,6.442,0.12035,0.1466,0.1,1.2289999999999999,1.25,0.9,0.8,0.0,0.0,0.1,0.05,0.5,0.5,0.9,0.5,1.0757209462548742,0.5,0.0,0.0,0.0,0.0,0.9,0.729,1.0757209462548742,0.612,0.0,0.0,0.0,0.0,0.8,10.0,1.1355003730476805,10.0,0.0,5.0,5.0,7.0,-0.5,0.0,0.0,-0.125
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,6,td3,11.887,0.022269999999999998,0.1476,0.0,1.24,1.25,0.8,0.7,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.5,1.1355003730476805,0.5,0.0,0.0,0.0,0.0,0.8,0.74,1.1355003730476805,0.5860000000000001,0.0,0.0,0.0,0.0,0.7,10.0,1.2125483047405026,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.1428571428571428
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,7,td3,9.575,0.06420000000000001,0.085,0.0,0.916,0.29,0.7,0.8,0.0,0.0,0.0,0.0,0.5,0.5,0.7,0.11599999999999999,1.2125483047405026,0.11599999999999999,0.0,0.0,0.0,0.0,0.7,0.8,1.2125483047405026,0.667,0.0,0.0,0.0,0.0,0.8,10.0,1.1292361532694948,10.0,0.0,5.0,5.0,9.0,-0.5,0.0,0.0,0.125
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,8,td3,15.844,0.06228,0.09035,0.0,0.779,0.8324999999999999,0.8,0.9,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.333,1.1292361532694948,0.333,0.0,0.0,0.0,0.0,0.8,0.446,1.1292361532694948,0.371,0.0,0.0,0.0,0.0,0.9,10.0,1.275913455932619,10.0,0.0,4.0,4.0,9.0,-0.5,-0.19999999999999996,-0.19999999999999996,0.0
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,9,td3,6.1,0.06872,0.08555,0.0,0.7629999999999999,0.715,0.9,0.9,0.0,0.0,0.0,0.0,0.4,0.4,0.9,0.286,1.275913455932619,0.286,0.0,0.0,0.0,0.0,0.9,0.477,1.275913455932619,0.417,0.0,0.0,0.0,0.0,0.9,10.0,1.8467395351413127,10.0,0.0,4.0,4.0,9.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,10,td3,11.333,0.06593,0.07485,0.0,0.732,0.625,0.9,0.9,0.0,0.0,0.0,0.0,0.4,0.4,0.9,0.25,1.8467395351413127,0.25,0.0,0.0,0.0,0.0,0.9,0.48200000000000004,1.8467395351413127,0.42699999999999994,0.0,0.0,0.0,0.0,0.9,10.0,1.8324634848691872,10.0,0.0,4.0,4.0,9.0,-0.5,0.0,0.0,0.0
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,11,td3,9.873,0.05993,0.0686,0.0,0.665,0.6025,0.9,0.9,0.0,0.0,0.0,0.0,0.4,0.4,0.9,0.24100000000000002,1.8324634848691872,0.24100000000000002,0.0,0.0,0.0,0.0,0.9,0.42400000000000004,1.8324634848691872,0.4,0.0,0.0,0.0,0.0,0.9,10.0,1.7936349203316584,10.0,0.0,4.0,4.0,8.0,-0.5,0.0,0.0,-0.11111111111111116
anonymous,40岁以上,大专/本科,男,比较熟悉,偶尔接触,184,0,12,td3,14.753,0.055659999999999994,0.06239999999999999,0.0,0.617,0.555,0.9,0.8,0.0,0.0,0.0,0.0,0.4,0.4,0.9,0.22200000000000003,1.7936349203316584,0.22200000000000003,0.0,0.0,0.0,0.0,0.9,0.395,1.7936349203316584,0.382,0.0,0.0,0.0,0.0,0.8,10.0,1.8244983178584202,10.0,0.0,3.0,3.0,9.0,-0.5,-0.25,-0.25,0.125
