participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,1,td3,7.543,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,2,td3,8.519,0.10942,0.1376,0.1,1.124,1.25,0.8,0.8,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8,10.0,1.1999062299728394,10.0,0.0,5.0,5.0,8.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,3,td3,12.964,0.10156,0.14679999999999999,0.1,1.158,1.25,0.8,0.8,0.0,0.0,0.0,0.05,0.5,0.5,0.8,0.5,1.1999062299728394,0.5,0.0,0.0,0.0,0.0,0.8,0.658,1.1999062299728394,0.595,0.0,0.0,0.0,0.0,0.8,10.0,1.077443212959877,10.0,100.0,5.0,5.0,8.0,0.48463962189838516,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,4,td3,10.168,0.11594,0.1445,0.10690999999999999,1.2730000000000001,1.25,0.8,0.8,0.1,0.00691,0.0,0.053000000000000005,0.5,0.5,0.8,0.5,1.077443212959877,0.5,0.0,0.0,0.0,0.0,0.8,0.773,1.077443212959877,0.657,0.0,0.0,0.0,0.0,0.8,10.0,1.0757209462548742,10.0,100.0,5.0,5.0,6.0,0.3625150940141453,0.0,0.0,-0.25
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,5,td3,8.861,0.12265000000000001,0.1441,0.10762000000000001,1.254,1.25,0.8,0.6,0.1,0.0007099999999999999,0.1,0.054000000000000006,0.5,0.5,0.8,0.5,1.0757209462548742,0.5,0.0,0.0,0.0,0.0,0.8,0.754,1.0757209462548742,0.648,0.0,0.0,0.0,0.0,0.6,10.0,1.0842664102858532,10.0,100.0,5.0,5.0,5.0,0.31532816958825927,0.0,0.0,-0.16666666666666663
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,6,td3,13.416,0.015390000000000001,0.1403,0.00783,1.2879999999999998,1.25,0.6,0.5,0.1,0.00020999999999999998,0.0,0.004,0.5,0.5,0.6,0.5,1.0842664102858532,0.5,0.0,0.0,0.0,0.0,0.6,0.788,1.0842664102858532,0.632,0.0,0.0,0.0,0.0,0.5,10.0,1.0826117502173127,10.0,0.0,5.0,5.0,4.0,-0.5,0.0,0.0,-0.19999999999999996
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,7,td3,9.356,0.046,0.07255,0.00783,0.9200000000000002,0.2425,0.5,0.4,0.0,0.0,0.0,0.004,0.5,0.5,0.5,0.097,1.0826117502173127,0.097,0.0,0.0,0.0,0.0,0.5,0.8230000000000001,1.0826117502173127,0.6980000000000001,0.0,0.0,0.0,0.0,0.4,10.0,1.0887982013148645,10.0,0.0,5.0,5.0,4.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,8,td3,9.283,0.028480000000000002,0.07375,0.00783,0.7230000000000001,0.7374999999999999,0.4,0.4,0.0,0.0,0.00691,0.004,0.5,0.5,0.4,0.294,1.0887982013148645,0.309,10.0,0.001,0.0,0.0,0.4,0.429,1.0887982013148645,0.379,10.0,0.023,0.0,0.0,0.4,10.0,1.2759560295486039,10.0,0.0,5.0,5.0,4.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,9,td3,10.652,0.02228,0.03725,0.00092,0.734,0.3725,0.4,0.4,0.0,0.0,0.0007099999999999999,0.0,0.5,0.5,0.4,0.148,1.2759560295486039,0.16999999999999998,10.0,0.001,0.0,0.0,0.4,0.5860000000000001,1.2759560295486039,0.568,10.0,0.087,0.0,0.0,0.4,10.0,1.8801920698575554,10.0,0.0,5.0,5.0,5.0,-0.5,0.0,0.0,0.25
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,10,td3,10.613,0.01374,0.020749999999999998,0.00020999999999999998,0.372,0.20749999999999996,0.4,0.5,0.0,0.0,0.00020999999999999998,0.0,0.5,0.5,0.4,0.08199999999999999,1.8801920698575554,0.098,10.0,0.001,0.0,0.0,0.4,0.29,1.8801920698575554,0.825,10.0,0.002,0.0,0.0,0.5,10.0,2.1350898574691715,10.0,0.0,5.0,5.0,6.0,-0.5,0.0,0.0,0.19999999999999996
anonymous,20-40岁,大专/本科,男,学过一点,偶尔接触,184,0,11,td3,12.592,0.01033,0.01225,0.0,0.20700000000000002,0.12250000000000001,0.5,0.6,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.049,2.1350898574691715,0.052000000000000005,0.0,0.0,0.0,0.0,0.5,0.158,2.1350898574691715,0.499,10.0,0.001,0.0,0.0,0.6,10.0,2.8323680501820307,10.0,0.0,5.0,5.0,7.0,-0.5,0.0,0.0,0.16666666666666674
