participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,1,td3,5.887,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,100.0,5.0,5.0,12.0,0.5,0.0,0.0,0.5
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,2,td3,11.207,0.20942,0.1376,0.2,1.124,1.25,0.8,1.2,0.1,0.1,0.0,0.1,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,1.2,10.0,1.1999062299728394,10.0,100.0,5.0,5.0,12.0,-0.022490688568427064,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,3,td3,0.932,0.32294,0.1485,0.29760000000000003,1.141,1.25,1.2,1.2,0.1,0.09759999999999999,0.0,0.149,0.5,0.5,1.2,0.5,1.1999062299728394,0.5,0.0,0.0,0.0,0.0,1.2,0.641,1.1999062299728394,0.558,0.0,0.0,0.0,0.0,1.2,10.0,1.6913145013696287,10.0,100.0,5.0,5.0,12.0,-0.1903449557193287,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,4,td3,0.644,0.324,0.1509,0.29760000000000003,1.226,1.25,1.2,1.2,0.09999999999999999,0.0,0.0,0.149,0.5,0.5,1.2,0.5,1.6913145013696287,0.5,0.0,0.0,0.0,0.0,1.2,0.726,1.6913145013696287,0.604,0.0,0.0,0.0,0.0,1.2,10.0,1.7729214420259094,10.0,100.0,5.0,5.0,12.0,-0.19135802469135804,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,5,td3,0.443,0.33466,0.142,0.29772000000000004,1.339,1.25,1.2,1.2,0.1,0.00011999999999999999,0.1,0.149,0.5,0.5,1.2,0.5,1.7729214420259094,0.5,0.0,0.0,0.0,0.0,1.2,0.8390000000000001,1.7729214420259094,0.63,0.0,0.0,0.0,0.0,1.2,10.0,1.69610581053532,10.0,100.0,5.0,5.0,12.0,-0.20118926671846055,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,6,td3,0.334,0.24994999999999998,0.1347,0.20055,1.323,1.25,1.2,1.2,0.1,0.00283,0.1,0.1,0.5,0.5,1.2,0.5,1.69610581053532,0.5,0.0,0.0,0.0,0.0,1.2,0.8230000000000001,1.69610581053532,0.611,0.0,0.0,0.0,0.0,1.2,10.0,1.68881788099666,10.0,100.0,5.0,5.0,12.0,-0.09991998399679936,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,7,td3,5.4,0.19157,0.13019999999999998,0.13221,1.295,1.25,1.2,1.2,0.1,0.03166,0.09759999999999999,0.066,0.5,0.5,1.2,0.5,1.68881788099666,0.5,0.0,0.0,0.0,0.0,1.2,0.795,1.68881788099666,0.613,0.0,0.0,0.0,0.0,1.2,10.0,1.7025881074797453,10.0,100.0,5.0,5.0,12.0,0.022002401211045575,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,8,td3,0.585,0.19838,0.12375,0.12773,1.3039999999999998,1.2375,1.2,1.2,0.1,0.09312000000000001,0.0,0.064,0.5,0.5,1.2,0.495,1.7025881074797453,0.5,0.0,0.0,0.0,0.0,1.2,0.8089999999999999,1.7025881074797453,0.612,0.0,0.0,0.0,0.0,1.2,10.0,1.7202863106509636,10.0,100.0,5.0,5.0,12.0,0.00408307289041232,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,9,td3,0.582,0.25993,0.125,0.22757,1.233,1.25,1.2,1.2,0.1,0.09984,0.00011999999999999999,0.11399999999999999,0.5,0.5,1.2,0.45499999999999996,1.7202863106509636,0.5,10.0,0.045,0.0,0.0,1.2,0.778,1.7202863106509636,0.661,10.0,0.077,0.0,0.0,1.2,10.0,1.7785454681905317,10.0,100.0,5.0,5.0,12.0,-0.11528103720232369,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,10,td3,1.334,0.32386000000000004,0.1549,0.32744999999999996,0.951,1.25,1.2,1.2,0.1,0.1,0.00283,0.16399999999999998,0.5,0.5,1.2,0.5,1.7785454681905317,0.5,0.0,0.0,0.0,0.0,1.2,0.45099999999999996,1.7785454681905317,0.63,0.0,0.0,0.0,0.0,1.2,10.0,1.9727034813333268,10.0,100.0,5.0,5.0,12.0,-0.19122460322361517,0.0,0.0,0.0
