participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,1.917,0.02,3066.517,2.628,2237.481,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,2.024,0.021,2905.668,2.674,2198.867,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,2.039,0.021,2884.418,2.706,2173.014,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,2.367,0.024,2484.124,3.025,1943.609,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,2.018,0.021,2913.525,2.673,2199.524,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,2.066,0.021,2845.735,2.697,2179.995,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,1.9,0.019,3094.687,2.563,2293.969,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,1.969,0.02,2985.887,2.62,2244.01,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,1.96,0.02,2999.405,2.651,2218.307,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
codex_humanlike1700_20260602_154541,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,2.038,0.021,2885.401,2.745,2142.004,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_154541_20260602_154541_eee9f277_meta.csv
