participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,1.992,0.02,2952.309,2.676,2196.917,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,1.75,0.018,3359.12,2.438,2411.393,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,1.761,0.018,3339.644,2.424,2425.536,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,1.688,0.017,3482.508,2.374,2477.136,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,1.58,0.016,3721.169,2.296,2560.909,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,1.99,0.02,2954.606,2.665,2206.504,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,1.92,0.02,3063.256,2.622,2242.74,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,1.785,0.018,3293.198,2.442,2408.107,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,1.814,0.019,3241.863,2.482,2369.247,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
codex_humanlike1700_20260602_163336,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,2.011,0.021,2924.145,2.665,2206.763,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_163336_20260602_163336_dfb92e85_meta.csv
