participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,1,td3,0.026,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,0.0,5.3443,5.3854,8.2761,-0.5,0.06885999999999992,0.07708000000000004,0.034512499999999946
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,2,td3,0.004,0.10629999999999999,0.1427,0.1,1.158,1.335,0.8,0.82761,0.0,0.0,0.0,0.05,0.53443,0.53854,0.8,0.534,0.8,0.5389999999999999,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.82761,10.0,1.1999062299728394,10.0,0.0,5.6638,5.6254,9.0473,-0.5,0.059783320547124985,0.044564934823782654,0.0931839876270224
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,3,td3,0.027,0.09899,0.15325,0.1,1.202,1.3075,0.82761,0.90473,0.0,0.0,0.0,0.05,0.5663799999999999,0.56254,0.82761,0.526,1.1999062299728394,0.523,0.0,0.0,0.0,0.0,0.82761,0.6759999999999999,1.1999062299728394,0.617,0.0,0.0,0.0,0.0,0.90473,10.0,1.0752314931960738,10.0,0.0,5.5039,5.5102,10.772,-0.5,-0.02823192909354122,-0.02047854374800029,0.19063145910934765
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,4,td3,0.02,0.11420999999999999,0.15145,0.1,1.268,1.25,0.90473,1.0772,0.0,0.0,0.0,0.05,0.55039,0.55102,0.90473,0.5,1.0752314931960738,0.5,0.0,0.0,0.0,0.0,0.90473,0.768,1.0752314931960738,0.631,0.0,0.0,0.0,0.0,1.0772,10.0,1.1363102421650928,10.0,0.0,5.6098,5.6158,12.415,-0.5,0.019240901905921204,0.019164458640339888,0.1525250649832901
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,5,td3,0.018,0.13144999999999998,0.15795,0.1,1.225,1.29,1.0772,1.2415,0.0,0.0,0.1,0.05,0.56098,0.56158,1.0772,0.516,1.1363102421650928,0.516,0.0,0.0,0.0,0.0,1.0772,0.709,1.1363102421650928,0.5820000000000001,0.0,0.0,0.0,0.0,1.2415,10.0,1.3099101799909416,10.0,0.0,5.6062,5.6127,13.9356,-0.5,-0.000641734108167813,-0.0005520139606111085,0.12248086991542495
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,6,td3,0.022,0.0494,0.166,0.0,1.207,1.2875,1.2415,1.3935600000000004,0.0,0.0,0.0,0.0,0.5606200000000001,0.56127,1.2415,0.515,1.3099101799909416,0.515,0.0,0.0,0.0,0.0,1.2415,0.692,1.3099101799909416,0.568,0.0,0.0,0.0,0.0,1.3935600000000004,10.0,1.632450620982771,10.0,0.0,5.5789,5.5581,15.5399,-0.5,-0.004869608647569024,-0.009727938425356908,0.11512242027612696
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,7,td3,0.022,0.12759,0.11515,0.0,0.916,0.4074999999999999,1.3935600000000004,1.5539899999999998,0.0,0.0,0.0,0.0,0.55789,0.5558099999999999,1.3935600000000004,0.16399999999999998,1.632450620982771,0.16299999999999998,0.0,0.0,0.0,0.0,1.3935600000000004,0.752,1.632450620982771,0.627,0.0,0.0,0.0,0.0,1.5539899999999998,10.0,1.9465856554558183,10.0,0.0,5.3803,5.4129,16.3582,-0.5,-0.03559841545824449,-0.02612403519188211,0.052657996512204264
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,8,td3,0.023,0.126,0.1249,0.0,0.8099999999999999,0.9075,1.5539899999999998,1.63582,0.0,0.0,0.0,0.0,0.53803,0.5412899999999999,1.5539899999999998,0.363,1.9465856554558183,0.365,0.0,0.0,0.0,0.0,1.5539899999999998,0.44699999999999995,1.9465856554558183,0.5860000000000001,0.0,0.0,0.0,0.0,1.63582,10.0,2.4982380503442285,10.0,0.0,5.3566,5.3575,17.7755,-0.5,-0.004404958831291883,-0.010234809436715953,0.08664156203005224
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,9,td3,0.023,0.14173,0.11445,0.0,0.867,0.7625,1.63582,1.7775500000000002,0.0,0.0,0.0,0.0,0.53566,0.53575,1.63582,0.305,2.4982380503442285,0.305,0.0,0.0,0.0,0.0,1.63582,0.562,2.4982380503442285,0.706,0.0,0.0,0.0,0.0,1.7775500000000002,10.0,2.620919548034502,10.0,0.0,5.6167,5.6787,18.8663,-0.5,0.04855692043460391,0.05995333644423706,0.06136536243706203
codex_humanlike1700_20260602_164312,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,10,td3,0.022,0.14871,0.11075000000000002,0.0,0.8370000000000001,0.8,1.7775500000000002,1.8866299999999996,0.0,0.0,0.0,0.0,0.56167,0.56787,1.7775500000000002,0.32,2.620919548034502,0.324,0.0,0.0,0.0,0.0,1.7775500000000002,0.517,2.620919548034502,0.7849999999999999,0.0,0.0,0.0,0.0,1.8866299999999996,10.0,2.6984976829105918,10.0,0.0,5.9293,5.9551,19.94,-0.5,0.055655456050705876,0.048673111803757774,0.05691100003710359
