participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,2.022,0.021,2908.699,2.777,2117.46,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,2.053,0.021,2864.544,2.802,2098.662,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,2.211,0.023,2659.824,2.887,2036.826,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,2.099,0.021,2801.124,2.816,2088.05,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,1.978,0.02,2972.656,2.72,2161.623,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,1.874,0.019,3137.62,2.6,2261.311,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,1.725,0.018,3408.305,2.365,2486.451,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,2.086,0.021,2818.737,2.702,2176.055,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,2.115,0.022,2780.323,2.768,2123.955,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,1.921,0.02,3061.295,2.544,2311.219,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,10,episode_done,99,98,1.993,0.02,2949.723,2.645,2222.98,1078,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,11,episode_done,99,98,1.929,0.02,3047.856,2.552,2303.895,1176,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,12,episode_done,99,98,1.786,0.018,3291.599,2.421,2428.715,1274,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
codex_humanlike1700_20260602_164814,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,13,episode_done,99,98,1.85,0.019,3177.919,2.464,2385.894,1372,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_164814_20260602_164814_cba9003d_meta.csv
