participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,1.938,0.02,3034.505,2.762,2129.118,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,1.987,0.02,2958.988,2.71,2170.029,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,1.966,0.02,2990.323,2.651,2217.617,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,1.963,0.02,2995.816,2.661,2210.069,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,1.973,0.02,2980.79,2.675,2197.769,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,1.908,0.019,3081.907,2.607,2255.043,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,1.722,0.018,3414.218,2.318,2537.014,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,1.962,0.02,2997.035,2.584,2275.112,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,1.864,0.019,3154.982,2.474,2376.649,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
codex_humanlike1700_20260602_165725,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,1.972,0.02,2981.986,2.574,2284.028,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_165725_20260602_165725_252ea4a0_meta.csv
